abade	ɐ β a ð ɨ
abafadamente	ɐ β ɐ f a ð ɐ m ẽ t ɨ
abaixamento	ɐ β a j ʃ ɐ m ẽ t u
abjurar	a b ʒ u ɾ a ɾ
abrigar	ɐ β ɾ i ɣ a ɾ
absorver	ɐ b s o ɾ v e ɾ
abundância	ɐ β ũ d ɐ̃ s j ɐ
acabamento	a k a b ɐ m ẽ t ʊ
acanhado	ɐ k ɐ ɲ a ð u
acha	a ʃ ɐ
acham	a ʃ ɐ̃ ʊ̯̃
acho	a ʃ u
acinzentar	ɐ s ĩ z ẽ t a ɾ
aclimatar	a k l ɨ m ɐ t a ɾ
aclimatação	a k l ɨ m a t ɐ s ɐ̃ w
aconselháveis	ɐ k õ s ɨ ʎ ä v ɛ i̯ ʃ
acoplar	a k o p l a ɾ
acra	a k ɾ ɐ
acromático	ɐ k ɾ u m a t i k u
actínio	ɐ k t i n j u
acumular	ɐ k u m u l a ɾ
acusador	ɐ k u z ɐ ð o ɾ
adaptar	a d a p t a ɾ
adarga	ɐ ð a ɾ ɣ ɐ
adenina	ə ð ɯ̽ n i n ə
adicional	ɐ ð i s j u n a ɫ
administrador	ɐ d m i n i ʃ t ɾ ɐ ð o ɾ
administração	ɐ d m i n i ʃ t ɾ ɐ s ɐ̃ w̃
advento	ɐ ð v ẽ t u
advogado	ɐ d v u ɣ a ð u
advérbio	ə ð v ɛ ɾ β j u
afetação	a f ɯ t a s ɐ̃ w
afluente	ɐ f l u ẽ t ɯ
afronta	ɐ f ɾ õ t ɐ
afrouxar	ɐ f ɾ o w ʃ a ɾ
agachar	ɐ ɣ a ʃ a ɾ
agnosticismo	ɐ ɣ n ɔ ʃ t i s i ʒ m u
agonia	ɐ ɣ u n i ɐ
agrafador	ɐ ɣ ɾ ɐ f ɐ ð o ɾ
agrafo	ɐ ɣ ɾ a f u
aguadeiro	a ɣ w ɐ ð ɐ j ɾ u
aguar	ɐ ɣ w a ɾ
agulha	ɐ ɡ u ʎ ɐ
ai	a ɪ̯
ainu	a j n u
aio	a ɪ̯ u
aipim	a ɪ̯ p ĩ
ala	a l ɐ
alativo	ɐ l ɐ t i v u
alcano	a ɫ k ɐ n u
alceno	a ɫ s e n u
alerta	a l ɛ ɾ t ɐ
aleúte	ɐ l ɨ u t ɨ
alfabético	a ɫ f ɐ b ɛ t i k u
alferes	a ɫ f e ɾ ɪ ʃ
alfinete	a ɫ f i n e t ɨ
algodão	a ɫ ɡ u d ɐ̃ w̃
alho	a ʎ u
alocar	ɐ l u k a ɾ
alquimia	a ɫ k ɨ m i ɐ
alternativo	a ɫ t ɨ ɾ n ɐ t i v u
altruísmo	a ɫ t ɾ u ɨ ʃ m u
altímetro	a ɫ t i m ɨ t ɾ u
alucinação	a l u s ɨ n a s ɐ̃ w
alugar	ɐ l u ɣ a ɾ
aluguer	ɐ l u ɣ ɛ ɾ
alô	a l o
amadurecer	ɐ m ɐ ð u ɾ ɨ s e ɾ
amamentar	ɐ m ɐ m ẽ t a ɾ
ambientalista	ɐ̃ b ɨ ẽ t ɐ l ɨ ʃ t ɐ
ameaçar	ɐ m j ɐ s a ɾ
amplo	ɐ̃ p l u
anarquismo	a n ɐ ɾ k i ʃ m u
anca	ɐ̃ k ɐ
ancho	ɐ̃ ʃ u
anchova	ɐ̃ ʃ o v ɐ
anda	ɐ̃ d ɐ
andam	ɐ̃ d ɐ̃ ʊ̯̃
andando	ɐ̃ d ɐ̃ d u
andava	ɐ̃ d a v ɐ
ando	ɐ̃ d u
andou	ɐ̃ d o ʊ̯
andré	ɐ̃ d ɾ ɛ
