aar_latn_broad.tsv	aar	Afar	Afar	Latin		False	Broad	1584
aar_latn_narrow.tsv	aar	Afar	Afar	Latin		False	Narrow	1548
abk_cyrl_broad.tsv	abk	Abkhazian	Abkhaz	Cyrillic		False	Broad	198
abk_cyrl_narrow.tsv	abk	Abkhazian	Abkhaz	Cyrillic		False	Narrow	841
acw_arab_broad.tsv	acw	Hijazi Arabic	Hijazi Arabic	Arabic		False	Broad	2252
acw_arab_narrow.tsv	acw	Hijazi Arabic	Hijazi Arabic	Arabic		False	Narrow	711
ady_cyrl_narrow.tsv	ady	Adyghe	Adyghe	Cyrillic		False	Narrow	5121
ady_cyrl_narrow_filtered.tsv	ady	Adyghe	Adyghe	Cyrillic		True	Narrow	4893
afb_arab_broad.tsv	afb	Gulf Arabic	Gulf Arabic	Arabic		False	Broad	719
afr_latn_broad.tsv	afr	Afrikaans	Afrikaans	Latin		False	Broad	2022
afr_latn_broad_filtered.tsv	afr	Afrikaans	Afrikaans	Latin		True	Broad	1982
afr_latn_narrow.tsv	afr	Afrikaans	Afrikaans	Latin		False	Narrow	134
aii_syrc_narrow.tsv	aii	Assyrian Neo-Aramaic	Assyrian Neo-Aramaic	Syriac		False	Narrow	4543
ajp_arab_broad.tsv	ajp	South Levantine Arabic	South Levantine Arabic	Arabic		False	Broad	3124
ajp_arab_narrow.tsv	ajp	South Levantine Arabic	South Levantine Arabic	Arabic		False	Narrow	3149
akk_latn_broad.tsv	akk	Akkadian	Akkadian	Latin		False	Broad	603
ale_latn_broad.tsv	ale	Aleut	Aleut	Latin		False	Broad	119
amh_ethi_broad.tsv	amh	Amharic	Amharic	Ethiopic		False	Broad	378
ang_latn_broad.tsv	ang	Old English (ca. 450-1100)	Old English	Latin		False	Broad	22124
ang_latn_narrow.tsv	ang	Old English (ca. 450-1100)	Old English	Latin		False	Narrow	11243
aot_latn_broad.tsv	aot	Atong (India)	Atong (India)	Latin		False	Broad	181
apw_latn_narrow.tsv	apw	Western Apache	Western Apache	Latin		False	Narrow	147
ara_arab_broad.tsv	ara	Arabic	Arabic	Arabic		False	Broad	13339
ara_arab_narrow.tsv	ara	Arabic	Arabic	Arabic		False	Narrow	104
arc_hebr_broad.tsv	arc	Official Aramaic (700-300 BCE)	Aramaic	Hebrew		False	Broad	1167
arg_latn_broad.tsv	arg	Aragonese	Aragonese	Latin		False	Broad	298
ary_arab_broad.tsv	ary	Moroccan Arabic	Moroccan Arabic	Arabic		False	Broad	2043
arz_arab_broad.tsv	arz	Egyptian Arabic	Egyptian Arabic	Arabic		False	Broad	200
asm_beng_broad.tsv	asm	Assamese	Assamese	Bengali		False	Broad	2925
ast_latn_broad.tsv	ast	Asturian	Asturian	Latin		False	Broad	1018
ast_latn_narrow.tsv	ast	Asturian	Asturian	Latin		False	Narrow	986
ayl_arab_broad.tsv	ayl	Libyan Arabic	Libyan Arabic	Arabic		False	Broad	163
aze_latn_broad.tsv	aze	Azerbaijani	Azerbaijani	Latin		False	Broad	383
aze_latn_narrow.tsv	aze	Azerbaijani	Azerbaijani	Latin		False	Narrow	4226
aze_latn_narrow_filtered.tsv	aze	Azerbaijani	Azerbaijani	Latin		True	Narrow	4011
bak_cyrl_broad.tsv	bak	Bashkir	Bashkir	Cyrillic		False	Broad	179
bak_cyrl_narrow.tsv	bak	Bashkir	Bashkir	Cyrillic		False	Narrow	2184
ban_bali_broad.tsv	ban	Balinese	Balinese	Balinese		False	Broad	410
bar_latn_broad.tsv	bar	Bavarian	Bavarian	Latin		False	Broad	1542
bbl_geor_broad.tsv	bbl	Bats	Bats	Georgian		False	Broad	167
bbn_latn_broad.tsv	bbn	Uneapa	Uneapa	Latin		False	Broad	192
bcl_latn_broad.tsv	bcl	Central Bikol	Bikol Central	Latin		False	Broad	4928
bcl_latn_narrow.tsv	bcl	Central Bikol	Bikol Central	Latin		False	Narrow	4936
bdq_latn_broad.tsv	bdq	Bahnar	Bahnar	Latin		False	Broad	193
bel_cyrl_narrow.tsv	bel	Belarusian	Belarusian	Cyrillic		False	Narrow	5516
ben_beng_broad.tsv	ben	Bengali	Bengali	Bengali		False	Broad	6666
ben_beng_dhaka_broad.tsv	ben	Bengali	Bengali	Bengali	Dhaka	False	Broad	4784
ben_beng_dhaka_broad_filtered.tsv	ben	Bengali	Bengali	Bengali	Dhaka	True	Broad	3653
ben_beng_dhaka_narrow.tsv	ben	Bengali	Bengali	Bengali	Dhaka	False	Narrow	4093
ben_beng_narrow.tsv	ben	Bengali	Bengali	Bengali		False	Narrow	5933
ben_beng_rarh_broad.tsv	ben	Bengali	Bengali	Bengali	Rarh, Standard Bengali	False	Broad	4903
ben_beng_rarh_broad_filtered.tsv	ben	Bengali	Bengali	Bengali	Rarh, Standard Bengali	True	Broad	3879
ben_beng_rarh_narrow.tsv	ben	Bengali	Bengali	Bengali	Rarh, Standard Bengali	False	Narrow	4224
bjb_latn_broad.tsv	bjb	Banggarla	Barngarla	Latin		False	Broad	136
blt_tavt_narrow.tsv	blt	Tai Dam	Tai Dam	Tai Viet		False	Narrow	239
