Amcar	a m ħ a r
Amcarto	a m ħ a r t o
Amcartu	a m ħ a r t u
Baariis	b aː r iː s
Biritaanya	b i r i t aː n j a
Cabsa	ħ a b s a
Cabsiita	ħ a b s iː t a
Camad	ħ a m a d
Cate	ħ a t e
Catew	ħ a t e w
Faatuma	f aː t u m a
Faatumay	f aː t u m a j
Faransaawi	f a r a n s aː w i
Faransaawiita	f a r a n s aː w iː t a
Gabuuti	ɡ a b uː t i
Haawa	h aː w a
Ingiliis	i n ɡ i l iː s
Ingiliisiyta	i n ɡ i l iː s i j t a
Itiyoobiya	i t i j oː b i j a
Kaamil	k aː m i l
Kaamilow	k aː m i l o w
Macammad	m a ħ a m m a d
Makki	m a kː i
Makkiyow	m a kː i j o w
Mayram	m a j r a m
Mayramey	m a j r a m e j
Mocammad	m o ħ a mː a d
Oroomo	o r oː m o
Oroomoyta	o r oː m o j t a
Qaahira	ʕ aː h i r a
Qali	ʕ a l i
Qaliyow	ʕ a l i j o w
Qarab	ʕ a r a b
Qarabi	ʕ a r a b i
Qarabtoyta	ʕ a r a b t o j t a
Qarabtu	ʕ a r a b t u
Qasso	ʕ a sː o
Qatar	ʕ a t a r
Rabbi	r a bː i
Rabbow	r a b b o w
Saami	s aː m i
Saamiyay	s aː m i j a j
Soomaali	s oː m aː l i
Soomaaliita	s oː m aː l iː t a
Tagorri	t a ɡ o rː i
Tigre	t i ɡ r e
Tigreyta	t i ɡ r e j t a
Viktooriya	v i k t oː r i j a
Yahuud	j a h uː d
Yahuudiyta	j a h uː d i j t a
Yalla	j a lː a
Yallaw	j a l l a w
Yalli	j a l l i
Yibuuti	j i b uː t i
Zimbaabuwe	z i m b aː b u w e
a	ʌ
aado	aː d o
aadoodi	aː d oː d i
aakam	aː k a m
aaker	aː k e r
aakir	aː k i r
aako	aː k o
aakooka	aː k oː k a
aakumale	aː k u m a l e
aalam	aː l a m
aalat	aː l a t
aaloota	aː l oː t a
aaman	aː m a n
aamiin	aː m iː n
aana	aː n a
abaaca	a b aː ħ a
abaare	a b aː r e
abaareyna	a b aː r e j n a
abaarik	a b aː r i k
abaaro	a b aː r o
abaaroleela	a b aː r o l eː l a
abaaroli	a b aː r o l i
abace	a b a ħ e
abaci	a b a ħ i
abadan	a b a d a n
abal	a b a l
abale	a b a l e
abalise	a b a l i s e
abalite	a b a l i t e
abalsiise	a b a l s iː s e
abamabbiime	a b a m a bː iː m e
abamabe	a b a m a b e
abamabsiise	a b a m a b s iː s e
abba	a b b a
abbaahiye	a bː aː h i j e
abbaasite	a bː aː s i t e
abbadabqis	a bː a d a b ʕ i s
abbaw	a b b a w
abbiime	a bː iː m e
abbobti	a bː o b t i
abboobi	a bː oː b i
abbowtan	a b b o w t a n
abcitte	a b ħ i t t e
abe	a b e
abeesa	a b eː s a
abeesas	a b eː s a s
abeesos	a b eː s o s
abeyna	a b e j n a
abic	a b i ħ
abice	a b i ħ e
abicle	a b i ħ l e
abicleela	a b i ħ l eː l a
abicli	a b i ħ l i
abiica	a b iː ħ a
abiino	a b iː n o
abina	a b i n a
abite	a b i t e
ablaage	a b l aː ɡ e
ablaake	a b l aː k e
abni	a b n i
abooca	a b oː ħ a
abooqa	a b oː ʕ a
abooqi	a b oː ʕ i
aboyya	a b o j j a
aboyyay	a b o j j a j
abqa	a b ʕ a
abraake	a b r aː k e
abre	a b r e
abreera	a b r eː r a
abriika	a b r iː k a
abrik	a b r i k
abrooma	a b r oː m a
absiise	a b s iː s e
absuma	a b s u m a
abu	a b u
abud	a b u d
abur	a b u r
aburwa	a b u r w a
abuudute	a b uː d u t e
abuudutte	a b uː d u t t e
abuuri	a b uː r i
abuurite	a b uː r i t e
abuuritte	a b uː r i t t e
abuuru	a b uː r u
abuuruse	a b uː r u s e
abuusa	a b uː s a
abxa	a b ɖ a
acad	a ħ a d
ada	a d a
adaan	a d aː n
adab	a d a b
adabi	a d a b i
adam	a d a m
adame	a d a m e
