'is	ə s
'n	ə
A	ɑː
AWB	aː v i ə b i ə
Aarde	ɑː r d ə
Afrikaander	a f r i k ɑː n d ə r
Afrikaans	a f r i k ɑː n s
Afrikaans	a f r i k ɑ̃ː s
Afrikaner	a f r i k ɑː n ə r
Amerika	a m ɪ ə r ə k a
Amerikaner	a m ɪ ə̯ r i k ɑː n ə r
André	a n d r ə i
B	b ɪ ə
Barnard	b a r n a r t
Blignault	b l i n œ u
Blignault	b l ɨ x n œ u t
Bloemfontein	b l u m f ɔ n t ə i̯ n
Boer	b uː r
Boland	b ʊ ə̯ l a n t
Bolands	b ʊ ə̯ l a n t s
Botha	b u ə t a
C	s ɪ ə
Cilliers	s ə l j e ə
Coetzee	k u t s e ə
Coetzee	k u t s ɪ ə
Coetzer	k u t s ə r
D	d ɪ ə
Duits	d œ i̯ t s
E	ɪ ə
F	ɛ f
Fouché	f u ʃ e ə
Fourie	f u r i
Francois	f r a n s w a
G	χ ɪ ə
God	χ ɔ t
Griekeland	χ r i k ə l a n t
Grové	x r u v e ə
H	ɦ ɑː
Hauptfleisch	ɦ o ə f l i s
Hauptfleisch	ɦ o ə f l i ʃ
Hauptfleisch	ɦ u f l i s
Hough	ɦ œ u x
I	i
J	j ɛ
Jesus	j ɪ ə̯ s œ s
Johannesburg	j ʊ ə ɦ a n ə s b œ r χ
Joubert	j u b æː r
K	k ɑː
Kaaps	k ɑː p s
Kaapstad	k ɑː p s t a t
Katoliek	k a t ʊ ə̯ l i k
Krige	k r i x ə
Kruger	k r y j ə r
Kuba	k y b a
L	ɛ l
Labuschagne	l a b u s k a x n ə
Laubscher	l œ u p ʃ ə r
Lesotho	l ə s u t u
M	ɛ m
Malan	m a l a n
Malan	m a l a ŋ
Malherbe	m a l ɦ ɛ r b ə
Marais	m a r ɛː
Masedonië	m ɑ s ə d ʊ ə n i j ə
N	ɛ n
NAVO	n ɑː f o ə̯
Naudé	n œ u d e ə
Nederland	n ɪ ə̯ d ə r l a n t
Nigeries	n i χ ɪ ə̯ r i s
Nortje	n ɔ r k e ə
O	ʊ ə
Ora	ʊ ə r a
P	p ɪ ə
Pienaar	p i n aː r
Pieter	p i t ə r
Pole	p ʊ ə l ə
Pools	p ʊ ə l s
Pretoria	p r ə t ʊ ə r i a
Q	k i
R	ɛ r
Rooikappie	r oː i̯ k ɑ p i
S	ɛ s
Schalk	s k a l k
Schoeman	s k u m a n
Schuster	ʃ u s t ə r
Schutte	s k œ ə t ə
Skotland	s k ɔ t l a n t
Smuts	s m a t s
