Abum	a b u m
Adad	a d a d
Addarum	a d d a r u m
Akkade	a k k a d e
Amurrum	a m u r r u m
Ausi'i	a u s i ʔ i
Ayyārum	a j j aː r u m
Aššūr	a ʃ ʃ uː r
Bābilim	b aː b i l i m
Elamtu	e l a m t u
Gilgameš	ɡ i l ɡ a m e ʃ
Idiglat	i d i ɡ l a t
Igigū	i ɡ i ɡ uː
Ištar	i ʃ t a r
Kinaḫnum	k i n a χ n u m
Kūsu	k uː s u
Lamaštum	l a m a ʃ t u m
Marduk	m a r d u k
Meluḫḫa	m e l u χ χ a
Ninua	n i n u a
Nisaba	n i s a b a
Pazūzu	p a z uː z u
Sāmerīna	s aː m e r iː n a
Sāmerīnaya	s aː m e r iː n a j a
Urarṭu	u r a r tˤ u
Urušalim	u r u ʃ a l i m
Yaru'u	j a r u ʔ u
a'īlu	a ʔ iː l u
abdu	a b d u
abnum	a b n u m
abullum	a b u l l u m
abum	a b u m
abīlum	a b iː l u m
abūbum	a b uː b u m
addum	a d d u m
adi	a d i
adānum	a d aː n u m
agammum	a ɡ a m m u m
akalum	a k a l u m
akkadûm	a k k a d uː m
akkû	a k k uː
aklum	a k l u m
akālum	a k aː l u m
alaktum	a l a k t u m
alpum	a l p u m
alākum	a l aː k u m
amtum	a m t u m
amurdinnum	a m u r d i n n u m
amurrum	a m u r r u m
amārum	a m aː r u m
amēlu	a m eː l u
amīlu	a m iː l u
amšālim	a m ʃ aː l i m
amūtum	a m uː t u m
ana	a n a
andurārum	a n d u r aː r u m
anna	a n n a
annakum	a n n a k u m
annûm	a n n uː m
anāku	a n aː k u
apkallum	a p k a l l u m
aplum	a p l u m
appum	a p p u m
aptum	a p t u m
aradum	a r a d u m
arantum	a r a n t u m
ardu	a r d u
ardum	a r d u m
argamannu	a r ɡ a m a n n u
ariktum	a r i k t u m
arkum	a r k u m
arnum	a r n u m
arākum	a r aː k u m
arārum	a r aː r u m
asum	a s u m
atta	a t t a
atti	a t t i
attina	a t t i n a
attunu	a t t u n u
awātum	a w aː t u m
awīltum	a w iː l t u m
awīlum	a w iː l u m
awīlû	a w iː l uː
ayyalum	a j j a l u m
ayyum	a j j u m
ayyīkiam	a j j iː k i a m
ašrum	a ʃ r u m
ašāgum	a ʃ aː ɡ u m
aššatum	a ʃ ʃ a t u m
aššum	a ʃ ʃ u m
aḫum	a χ u m
aḫûm	a χ uː m
aḫātum	a χ aː t u m
bakûm	b a k uː m
balāṭum	b a l aː tˤ u m
banûm	b a n uː m
barbarum	b a r b a r u m
bardu	b a r d u
bardum	b a r d u m
bašûm	b a ʃ uː m
bibbulum	b i b b u l u m
bibbum	b i b b u m
birkum	b i r k u m
birqum	b i r q u m
biṣṣūrum	b i sˤ sˤ uː r u m
burāšum	b u r aː ʃ u m
bābum	b aː b u m
