Abraham	ɑː b r ɑ x ɑː m
Abrahames	ɑː b r ɑ x ɑː m e s
Affrica	ɑ f f r i k ɑ
Africanisc	ɑː f r i k ɑː n i ʃ
Afrisc	ɑː f r i ʃ
Alda	ɑ l d ɑ
Aldwine	ɑ l d w i n e
Alrica	ɑ l r iː t͡ʃ ɑ
Alrican	ɑ l r iː t͡ʃ ɑ n
Andefera	ɑ n d e f e r ɑ
Angel	ɑ n ɡ e l
Angelcirice	ɑ n ɡ e l t͡ʃ i r i t͡ʃ e
Angelcyning	ɑ n ɡ e l k y n i n ɡ
Angelcyninga	ɑ n ɡ e l k y n i n ɡ ɑ
Angelcyningas	ɑ n ɡ e l k y n i n ɡ ɑ s
Angelcyninge	ɑ n ɡ e l k y n i n ɡ e
Angelcyninges	ɑ n ɡ e l k y n i n ɡ e s
Angelcyningum	ɑ n ɡ e l k y n i n ɡ u m
Angelcynn	ɑ n ɡ e l k y n n
Angelcynne	ɑ n ɡ e l k y n n e
Angelcynnes	ɑ n ɡ e l k y n n e s
Angelseaxan	ɑ n ɡ e l s æ͜ɑ k s ɑ n
Angelþeod	ɑ n ɡ e l θ e͜oː d
Angolseaxan	ɑ n ɡ o l s æ͜ɑ k s ɑ n
Angolseaxena	ɑ n ɡ o l s æ͜ɑ k s e n ɑ
Angolseaxum	ɑ n ɡ o l s æ͜ɑ k s u m
Anlaf	ɑ n l ɑ f
Antecrist	ɑ n t e k r i s t
Antecriste	ɑ n t e k r i s t e
Arabia	ɑ r ɑ b i ɑ
Arabisc	ɑ r ɑ b i ʃ
Arwald	ɑː r w ɑ l d
Aslac	ɑː s l ɑː k
Atheniscan	ɑ t x eː n i ʃ ʃ ɑ n
Atheniscre	ɑ t x eː n i ʃ r e
Augustus	ɑ u ɡ u s t u s
Aulixes	ɑ u l i k s e s
Awestend	ɑː w eː s t e n d
Babilon	b ɑ b i l oː n
Babilonie	b ɑ b i l oː n i e
Babilonigan	b ɑ b i l oː n i j ɑ n
Babilonige	b ɑ b i l oː n i j e
Baðanceaster	b ɑ θ ɑ n t͡ʃ æ͜ɑ s t e r
Beadowulf	b æ͜ɑ d o w u l f
Beagmund	b æ͜ɑː ɡ m u n d
Bebbe	b e b b e
Beorhtmund	b e͜o r x t m u n d
Beorhtmær	b e͜o r x t m æː r e
Beorhtnoþ	b e͜o r x t n oː θ
Beorhtric	b e͜o r x t r iː k
Beorhtsige	b e͜o r x t s i j e
Beorhtweard	b e͜o r x t w æ͜ɑ r d
Beorhtwulf	b e͜o r x t w u l f
Beornheard	b e͜o r n x æ͜ɑ r d
Beornmod	b e͜o r n m oː d
Beornmund	b e͜o r n m u n d
Beornwulf	b e͜o r n w u l f
Beowulf	b e͜oː w u l f
Beowulfe	b e͜oː w u l f e
Beowulfes	b e͜oː w u l f e s
Berhthun	b e r x t x uː n
Berhtnoþ	b e r x t n oː θ
Berhtræd	b e r x t r æː d
Berhtweald	b e r x t w æ͜ɑ l d
Berhtwulf	b e r x t w u l f
Breguswiþ	b r e ɡ u s w iː θ
Breoton	b r e͜o t o n
Breotone	b r e͜o t o n e
Bret	b r e t
Breten	b r e t e n
Bretene	b r e t e n e
Bretland	b r e t l ɑ n d
Brett	b r e t t
Brettas	b r e t t ɑ s
Brettisc	b r e t t i ʃ
Brittisc	b r i t t i ʃ
Bryt	b r y t
Bryten	b r y t e n
Brytene	b r y t e n e
Brytenlond	b r y t e n l o n d
Brytland	b r y t l ɑ n d
Bryttas	b r y t t ɑ s
Bryttisc	b r y t t i ʃ
Burgnoþ	b u r ɡ n oː θ
Byrhtmund	b y r x t m u n d
Bældæg	b æ l d æ j
Cantware	k ɑ n t w ɑ r e
Cater	k ɑ t e r
Caðum	k ɑ θ u m
Cenrice	k eː n r iː k e
Cent	k e n t
Centisc	k e n t i ʃ
Centland	k e n t l ɑ n d
Centwine	k e n t w i n e
Cenwealh	k eː n w æ͜ɑ l x
Cenwealh	k y n e w æ͜ɑ l x
Ceolbeald	t͡ʃ e͜oː l b æ͜ɑ l d
Ceolberht	t͡ʃ e͜oː l b e r x t
Ceolmund	t͡ʃ e͜oː l m u n d
Ceolræd	t͡ʃ e͜oː l r æː d
Ceolweard	t͡ʃ e͜oː l w æ͜ɑ r d
Ceolwulf	t͡ʃ e͜oː l w u l f
Cerdic	t͡ʃ e r d i t͡ʃ
Ciricburh	t͡ʃ i r i t͡ʃ b u r x
Cornweal	k o r n w æ͜ɑ l
Crecas	k r eː k ɑ s
Crecisc	k r eː t͡ʃ i ʃ
Crist	k r i s t
Cristesmæsse	k r i s t e s m æ s s e
Cumbtun	k u m b t uː n
Cuþbeald	k uː θ b æ͜ɑ l d
Cuþberht	k uː θ b e r x t
Cuþflæd	k uː θ f l æ d
Cuþwulf	k uː θ w u l f
Cwenland	k w eː n l ɑ n d
Cwenlande	k w eː n l ɑ n d e
Cwenlandes	k w eː n l ɑ n d e s
Cyneberht	k y n e b e r x t
Cynelaf	k y n e l ɑː f
Cynemund	k y n e m u n d
Cyneræd	k y n e r æː d
Cynesige	k y n e s i j e
Cynestan	k y n e s t ɑː n
Cynewig	k y n e w iː j
Cynewine	k y n e w i n e
Cynewulf	k y n e w u l f
Cynferð	k y n f e r θ
Cynferþ	k y n f e r θ
Cædmon	k æ d m o n
Dauid	d a w i d
December	d e k e m b e r
Defenas	d e f e n ɑ s
Defenascir	d e f e n ɑ ʃ ʃ iː r
Defenascire	d e f e n ɑ ʃ iː r e
Defenisc	d e f e n i ʃ
Defenum	d e f e n u m
Dena	d e n ɑ
Dene	d e n e
Denemearc	d e n e m æ͜ɑ r k
Denewulf	d e n e w u l f
Denisc	d e n i ʃ
Deniscan	d e n i ʃ ʃ ɑ n
Deniscne	d e n i ʃ n e
Deniscra	d e n i ʃ r ɑ
Deniscum	d e n i ʃ ʃ u m
Denum	d e n u m
Deormod	d e͜oː r m oː d
Deornoþ	d e͜oː r n oː θ
Deorwente	d e͜o r w e n t e
Deorwine	d e͜oː r w i n e
Deorwulf	d e͜oː r w u l f
Donua	d o n u ɑ
Dorwitceaster	d o r w i t t͡ʃ æ͜ɑ s t e r
Dorwitceastere	d o r w i t t͡ʃ æ͜ɑ s t e r e
Dryhten	d r y x t e n
Dryhtnoþ	d r y x t n oː θ
Dryhtweald	d r y x t w æ͜ɑ l d
Dudda	d u d d ɑ
Dufenal	d u f e n ɑ l
Dunholm	d u n x o l m
Dunstan	d u n s t ɑː n
Dunweald	d u n n w æ͜ɑ l d
Dunweald	d uː n w æ͜ɑ l d
Dægberht	d æ j b e r x t
Dæghelm	d æ j x e l m
Dægmund	d æ j m u n d
Eadbald	æ͜ɑː d b ɑ l d
Eadbeald	æ͜ɑː d b æ͜ɑ l d
Eadberht	æ͜ɑː d b e r x t
Eadburh	æ͜ɑː d b u r x
Eadfriþ	æ͜ɑː d f r i θ
Eadgar	æ͜ɑː d ɡ ɑː r
Eadgifu	æ͜ɑː d j i f u
Eadgils	æ͜ɑː d j i l s
Eadgyþ	æ͜ɑː d ɡ yː θ
Eadhelm	æ͜ɑː d x e l m
Eadhere	æ͜ɑː d x e r e
Eadhun	æ͜ɑː d x uː n
Eadmund	æ͜ɑː d m u n d
Eadmær	æ͜ɑː d m æː r
Eadnoþ	æ͜ɑː d n oː θ
Eadric	æ͜ɑː d r iː k
Eadræd	æ͜ɑː d r æː d
Eadsige	æ͜ɑː d s i j e
Eadstan	æ͜ɑː d s t ɑː n
Eadwacor	æ͜ɑː d w ɑ k o r
Eadweald	æ͜ɑː d w æ͜ɑ l d
Eadweard	æ͜ɑː d w æ͜ɑ r d
Eadwig	æ͜ɑː d w iː j
Eadwine	æ͜ɑː d w i n e
Eadwulf	æ͜ɑː d w u l f
Ealdhere	æ͜ɑ l d x e r e
Ealdræd	æ͜ɑ l d r æː d
Ealdseaxan	æ͜ɑ l d s æ͜ɑ k s ɑ n
Ealdseaxe	æ͜ɑ l d s æ͜ɑ k s ɑ n
Ealdseaxum	æ͜ɑ l d s æ͜ɑ k s u m
Ealdwine	æ͜ɑ l d w i n e
Ealhheard	æ͜ɑ l x x æ͜ɑ r d
Ealhhere	æ͜ɑ l x x e r e
Ealhstan	æ͜ɑ l x s t ɑː n
Ealhswiþ	æ͜ɑ l x s w iː θ
Eanred	æ͜ɑː n r e d
Eardwulf	æ͜ɑ r d w u l f
Earendel	æ͜ɑː r e n d e l
Earnsige	æ͜ɑ r n s i j e
Earnweald	æ͜ɑ r n w æ͜ɑ l d
Earnwig	æ͜ɑ r n w iː j
Earnwine	æ͜ɑ r n w i n e
Earnwulf	æ͜ɑ r n w u l f
Eastengle	æ͜ɑː s t e n ɡ l e
Eastmund	æ͜ɑː s t m u n d
Eastseaxan	æ͜ɑː s t s æ͜ɑ k s ɑ n
Eastseaxe	æ͜ɑː s t s æ͜ɑ k s e
Ebreisc	e b r eː i ʃ
Ecgbeald	e j j b æ͜ɑ l d
Ecgberht	e j j b e r x t
Ecgburg	e j j b u r x
Ecgfriþ	e j j f r i θ
Ecgheard	e j j x æ͜ɑ r d
Ecgmund	e j j m u n d
Ecgwelan	e j j w e l ɑ n
Ecgwine	e j j w i n e
Ecgþeow	e j j θ e͜oː w
Ecgþeowe	e j j θ e͜oː w e
Ecgþeowes	e j j θ e͜oː w e s
Egiptisca	e ɡ i p t i ʃ ʃ ɑ
Egiptiscan	e ɡ i p t i ʃ ʃ ɑ n
Egiptisce	e ɡ i p t i ʃ ʃ e
Egiptisces	e ɡ i p t i ʃ ʃ e s
Egiptiscra	e ɡ i p t i ʃ r ɑ
Egiptiscum	e ɡ i p t i ʃ ʃ u m
Egypte	e ɡ y p t e
Egyptum	e ɡ y p t u m
Englaland	e n ɡ l ɑ l ɑ n d
Engle	e n ɡ l e
Englisc	e n ɡ l i ʃ
Engliscan	e n ɡ l i ʃ ʃ ɑ n
Engliscum	e n ɡ l i ʃ ʃ u m
Englum	e n ɡ l u m
Eoferwic	e͜o f e r w iː t͡ʃ
Eoferwicscir	e͜o f e r w iː t͡ʃ ʃ iː r
Eoforwic	e͜o f o r w iː k
Eoforwicscir	e͜o f o r w iː k ʃ iː r
Eorcenberht	e͜o r k e n b e r x t
Eorcenweald	e͜o r k e n w æ͜ɑ l d
Eormenræd	e͜o r m e n r æː d
Eostre	e͜oː s t r e
Eotaland	e͜oː t ɑ l ɑ n d
Eotalande	e͜oː t ɑ l ɑ n d e
Eotalandes	e͜oː t ɑ l ɑ n d e s
Eotas	e͜oː t ɑ s
Eotol	e͜o t o l
Eowland	e͜o w l ɑ n d
Eowlande	e͜o w l ɑ n d e
Eowlandes	e͜o w l ɑ n d e s
Esla	e s l ɑ
Este	eː s t e
Estland	eː s t l ɑ n d
Exanceaster	e k s ɑ n t͡ʃ æ͜ɑ s t e r
Fearr	f æ͜ɑ r r
Finn	f i n n
Finna	f i n n ɑ
Finnas	f i n n ɑ s
Finnes	f i n n e s
Finnum	f i n n u m
Folcberht	f o l k b e r x t
Folcmær	f o l k m æː r
Folcwine	f o l k w i n e
Franca	f r ɑ n k ɑ
Francan	f r ɑ n k ɑ n
Francena	f r ɑ n k e n ɑ
Francland	f r ɑ n k l ɑ n d
Francrice	f r ɑ n k r iː t͡ʃ e
Francum	f r ɑ n k u m
Frankrica	f r ɑ n k r iː k ɑ
Frankrice	f r ɑ n k r iː t͡ʃ e
Frankrices	f r ɑ n k r iː t͡ʃ e s
Frankricu	f r ɑ n k r iː k u
Frankricum	f r ɑ n k r iː k u m
Frencisc	f r e n k i ʃ
Frencisc	f r e n t͡ʃ i ʃ
Freoþegar	f r e͜o θ e ɡ ɑː r
Freoþoberht	f r e͜o θ o b e r x t
Freoþomund	f r e͜o θ o m u n d
Freoþoric	f r e͜o θ o r iː k
Freoþoræd	f r e͜o θ o r æː d
