ء	ʔ
آ	ʔ aː
آبد	ʔ aː b i d
آبلة	ʔ aː b i l a
آبيس	ʔ aː b iː s
آتشيوت	aː t ʃ i j oː t
آتشيوت	ʔ aː t ʃ i j uː t
آتون	ʔ aː t uː n
آثار	ʔ aː θ aː r
آثام	ʔ aː θ aː m
آح	ʔ aː ħ
آخر	ʔ aː x a r
آخر	ʔ aː x i r
آخرة	ʔ aː x i r a
آخرة	ʔ aː x r a
آخن	ʔ aː x a n
آدب	ʔ aː d i b
آدم	ʔ aː d a m
آدمي	ʔ aː d a m i j j
آذان	ʔ aː ð aː n
آذريون	ʔ aː ð a r j uː n
آذى	ʔ aː ð aː
آس	ʔ aː s
آسف	ʔ aː s a f a
آسف	ʔ aː s i f
آسفي	ʔ aː s a f iː
آسيوي	ʔ aː s i j a w i j j
آش	ʔ aː ʃ
آشوري	ʔ aː ʃ uː r i j j
آصف	ʔ aː sˤ a f
آصف	ʔ aː sˤ i f
آفات	ʔ aː f aː t
آفة	ʔ aː f a
آفرین	ʔ aː f i r iː n
آل	ʔ aː l
آل	ʔ aː l a
آل	ʔ aː l u
آلات	ʔ aː l aː t
آلاف	ʔ aː l aː f
آلة	ʔ aː l a
آلف	ʔ aː l f
آلي	ʔ aː l i j j
آلية	ʔ aː l i j j a
آمال	ʔ aː m aː l
آمن	ʔ aː m a n
آمن	ʔ aː m a n a
آمن	ʔ aː m a n u
آمن	ʔ aː m i n
آمن	ʔ aː m u n
آمن	ʔ aː m u n a
آمن	ʔ aː m u n u
آمنة	ʔ aː m i n a
آمون	ʔ aː m uː n
آمين	ʔ aː m iː n
آنسة	ʔ aː n i s a
آنك	ʔ aː n u k
آنى	ʔ aː n aː
آني	ʔ aː n i j j
آية	ʔ aː j a
آيسلندا	ʔ aː j i s l a n d aː
آيوا	ʔ aː j u w aː
أ	ʔ
أ	ʔ a
أ	ʔ u
أب	ʔ a b
أباجور	ʔ a b aː ʒ uː r
أباح	ʔ a b aː ħ a
أباخس	ʔ a b aː x i s u
أباد	ʔ a b aː d a
أباريق	ʔ a b aː r iː q
أباس	ʔ u b aː s
أباسخيرون	ʔ a b aː s x iː r uː n
أبان	ʔ a b aː n a
أبتر	ʔ a b t a r
أبث	ʔ a b a θ a
أبخازيا	ʔ a b x aː z j aː
أبخق	ʔ a b x a q
أبد	ʔ a b a d
أبد	ʔ a b a d a
أبد	ʔ a b b a d a
أبد	ʔ a b d u
أبدا	ʔ a b a d a n
أبدة	ʔ u b b a d a
أبدى	ʔ a b d aː
أبدي	ʔ a b a d i j j
أبدي	ʔ a b b i d iː
أبدية	ʔ a b a d i j j a
أبذة	ʔ u b b a ð a
أبر	ʔ a b a r a
أبر	ʔ a b a r r a
أبرز	b a r a z a
أبرز	ʔ a b r a z
أبرز	ʔ a b r u z
أبرز	ʔ a b r u z a
أبرم	ʔ a b r a m a
أبريل	ʔ a b r iː l
أبسطة	ʔ a b s i tˤ a
أبش	ʔ a b a ʃ a
أبش	ʔ a b a ʃ ʃ u
أبطل	ʔ a b tˤ a l a
أبكم	ʔ a b k a m
أبلس	ʔ a b l a s a
أبلق	ʔ a b l a q
أبله	ʔ a b l a h
أبنوس	ʔ a b a n uː s
أبنوس	ʔ a b n uː s
أبها	ʔ a b h aː
أبهة	ʔ u b b a h a
أبهج	ʔ a b h a d͡ʒ a
أبوان	ʔ a b a w aː n
أبوة	ʔ u b u w w a
أبوت	ʔ u b uː t
أبود	ʔ u b uː d
أبيدجان	ʔ a b iː d d͡ʒ aː n
أبيض	ʔ a b j a dˤ
أتاح	ʔ a t aː ħ a
أترج	ʔ u t r u d͡ʒ d͡ʒ
أتقن	ʔ a t q a n a
أتلف	ʔ a t l a f a
أتمت	ʔ a t m a t a
أتوبوس	ʔ o t o b uː s
أتوبيس	ʔ o t o b iː s
أتوم	ʔ a t uː m
أتون	ʔ a t t uː n
أتى	ʔ a t aː
أثاث	ʔ a θ aː θ
أثث	ʔ a θ θ a θ a
أثجل	ʔ a θ d͡ʒ a l
أثرة	ʔ a θ a r a
أثرة	ʔ a θ r a
أثرة	ʔ u θ r a
أثقال	ʔ a θ q aː l
أثل	ʔ a θ a l aː t
أثل	ʔ a θ l
أثل	ʔ a θ l a
أثل	ʔ u θ uː l
أثلج	ʔ a θ l a d͡ʒ a
أثم	ʔ a θ i m a
أثناء	ʔ a θ n aː ʔ
أثناء	ʔ a θ n aː ʔ a
أثنى	ʔ a θ n aː
أثيم	ʔ a θ iː m
أثينا	ʔ a θ iː n aː
أثيوبيا	ʔ a θ j oː b j a
أثيوبيا	ʔ a θ j uː b i j aː
أثيوبيا	ʔ a θ j uː b j a
أثيوبيا	ʔ a θ j uː b j aː
أثيوبيا	ʔ a θ j uː p j aː
أجاب	ʔ a d͡ʒ aː b a
أجاب	ʔ u d͡ʒ aː b u
أجار	ʔ a d͡ʒ aː r a
أجدب	ʔ a d͡ʒ d a b
أجدع	ʔ a d͡ʒ d a ʕ
أجذاع	ʔ a d͡ʒ ð aː ʕ
أجرب	ʔ a d͡ʒ r a b
أجرد	ʔ a d͡ʒ r a d
أجزاء	ʔ a d͡ʒ z aː ʔ
أجش	ʔ a d͡ʒ a ʃ ʃ
أجل	ʔ a d͡ʒ a l
أجل	ʔ a d͡ʒ a l l
أجل	ʔ a d͡ʒ d͡ʒ a l a
أجل	ʔ a d͡ʒ l
أجلح	ʔ a d͡ʒ l a ħ
أجلى	ʔ a d͡ʒ l aː
أجمة	ʔ a d͡ʒ a m a
أجمع	ʔ a d͡ʒ m a ʕ
أجمع	ʔ a d͡ʒ m a ʕ a
أجمعون	ʔ a d͡ʒ m a ʕ uː n
أجمعين	ʔ a d͡ʒ m a ʕ iː n
أجنبي	ʔ a d͡ʒ n a b i j j
أجنبيات	ʔ a d͡ʒ n a b i j j aː t
أجندة	ʔ a d͡ʒ i n d a
أجهد	ʔ a d͡ʒ h a d a
أجهض	ʔ a d͡ʒ h a dˤ a
أجوف	ʔ a d͡ʒ w a f
أجيال	ʔ a d͡ʒ j aː l
أجير	ʔ a d͡ʒ iː r
أجير	ʔ u d͡ʒ iː r a
أجير	ʔ u d͡ʒ iː r u
أحادي	ʔ u ħ aː d i j j
أحاسيس	ʔ a ħ aː s iː s
أحاط	ʔ a ħ aː tˤ a
أحاط	ʔ u ħ aː tˤ a
أحاط	ʔ u ħ aː tˤ u
أحب	ʔ a ħ a b b
أحب	ʔ a ħ a b b a
أحبك	ʔ u ħ i b b u k a
أحبك	ʔ u ħ i b b u k i
أحجم	ʔ a ħ d͡ʒ a m a
أحجية	ʔ u ħ d͡ʒ i j a
أحجية	ʔ u ħ d͡ʒ i j j a
أحد	ʔ a ħ a d
أحد	ʔ a ħ a d d
أحرج	ʔ a ħ r a d͡ʒ a
أحرش	ʔ a ħ r a ʃ
أحسن	ʔ a ħ s a n
أحسن	ʔ a ħ s a n a
أحسن	ʔ a ħ s u n
أحسن	ʔ a ħ s u n a
أحسن	ʔ a ħ s u n u
أحسن	ʔ u ħ a s s a n
أحسن	ʔ u ħ a s s a n a
أحسن	ʔ u ħ a s s a n u
أحسن	ʔ u ħ a s s i n
أحسن	ʔ u ħ a s s i n a
أحسن	ʔ u ħ a s s i n u
أحصن	ʔ a ħ sˤ a n a
أحصى	ʔ a ħ sˤ aː
أحمر	ʔ a ħ m a r
أحمق	ʔ a ħ m a q
أحنك	ʔ a ħ n a k a
أحوج	ʔ a ħ w a d͡ʒ a
أحور	ʔ a ħ w a r
أحول	ʔ a ħ w a l
أحيلى	ʔ u ħ a j l aː
أخ	ʔ a x
أخاديد	ʔ a x aː d iː d
أخاذ	ʔ a x x aː ð
أخامص	ʔ a x aː m i sˤ
أخبر	ʔ a x b a r a
أخت	ʔ u x t
أخثاث	ʔ a x θ aː θ
أخدر	ʔ a x d a r
أخدر	ʔ a x d a r a
أخدود	ʔ u x d uː d
أخذ	ʔ a x a ð a
أخذ	ʔ a x x a ð a
أخذ	ʔ a x ð
أخرس	ʔ a x r a s
أخرس	ʔ a x r a s a
أخرى	ʔ u x r aː
أخشن	ʔ a x ʃ a n
أخصائي	ʔ a x i sˤ sˤ aː ʔ i j j
أخصر	ʔ a x sˤ a r
أخضر	ʔ a x dˤ a r
أخطأ	ʔ a x tˤ a ʔ a
أخطبوط	ʔ a x tˤ a b uː tˤ
أخطبوط	ʔ u x tˤ u b uː tˤ
أخلاط	ʔ a x l aː tˤ
أخلاق	ʔ a x l aː q
أخلاقي	ʔ a x l aː q i j j
أخلاقية	ʔ a x l aː q i j j a
أخمص	ʔ a x m u sˤ
أخوة	ʔ u x u w w a
أخوية	ʔ a x a w i j j a
أخياط	ʔ a x j aː tˤ
أخيرى	ʔ u x a j r aː
أداة	ʔ a d aː h
أدار	ʔ a d aː r a
أداف	ʔ a d aː f a
أدان	ʔ a d aː n a
أدب	ʔ a d a b
أدب	ʔ a d d a b a
أدبة	ʔ a d a b a
أدبي	ʔ a d a b i j j
أدبي	ʔ a d d i b iː
أدبيا	ʔ a d a b i j j a n
أدبيات	ʔ a d a b i j j aː t
أدجى	ʔ a d d͡ʒ aː
أدحوة	ʔ u d ħ u w w a
أدحية	ʔ u d ħ i j a
أدحية	ʔ u d ħ i j j a
أدرك	ʔ a d r a k a
أدرنة	ʔ a d i r n a
أدكن	ʔ a d k a n
أدلة	ʔ a d i l l a
أدلج	ʔ a d l a d͡ʒ a
أدمن	ʔ a d m a n a
أدهش	ʔ a d h a ʃ a
أدهش	ʔ a d h i ʃ
أدهش	ʔ u d h a ʃ
أدهش	ʔ u d h a ʃ a
أدهش	ʔ u d h a ʃ u
أدهش	ʔ u d h i ʃ
أدهش	ʔ u d h i ʃ a
أدهش	ʔ u d h i ʃ u
أدهم	ʔ a d h a m
أدوية	ʔ a d w i j a
أدى	ʔ a d d aː
أديب	ʔ a d iː b
أديبة	ʔ a d iː b a
أذاع	ʔ a ð aː ʕ a
أذانة	ʔ a ð aː n a
أذر	ʔ a ð a r
أذربيجان	ʔ a ð a r b a j d͡ʒ aː n
أذربيجان	ʔ a ð a r b eː d͡ʒ aː n
أذربيجاني	ʔ a ð a r b a j d͡ʒ aː n i j j
أذربيجانية	ʔ a ð a r b a j d͡ʒ aː n i j j a
أذري	ʔ a ð a r i j j
أذرية	ʔ a ð a r i j j a
أذعن	ʔ a ð ʕ a n a
أذن	ʔ a ð a n
أذن	ʔ a ð a n a
أذن	ʔ a ð i n a
أذن	ʔ a ð n
أذن	ʔ a ð ð a n a
أذن	ʔ u ð u n
أذى	ʔ a ð a n
أذية	ʔ a ð i j j a
أراد	ʔ a r aː d a
أربعة	ʔ a r b a ʕ a
أربعة	ʔ a r b i ʕ a
أربعون	ʔ a r b a ʕ uː n a
أربيل	ʔ a r b iː l
أرثوذكس	ʔ u r θ uː ð u k s
أرثوذكسي	ʔ u r θ uː ð u k s i j j
أرثوذكسية	ʔ u r θ uː ð u k s i j j a
أرجأ	ʔ a r d͡ʒ a ʔ a
أرجان	ʔ a r d͡ʒ aː n
أرجواني	ʔ a r d͡ʒ u w aː n i j j
أرجواني	ʔ u r d͡ʒ u w aː n i j j
أرجونة	ʔ a r d͡ʒ uː n a
أرجيش	ʔ a r d͡ʒ iː ʃ
أرح	ʔ a r a ħ ħ
أرخ	ʔ a r x
أرخبيل	ʔ a r x a b iː l
أردف	ʔ a r d a f a
أردمون	ʔ a r d a m uː n
أردني	ʔ u r d u n i j j
أردني	ʔ u r d u n n i j j
أردى	ʔ a r d aː
أرز	ʔ a r a z z a
أرز	ʔ a r u z z
أرز	ʔ a r z
أرز	ʔ u r u z z
أرستقراطي	ʔ a r i s t u q r aː tˤ i j j
أرستقراطية	ʔ a r i s t u q r aː tˤ i j j a
أرسطو	ʔ a r i s tˤ uː
أرسطوطاليس	ʔ a r i s tˤ uː tˤ aː l iː s
أرسل	ʔ a r s a l a
أرشذونة	ʔ u r ʃ u ð uː n a
أرشيدوق	ʔ a r ʃ iː d uː q
أرشيدوقة	ʔ a r ʃ iː d uː q a
أرشيدوقية	ʔ a r ʃ iː d uː q i j j a
أرصفة	ʔ a r sˤ i f a
أرض	ʔ a r dˤ
أرضة	ʔ a r a dˤ a
أرضي	ʔ a r dˤ i j j
أرضية	ʔ a r dˤ i j j a
أرعب	ʔ a r ʕ a b a
أرغان	ʔ a r ɣ aː n
أرغفة	ʔ a r ɣ i f a
أرقان	ʔ a r q aː n
أرقان	ʔ a r ɡ aː n
أركان	ʔ a r k aː n
أركش	ʔ a r k u ʃ
أركن	ʔ a r k u n
أركنساس	ʔ a r k a n s aː s
أركون	ʔ a r k uː n
أرم	ʔ a r m i
أرم	ʔ u r m a
أرمل	ʔ a r m a l
أرمل	ʔ a r m a l a
أرملة	ʔ a r m a l a
أرمن	ʔ a r m a n
أرمية	ʔ a r m i j a
أرمية	ʔ u r m i j a
أرمينيا	ʔ a r m iː n i j aː
أرنؤدي	ʔ a r n a ʔ u d i j j
أرنب	ʔ a r n a b
أرنيط	ʔ a r n iː tˤ
أرهب	ʔ a r h a b a
أرهق	ʔ a r h a q a
أرواح	a r w aː ħ
أروفى	ʔ u r uː f aː
أرومة	ʔ a r uː m a
أرومة	ʔ u r uː m a
أرومية	ʔ u r uː m i j a
أريج	ʔ a r iː d͡ʒ
أريحا	ʔ a r iː ħ aː
أريزونا	ʔ a r iː z uː n aː
أريكا	ʔ a r iː k aː
أريكة	ʔ a r iː k a
أزأم	ʔ a z ʔ a m a
أزاح	ʔ a z aː ħ a
أزادرخت	ʔ a z aː d a r x a t
أزب	ʔ a z a b b
أزدرخت	ʔ a z d a r x a t
أزرع	ʔ a z r a ʕ a
أزرق	ʔ a z r a q
أزعج	ʔ a z ʕ a d͡ʒ a
أزعر	ʔ a z ʕ a r
أزعل	ʔ a z a ʕ a l a
أزل	ʔ a z a l
أزل	ʔ a z u l
أزلي	ʔ a z a l i j j
أسارون	ʔ a s aː r uː n
أساس	ʔ a s aː s
أساسا	ʔ a s aː s a n
أساسي	ʔ a s aː s i j j
أساسيا	ʔ a s aː s i j j a n
أسامة	ʔ u s aː m a
أسباب	ʔ a s b aː b
أسباط	ʔ a s b aː tˤ
أسبوع	ʔ u s b uː ʕ
أسبوعي	ʔ u s b uː ʕ i j j
أستاذ	ʔ u s t aː d
أستاذ	ʔ u s t aː z
أستاذ	ʔ u s t aː ð
أستانا	ʔ a s t aː n aː
أستجة	ʔ a s t i d͡ʒ a
أسترالي	ʔ u s t u r aː l i j j
أستراليا	ʔ u s t u r aː l i j aː
أسترقة	ʔ a s t u r q a
أستير	ʔ a s t iː r
أسد	ʔ a s a d
أسرب	ʔ u s r u b
أسرة	ʔ a s i r r a
أسرة	ʔ u s r a
أسري	ʔ u s r i j j
أسس	ʔ a s s a s a
أسطرك	ʔ a s tˤ a r a k
أسطرلاب	ʔ a s tˤ u r l aː b
أسطمة	ʔ u s tˤ u m m a
أسطوانة	ʔ u s tˤ u w aː n a
أسطوخودس	ʔ u s tˤ uː x uː d u s
أسطوخودوس	ʔ u s tˤ uː x uː d uː s
أسطورة	ʔ u s tˤ uː r a
أسطوري	ʔ u s tˤ uː r i j j
أسطول	ʔ u s tˤ uː l
أسف	ʔ a s a f f a
أسف	ʔ a s i f a
أسفاراج	ʔ a s f aː r aː d͡ʒ
أسفر	ʔ a s f a r a
