a	a
abandonar	a β̞ ã n̪ d̪ o n a ɾ
abdicación	a β̞ ð̞ i k a θ j õ ŋ
abellota	a β̞ e ʎ o t̪ a
abellugu	a β̞ e ʎ u ɣ̞ u
abenayá	a β̞ e n a ʝ a
abeyota	a β̞ e ʝ o t̪ a
abeḷḷugu	a β̞ e ð̞͡s u ɣ̞ u
abiertamente	a β̞ j e ɾ t̪ a m ẽ n̪ t̪ e
ablana	a β̞ l a n a
ablanal	a β̞ l a n a l
abogáu	a β̞ o ɣ̞ a u̯
abreviatura	a β̞ ɾ e β̞ j a t̪ u ɾ a
abrir	a β̞ ɾ i ɾ
abruxar	a β̞ ɾ u ɕ a ɾ
abruxáu	a β̞ ɾ u ɕ a u̯
abxasu	a β̞ ɕ a s u
acabar	a k a β̞ a ɾ
acastellanar	a k a s̪ t̪ e ʎ a n a ɾ
acebu	a θ e β̞ u
aceite	a θ e i̯ t̪ e
acentu	a θ ẽ n̪ t̪ u
acepción	a θ e β̞ θ j õ ŋ
aceptar	a θ e β̞ t̪ a ɾ
acetona	a θ e t̪ o n a
aceutar	a θ ø u̯ t̪ a ɾ
achaplar	a t͡ɕ a p l a ɾ
acollechar	a k o ʎ e t͡ɕ a ɾ
acompangar	a k õ m p ã ŋ ɡ a ɾ
aconceyar	a k õ n̟ θ e ʝ a ɾ
acordión	a k o ɾ ð̞ j õ ŋ
acoyedor	a k o ʝ e ð̞ o ɾ
activar	a ɣ̞ t̪ i β̞ a ɾ
activas	a ɣ̞ t̪ i β̞ a s
acullú	a k u ʎ u
acutar	a k u t̪ a ɾ
adivinar	a ð̞ i β̞ i n a ɾ
adormir	a ð̞ o ɾ m i ɾ
afacer	a f a θ e ɾ
afirmar	a f i ɾ m a ɾ
afiáu	a f j a u̯
afogar	a f o ɣ̞ a ɾ
afondar	a f õ n̪ d̪ a ɾ
aforismu	a f o ɾ i z m u
aforrador	a f o r a ð̞ o ɾ
aforrar	a f o r a ɾ
aforru	a f o r u
africanu	a f ɾ i k a n u
agarradera	a ɣ̞ a r a ð̞ e ɾ a
agnosticismu	a ɣ̞ n o s̪ t̪ i θ i z m u
agrisáu	a ɣ̞ ɾ i s a u̯
agua	a ɣ̞ w a
aguacate	a ɣ̞ w a k a t̪ e
aguañu	a ɣ̞ w a ɲ u
aguya	a ɣ̞ u ʝ a
agüecar	a ɣ̞ w e k a ɾ
agüeldu	a ɣ̞ w e l̪ d̪ u
aición	a i̯ θ j õ ŋ
aire	a i̯ ɾ e
akán	a k ã ŋ
ala	a l a
albania	a l β̞ a n j a
albanés	a l β̞ a n e s
albaricoca	a l β̞ a ɾ i k o k a
albaricoque	a l β̞ a ɾ i k o k e
alcantarelláu	a l k ã n̪ t̪ a ɾ e ʎ a u̯
alcantariella	a l k ã n̪ t̪ a ɾ j e ʎ a
alce	a l̟ θ e
alderique	a l̪ d̪ e ɾ i k e
aldovinar	a l̪ d̪ o β̞ i n a ɾ
alemaña	a l e m a ɲ a
alemán	a l e m ã ŋ
alerxa	a l e ɾ ɕ a
alexandru	a l e ɕ ã n̪ d̪ ɾ u
algodón	a l ɣ̞ o ð̞ õ ŋ
alimentación	a l i m ẽ n̪ t̪ a θ j õ ŋ
allacrán	a ʎ a k ɾ ã ŋ
allargar	a ʎ a ɾ ɣ̞ a ɾ
allegría	a ʎ e ɣ̞ ɾ i a
alloñar	a ʎ o ɲ a ɾ
allumar	a ʎ u m a ɾ
almendra	a l m ẽ n̪ d̪ ɾ a
almitir	a l m i t̪ i ɾ
aluminiu	a l u m i n j u
alérxicu	a l e ɾ ɕ i k u
amagüestu	a m a ɣ̞ w e s̪ t̪ u
amberes	ã m b e ɾ e s
amosar	a m o s a ɾ
anarquía	a n a ɾ k i a
anatomía	a n a t̪ o m i a
andarina	ã n̪ d̪ a ɾ i n a
andorra	ã n̪ d̪ o r a
angola	ã ŋ ɡ o l a
anguaño	ã ŋ ɡ w a ɲ o
anguila	ã ŋ ɡ i l a
anicios	a n i θ j o s
aniciu	a n i θ j u
anque	ã ŋ k e
antoxu	ã n̪ t̪ o ɕ u
antroxu	ã n̪ t̪ ɾ o ɕ u
anubrir	a n u β̞ ɾ i ɾ
apanoyar	a p a n o ʝ a ɾ
apuñalar	a p u ɲ a l a ɾ
apéndiz	a p ẽ n̪ d̪ i θ
aquesta	a k e s t a
aqueste	a k e s̪ t̪ e
aquestes	a k e s t e s
aquesti	a k e s t i
aquesto	a k e s t o
aquestos	a k e s t o s
aquí	a k i
aragonesa	a ɾ a ɣ̞ o n e s a
aragoneses	a ɾ a ɣ̞ o n e s e s
aragoneso	a ɾ a ɣ̞ o n e s o
aragonés	a ɾ a ɣ̞ o n e s
arcánxel	a ɾ k ã ɲ ɕ e l
arguyu	a ɾ ɣ̞ u ʝ u
armenia	a ɾ m e n j a
arrampuñar	a r ã m p u ɲ a ɾ
arrexuntar	a r e ɕ ũ n̪ t̪ a ɾ
articulación	a ɾ t̪ i k u l a θ j õ ŋ
arxelia	a ɾ ɕ e l j a
arxelín	a ɾ ɕ e l ĩ ŋ
asar	a s a ɾ
asclepiu	a s k l e p j u
asemeyar	a s e m e ʝ a ɾ
asientos	a s j ẽ n̪ t̪ o s
asientu	a s j ẽ n̪ t̪ u
