aldaw	ʔ a l d a ʊ̯
baga	b a ɡ a
baka	b a k a
baka	b a k a ʔ
gamot	ɡ ɑ m o̝ t
hadaw	h a d a ʊ̯
hagyan	h a ɡ j ɑ n
hingaw	h i ŋ a ʊ̯
ikos	ɪ̝ k o̝ s
kahoy	k ɑ h o̝ ɪ̝
kamot	k ɑ m o̝ t
kaulay	k a ʔ u l a ɪ̯
langaw	l a ŋ a ʊ̯
langkaw	l a ŋ k a ʊ̯
ligao	l i ɡ a ʊ̯
lugaw	l u ɡ a ʊ̯
luhay	l u h a ɪ̯
maluhay	m a l u h a ɪ̯
malumoy	m a l u m o ɪ̯
manay	m a n a ɪ̯
manay	m a n a ɪ̯
pangadyi	p a ŋ a d͡ʒ i ʔ
sabaw	s a b a ʊ̯
siisay	s i ʔ i s a ɪ̯
siriisay	s i ɾ i ʔ i s a ɪ̯
sosyal	s o ʃ a l
suwa	s w a ʔ
tadaw	t a ʔ d a ʊ̯
ukay	ʔ u k a ɪ̯
ulay	ʔ u l a ɪ̯
walo	w ɑ l o̝
