ং	ŋ
অ	o
অ	ɔ
অঁকোল	ɔ̃ k o l
অংকন	ɔ ŋ k o n
অংগুস্তানা	o ŋ ɡ u ʃ t a n a
অংশ	ɔ ŋ ʃ o
অংশক	ɔ ŋ ʃ ɔ k
অংশমান	ɔ ŋ ʃ ɔ m a n
অংশল	ɔ ŋ ʃ ɔ l
অংশাবতার	ɔ ŋ ʃ a b o t̪ a ɾ
অংশু	ɔ ŋ ʃ u
অংশুল	ɔ ŋ ʃ u l
অংশুশিরা	ɔ ŋ ʃ u ʃ i ɾ a
অংহ	ɔ ŋ ɦ o
অই	o i̯
অওসৎ	ɔ o̯ s ɔ t̪
অওসৎ	ɔ o̯ ʃ ɔ t̪
অকথা	ɔ k ɔ t̪ʰ a
অকপটচিত্তে	ɔ k ɔ p ɔ ʈ t ʃ i t̪ː e
অকমনীয়	ɔ k ɔ m o n i̯ o
অকম্পিত	ɔ k ɔ m p i t̪ o
অকরণ	ɔ k ɾ o n
অকর্তা	ɔ k ɔ ɾ t̪ a
অকর্মা	ɔ k ɔ ɾ m a
অকর্মিষ্ঠ	ɔ k o r m i ʃ ʈʰ o
অকর্ষিত	ɔ k ɔ ɾ ʃ i t̪ o
অকল	ɔ k ɔ l
অকলঙ্ক	ɔ k ɔ l o ŋ k o
অকলঙ্কিত	ɔ k ɔ l o ŋ k i t̪ o
অকলঙ্কিতা	ɔ k ɔ l o ŋ k i t̪ a
অকলঙ্কিনী	ɔ k ɔ l o ŋ k i n i
অকলঙ্কী	ɔ k ɔ l o ŋ k i
অকলমন্দ	ɔ k o l m ɔ n d̪
অকলমন্দ	ɔ k o l m ɔ n d̪ o
অকলুষ	ɔ k o l u ʃ
অকলুষিত	ɔ k o l u ʃ i t̪ o
অকল্ক	ɔ k ɔ l k ɔ
অকল্কা	ɔ k ɔ l k a
অকল্পনা	ɔ k ɔ l p ɔ n a
অকল্পনীয়	ɔ k ɔ l p o n i o
অকল্পিত	ɔ k o l p i t̪ o
অকল্মষ	ɔ k ɔ l m o ʃ
অকল্যাণ	ɔ k ɔ l l a n
অকল্যাণকর	ɔ k o l l a n k ɔ r
অকল্যাণকারিণী	ɔ k ɔ lː a n k a ɾ i n i
অকষ্ট	ɔ k ɔ ʃ ʈ o
অকষ্টকল্পনা	ɔ k ɔ ʃ ʈ o k ɔ l p o n a
অকষ্টকল্পিত	ɔ k ɔ ʃ ʈ o k o l p i t̪ o
অকষ্টবদ্ধ	ɔ k ɔ ʃ ʈ o b ɔ d̪ d̪ʰ o
অকস্মাৎ	ɔ k ɔ ʃː a t̪
অকাজ	ɔ k a d ʒ
অকাট	ɔ k a ʈ
অকাট্য	ɔ k a ʈː o
অকাঠ	ɔ k a ʈʰ
অকাঠা	ɔ k a ʈʰ a
অকাণ্ড	ɔ k a n ɖ ɔ
অকাণ্ডে	ɔ k a n ɖ e
অকাতর	ɔ k a t̪ ɔ ɾ
অকাতরে	ɔ k a t̪ ɔ ɾ e
অকাপট্য	ɔ k a p o ʈ ʈ o
অকাম	ɔ k a m
অকাম্য	ɔ k a mː o
অকায়	ɔ k aʲ
অকার	ɔ k a r
অকারণ	ɔ k a ɾ o n
অকারণে	ɔ k a ɾ ɔ n e
অকারত	ɔ k a ɾ ɔ t̪
অকারাদি	ɔ k a ɾ a d̪ i
অকারান্ত	ɔ k a ɾ a n t̪ o
অকার্য	ɔ k a ɾ d ʒ o
অকার্যকর	ɔ k a ɾ d͡ʒ ɔ k ɔ ɾ ɔ
অকার্যকরী	ɔ k a ɾ d͡ʒ ɔ k ɔ ɾ i
অকার্যকারিতা	ɔ k a r ɟ ɟ o k a r i t̪ a
অকাল	ɔ k a l
অকালকুষ্মাণ্ড	ɔ k a l k u ʃ m a n ɖ o
অকালকুষ্মাণ্ড	ɔ k a l k u ʃ ʃ a n ɖ o
অকালজ	ɔ k a l o ɟ o
অকালজ	ɔ k a l ɔ ɟ
অকালজাত	ɔ k a l ɟ a t̪ o
অকালপক্ব	ɔ k a l p ɔ k k o
অকালপক্বতা	ɔ k a l p ɔ kː ɔ t̪ a
অকালবর্ষণ	ɔ k a l b ɔ r ʃ ɔ n
অকালবার্ধক্য	ɔ k a l b a r d̪ʰ o k k o
অকালবৃদ্ধ	ɔ k a l b ɾ i d̪ d̪ʱ ɔ
অকালবোধন	ɔ k a l b o d̪ʱ ɔ n
অকালমৃত্যু	ɔ k a l m ɾ i t̪ː u
অকালসন্ধ্যা	ɔ k a l ɔ ʃ ɔ n d̪ʱ a
অকালী	ɔ k a l i
অকালে	ɔ k a l e
অকাল্পনিক	ɔ k a l p o n i k
অকিঞ্চন	ɔ k i n c ɔ n
অকিঞ্চনতা	ɔ k i n t ʃ ɔ n o t̪ a
অকিঞ্চনত্ব	ɔ k i n t ʃ ɔ n o t̪ː o
অকিঞ্চিৎ	ɔ k i n t ʃ i t̪
অকিঞ্চিৎকর	ɔ k i n c i t̪ k ɔ r
অকিঞ্চিৎকরতা	ɔ k i n t ʃ i t̪ k ɔ ɾ o t̪ a
অকীর্ত	ɔ k i r t̪ ɔ
অকীর্তি	ɔ k i r t̪ i
অকীর্তিকর	ɔ k i ɾ t̪ i k ɔ ɾ
অকীর্তিত	ɔ k i r t̪ i t̪ o
অকু	o k u
অকুআত	o k u͡a̯ t̪
অকুটিলতা	ɔ k u ʈ i l ɔ t̪ a
অকুটিলা	ɔ k u ʈ i l a
অকুণ্ঠ	ɔ k u n ʈ h o
অকুণ্ঠচিত্ত	ɔ k u n ʈ h o c i t̪ t̪ o
অকুণ্ঠচিত্তে	ɔ k u n ʈ h o c i t̪ t̪ e
অকুণ্ঠিত	ɔ k u n ʈ h i t̪ o
অকুণ্ঠিতচিত্ত	ɔ k u n ʈʰ i t̪ ɔ t ʃ i t̪ː o
অকুণ্ঠিতচিত্তে	ɔ k u n ʈʰ i t̪ ɔ t ʃ i t̪ː e
অকুণ্ঠিতা	ɔ k u n ʈ h i t̪ a
অকুতোভয়	ɔ k u t̪ o bʱ ɔʲ
অকুতোভয়তা	ɔ k u t̪ o bʱ ɔʲ ɔ t̪ a
অকুতোভয়া	ɔ k u t̪ o bʱ ɔʲ a
অকুফ	o k u pʰ
অকুল	ɔ k u l
অকুলন	ɔ k u l ɔ n
অকুলান	ɔ k u l a n
অকুলীন	ɔ k u l i n
