Ага	ä ʁ ɐ
Ази	äː zʲ ɪ
Байгал	b ɛ͡e̞ ʁ ɐ l
Буряад	b ʊ rʲ äː t
Бээжэн	b eː ʒ ɤ ŋ
Википеэди	vʲ ɪ kʰʲ ɪ pʰʲ e̞ː dʲ ɪ
Доржо	d ɔ̟ r ʒ ɜ
Европо	j ɪ v r ɔ̝ ˖ː pʰ ɜ
Захаамин	z ä̟ χ ɑː mʲ ɪ ɴ̟
Монгол	m ɔ ɴ ɢ ɜ l
Омскодо	ɔː m s kʰ ɜ d ɜ̟
Орос	ɔ r ɜ s
Оросой	ɔ r ɞ s œ͡ɛ
Росси	r ɐ sʲ iː
Россиин	r ɐ sʲ iː ŋ
Сибирь	sʰʲ ɪ bʲ iː rʲ
Сэлэнгэ	sʰ ɨ̞ l ɤ̽ ŋ ɡ ɤ̞
Сүхэ	s u x ɤ̞
Цыренов	t͜sʰ ɨ̞ rʲ e̞ː n ɤ̞ f
Цыреновэй	t͜sʰ ɨ̞ rʲ e̞ː n ɤ̞ v e̞ː
Швейцари	ʃ vʲ ɪ j t͜sʰ äː rʲ ɪ
Шэтэ	ʃ ɨ̞ tʰ ɤ̞
Эрхүү	e̝ r x uː
абаха	ä βʷ ɐ χ ɐ
агаар	ä ʁ äː r
аймаг	ɛː m ɐ q ˖
алаха	ä l ɐ̟ χ ɐ
арбан	ä r βʷ ɐ ɴ̟
баабгай	bʷ äː βʷ ʁ ɛ̠ː
бадма	b ä d m ɐ
баруун	bʷ ä r ʊː ɴ̟
би	bʲ i
бидэ	p̬ʲ i d ɤ̟
биологи	bʲ ɔː l ɔː ɡʲ ɪ
боло	b ɔ l ɜ
бороо	b ɔ r ɔ̟ː
бурхан	b ʊ r χ ɐ ɴ̟
буряад	b ʊ rʲ ä̟ː t
буу	b ʊː
бү	b u
выставкэ	v ɨː s tʰ ɤ̞ ˖ f kʰ ɤ̞
газар	ɢ ɑ z ɐ̟ r
газетэ	ɡ ɐ zʲ e̞ː tʰ ɤ̞
гахай	ɢ ä χ ɛː
гашуун	ɢ ɑ ʃ ʊː ɴ̟
гэр	ɡ ɤ r
гэрнүүд	ɡ ɤ r n uː t
долоон	d ɔ̟ l ɔ̟ː ɴ̟
дуратайб	d ʊ r ɐ tʰ ɛ͡e̞ p
дуулаха	d ʊ̟ː l ɐ̟ χ ɐ
дуун	d ʊː ŋ
дэрэ	d e̝ r ɤ̟
жажалха	ʒ ä ʒ ɐ l χ ɐ
