А	a
Абаджиев	ɐ b ɐ d ʒ i ɛ f
Авакум	ɐ v ɐ k u m
Аврамов	ɐ v r a m o f
Австралия	ɐ f s t r a l i j ɐ
Австрия	a f s t r i j ɐ
Агура	ɐ ɡ u r ɐ
Адам	a d ɐ m
Адам	ɐ d a m
Адамс	a d ɐ m s
Аерофлот	ɐ ɛ r o f ɫ ɔ t
Азербайджан	ɐ z ɛ r b ɐ j d ʒ a̟ n
Азия	a z i j ɐ
Айрин	ɐ j r i n
Айрис	a j r i s
Аладжов	ɐ ɫ ɐ d ʒ ɔ f
Албания	ɐ ɫ b a n i j ɐ
Албена	ɐ ɫ b ɛ n ɐ
Албърт	a ɫ b ɐ r t
Александра	ɐ l ɛ k s a n d r ɐ
Александрия	ɐ l ɛ k s a n d r i j ɐ
Александрия	ɐ l ɛ k s ɐ n d r i j ɐ
Александров	ɐ l ɛ k s a n d r o f
Алексиев	ɐ l ɛ k s i ɛ f
Алексов	ɐ l ɛ k s o f
Алесандра	ɐ l ɛ s a n d r ɐ
Алис	a l i s
Алистър	ɐ l i s t ɐ r
Алисън	a l i s ɐ n
Аллах	ɐ ɫ ɫ a x
Алпи	a ɫ p i
Алфонсо	ɐ ɫ f ɔ n s o
Аманда	ɐ m a n d ɐ
Америка	ɐ m ɛ r i k ɐ
Ана	a n ɐ
Ангелина	ɐ ŋ ɡ ɛ l i n ɐ
Ангелов	a ŋ ɡ ɛ ɫ o f
Англия	a ŋ ɡ l i j ɐ
Андора	ɐ n d ɔ r ɐ
Андрю	a n d rʲ o̟
Анелия	ɐ n ɛ l i j ɐ
Анелка	ɐ n ɛ ɫ k ɐ
Анета	ɐ n ɛ t ɐ
Анкара	ɐ ŋ k a r ɐ
Антарктида	ɐ n t ɐ r k t i d ɐ
Антарктидо	ɐ n t ɐ r k t i d o
Антоанета	ɐ n t o ɐ n ɛ t ɐ
Антон	ɐ n t ɔ n
Антъни	a n t ɐ n i
Апостолов	ɐ p ɔ s t o ɫ o f
Арес	a r ɛ s
Аржентина	ɐ r ʒ ɛ n t i n ɐ
