A	t͡ɕ i̯ ɛ n ⁵ ⁵
A	ˀe ɪ̯ ⁵ ⁵
A	ˀä ⁵ ⁵
AA	ˀe ɪ̯ ⁵ ⁵ ˀe ɪ̯ ⁵ ⁵
ABO	ˀe ɪ̯ ⁵ ⁵ p i ⁵ ¹ ˀo ʊ̯ ⁵ ⁵
ABO	ˀe ɪ̯ ⁵ ⁵ p i ⁵ ⁵ ˀo ʊ̯ ⁵ ⁵
APP	ˀe ɪ̯ ⁵ ⁵ pʰ i ⁵ ⁵ pʰ i ⁵ ⁵
AV	ˀe ɪ̯ ⁵ ⁵ w e ɪ̯ ⁵ ⁵
B	p i ⁵ ¹
B	p i ⁵ ⁵
B	p u̯ ɔ ⁵ ⁵
B	p ɛ ⁵ ⁵
BB	p i ⁵ ⁵ b̥ i ²
BB	p i ⁵ ⁵ p i ⁵ ⁵
BBQ	p ä ⁵ ⁵ p i ² ¹ ⁴ ⁻ ² ¹ kʰ i̯ o ʊ̯ ⁵ ⁵
BGM	p i ⁵ ¹ ⁻ ⁵ ³ t͡ɕ i ⁵ ¹ ˀa ɪ̯ m ³ ⁵
BT	p i ⁵ ¹ ⁻ ⁵ ³ tʰ i ⁵ ¹
BY	p a ɪ̯ ⁵ ⁵
BYD	p i ⁵ ⁵ j ɑ ŋ ² ¹ ⁴ d̥ ə ⁴
C	s e ɪ̯ ⁵ ⁵
C	t͡sʰ z̩ ⁵ ⁵
C	t͡sʰ ɛ ⁵ ⁵
C	ɕ i ⁵ ⁵
CD	s e ɪ̯ ⁵ ⁵ t i ⁵ ¹
CD	ɕ i ⁵ ⁵ t i ⁵ ¹
CD	ɕ i ⁵ ⁵ t i ⁵ ⁵
CNM	t͡sʰ ɑ ʊ̯ ⁵ ¹ n i ² ¹ ⁴ ⁻ ² ¹ m ä ⁵ ⁵
CP	ɕ i ⁵ ⁵ pʰ i ⁵ ⁵
D	t i ⁵ ¹
D	t ɛ ⁵ ⁵
D	t ɤ ⁵ ⁵
DIY	t i ⁵ ¹ ˀa ɪ̯ ⁵ ⁵ w a ɪ̯ ⁵ ⁵
DIY	t i ⁵ ⁵ ˀa ɪ̯ ⁵ ⁵ w a ɪ̯ ⁵ ⁵
DNA	t i ⁵ ¹ ˀə n ⁵ ⁵ n e ɪ̯ ⁵ ⁵
DNA	t i ⁵ ¹ ˀə n ⁵ ⁵ ˀe ɪ̯ ⁵ ⁵
E	i ⁵ ¹
E	ˀɤ ⁵ ⁵
ED	i ⁵ ¹ ⁻ ⁵ ³ t i ⁵ ¹
F	f u̯ ɔ ⁵ ⁵
F	ˀa ɪ̯ ³ ⁵ f u ³
G	k ɛ ⁵ ⁵
G	k ɤ ⁵ ⁵
G	t͡ɕ i ⁵ ¹
GDP	t͡ɕ i ⁵ ¹ ⁻ ⁵ ³ t i ⁵ ¹ ⁻ ⁵ ³ pʰ i ⁵ ¹
GDP	t͡ɕ y ⁵ ⁵ t i ⁵ ⁵ pʰ i ⁵ ⁵
GG	k u ² ¹ ⁴ ⁻ ² ¹ k ɤ ⁵ ⁵
GG	k u ⁵ ⁵ g̊ o ʊ̯ ²
