acosis	a t͡s o s i s
amiskwak	a m i s k w a k
anikwacâs	a n i k w a t͡s aː s
asinîwaciy	a s i n iː w a t͡s i j
askihkwak	a s k iʰ k w a k
atihk	a t i h k
atihkwak	a t iʰ k w a k
atâwâkan	a t aː w aː k a n
awa	a w a
awahkânisis	a w aʰ k aː n i s i s
awas	a w a s
ayahciyiniw	a j aʰ t͡s i j i n i w
ayahciyinînâhk	a j aʰ t͡s i j iː n iː n aːʰ k
ayîkis	a j iː k i s
ihkwa	iʰ k w a
iskotêw	i s k o t eː w
iyinisip	i j i n i s i p
kahkiyaw	k aʰ k i j a w
kayâs	k a j aː s
kinêpikwak	k i n eː p i k w a k
kiyâsk	k i j aː s k
kiyâskwak	k i j aː s k w a k
kohkompaninawak	k oʰ k o m p a n i n a w a k
kâhkêwak	k aː h k eː w a k
kâhkêwakwa	k aːʰ k eː w a k w a
kêhtê	k eːʰ t eː
kîsik	k iː s i k
kîsikwa	k iː s i k w a
kîsikâw	k iː s i k aː w
kîspin	k iː s p i n
mahkêsîs	m a h k eː s iː s
mahtâmin	m a h t aː m i n
maskihkiwiskwêw	m a s k i h k i w i s k w eː w
maskihkiwiyiniw	m a s k i h k i w i j i n i w
maskihkiy	m a s k i h k i j
maskosiy	m a s k o s i j
maskêkwa	m a s k eː k w a
ministik	m i n i s t i k
ministikwa	m i n i s t i k w a
miskwamiy	m i s k w a m i j
mistahi	m i s t a h i
mostoswak	m o s t o s w a k
mâkwa	m aː k w a
mîkisis	m iː k i s i s
mîkiwâhp	m iː k i w aː h p
mîkwan	m iː k w a n
mîna	m iː n a
mînisâpoy	m iː n i s aː p o j
môniyâw	m oː n i j aː w
nama	n a m a
namôya	n a m oː j a
nikikwak	n i k i k w a k
nipiy	n i p i j
nâpêstim	n aː p eː s t i m
nâpêstimwak	n aː p eː s t i m w a k
nîpisiy	n iː p i s i j
nîpiy	n iː p i j
nôsêpihyêw	n oː s eː p i h j eː w
nôtinâkan	n oː t i n aː k a n
nôtokwêsiw	n oː t o k w eː s i w
ohci	oʰ t͡s i
okimâw	o k i m aː w
opîtatowêw	o p iː t a t o w eː w
oski	o s k i
oskinîkiw	o s k i n iː k i w
otakisihkân	o t a k i s iʰ k aː n
otipêmisiw	o t i p eː m i s i w
otipêmisiwak	o t i p eː m i s i w a k
otêhimin	o t eː h i m i n
otêhipak	o t eː h i p a k
pakamâkan	p a k a m aː k a n
pihko	p i h k o
pisiskiw	p i s i s k i w
pisiw	p i s i w
pâwistik	p aː w i s t i k
pâwistikwa	p aː w i s t i k w a
pîkanowiyiniw	p iː k a n o w i j i n i w
pîwâpisk	p iː w aː p i s k
pîwâpiskos	p iː w aː p i s k o s
pîwâpiskwa	p iː w aː p i s k w a
sakâw	s a k aː w
sîpiy	s iː p i j
sôniyâw	s oː n i j aː w
tipahikan	t i p a h i k a n
tipiskâw	t i p i s k aː w
waciy	w a t͡s i j
wahkohtowin	w aʰ k oʰ t o w i n
wiyâs	w i j aː s
wâciy	w aː t͡s i j
wâpakonîw	w aː p a k o n iː w
wâposwak	w aː p o s w a k
wâskahikan	w aː s k a h i k a n
wîhtikow	w iː h t i k o w
wîhôwin	w iː h oː w i n
wîkimâkan	w iː k i m aː k a n
wîsahkêcâhk	w iː s aʰ k eː t͡s aːʰ k
yêkaw	j eː k a w
yôtin	j oː t i n
âcimow	aː t͡s i m o w
âcimowin	aː t͡s i m o w i n
âcimôwin	aː t͡s i m oː w i n
âtayôhkan	aː t a j oː h k a n
âtayôhkêwin	aː t a j oːʰ k eː w i n
êkwa	eː k w a
ôhi	oː h i
ôhow	oː h o w
ôki	oː k i
ôma	oː m a
