A	aː
â	a
â	aː
ab	a b
abad	a b a d
abadaeth	a b a d a ɨ̯ θ
abadaeth	a b a d ɛ θ
abadaeth	a b a d ɛ θ
abadaethau	a b a d e ɨ̯ θ a ɨ̯
abadaethau	a b a d e ɨ̯ θ ɛ
abadaethau	a b a d e ɨ̯ θ a
abadaethau	a b a d e ɨ̯ θ ɛ
abadaethau	a b a d e ɨ̯ θ a
abadau	a b a d a ɨ̯
abadau	a b a d ɛ
abadau	a b a d a
abadau	a b a d ɛ
abadau	a b a d a
abades	a b a d ɛ s
abadesau	a b a d ɛ s a ɨ̯
abadesau	a b a d ɛ s ɛ
abadesau	a b a d ɛ s a
abadesau	a b a d ɛ s ɛ
abadesau	a b a d ɛ s a
aball	a b a ɬ
aballu	a b a ɬ ɨ̞
abatai	a b a t a ɨ̯
abatir	a b a t ɪ r
abatiroedd	a b a t ɪ r ɔ ɨ̯ ð
abaty	a b a t ɨ̞
abathocroalaidd	a b a θ ɔ k r ɔ a l a i̯ ð
aber	a b ɛ r
Aberaeron	a b ɛ r e ɨ̯ r ɔ n
Aberafan	a b ɛ r a v a n
Aberdâr	a b ɛ r d aː r
Aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð a ɨ̯
Aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð ɛ
Aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð a
Aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð ɛ
Aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð a
Aberdyfi	a b ɛ r d ə v i
Abergele	a b ɛ r ɡ ɛ l ɛ
abergofiant	a b ɛ r ɡ ɔ v j a n t
Abergwaun	a b ɛ r ɡ w a ɨ̯ n
Aberhonddu	a b ɛ r h ɔ n ð ɨ
Abertawe	a b ɛ r t a u̯ ɛ
Aberteifi	a b ɛ r t e i̯ v i
aberth	a b ɛ r θ
aberthau	a b ɛ r θ a ɨ̯
aberthau	a b ɛ r θ ɛ
aberthau	a b ɛ r θ a
aberthau	a b ɛ r θ ɛ
aberthau	a b ɛ r θ a
aberthged	a b ɛ r θ ɡ ɛ d
aberthgedau	a b ɛ r θ ɡ ɛ d a ɨ̯
aberthgedau	a b ɛ r θ ɡ ɛ d ɛ
aberthgedau	a b ɛ r θ ɡ ɛ d a
aberthgedau	a b ɛ r θ ɡ ɛ d ɛ
aberthgedau	a b ɛ r θ ɡ ɛ d a
aberthu	a b ɛ r θ ɨ̞
aberthwr	a b ɛ r θ ʊ r
Aberystwyth	a b ɛ r ə s d w ɨ̞ θ
abl	a b l
abladol	a b l a d ɔ l
abo	a b ɔ
abostl	a b ɔ s d l
abostol	a b ɔ s d ɔ l
absen	a b s ɛ n
absennau	a b s ɛ n a ɨ̯
absennau	a b s ɛ n ɛ
absennau	a b s ɛ n a
absennau	a b s ɛ n ɛ
absennau	a b s ɛ n a
absennol	a b s ɛ n ɔ l
absennu	a b s ɛ n ɨ
absenoldeb	a b s ɛ n ɔ l d ɛ b
absenoldeb	a b s ɛ n ɔ l d a b
absenoldeb	a b s ɛ n ɔ l d a b
absoliwt	a p s ɔ l ɪ u̯ t
abwyd	a b ʊ ɨ̯ d
abwydyn	a b ʊ ɨ̯ d ɨ̞ n
academaidd	a k a d ɛ m a i̯ ð
academaidd	a k a d ɛ m ɛ ð
academaidd	a k a d ɛ m ɛ ð
academi	a k a d ɛ m i
academïau	a k a d ɛ m iː a ɨ̯
academïau	a k a d ɛ m iː ɛ
academïau	a k a d ɛ m iː a
academïau	a k a d ɛ m iː ɛ
academïau	a k a d ɛ m iː a
academydd	a k a d ɛ m ɨ̞ ð
academyddion	a k a d ɛ m ə ð j ɔ n
acen	a k ɛ n
aceniad	a k ɛ n j a d
aceniadau	a k ɛ n j a d a ɨ̯
aceniadau	a k ɛ n j a d ɛ
aceniadau	a k ɛ n j a d a
aceniadau	a k ɛ n j a d ɛ
aceniadau	a k ɛ n j a d a
acenion	a k ɛ n j ɔ n
acennu	a k ɛ n ɨ
acer	a k ɛ r
acer	a k a r
acer	a k a r
aceri	a k ɛ r ɪ
aciwbigo	a k ɪ u̯ b ɪ ɡ ɔ
acryl	a k r ɨ̞ l
acrylig	a k r ɨ̞ l ɪ ɡ
act	a k t
actau	a k t a ɨ̯
actau	a k t ɛ
actau	a k t a
actau	a k t ɛ
actau	a k t a
acti	a k t i
actiniwm	a k t ɪ n j ʊ m
actio	a k t j ɔ
actor	a k t ɔ r
actores	a k t ɔ r ɛ s
actoresau	a k t ɔ r ɛ s a ɨ̯
actoresau	a k t ɔ r ɛ s ɛ
actoresau	a k t ɔ r ɛ s a
actoresau	a k t ɔ r ɛ s ɛ
actoresau	a k t ɔ r ɛ s a
actorion	a k t ɔ r j ɔ n
acw	a k ʊ
ach	aː χ
ach	a χ
acha	a χ a
achan	a χ a n
achles	a χ l ɛ s
achlesau	a χ l ɛ s a ɨ̯
achlesau	a χ l ɛ s ɛ
achlesau	a χ l ɛ s a
achlesau	a χ l ɛ s ɛ
achlesau	a χ l ɛ s a
achlesu	a χ l ɛ s ɨ̞
achlod	a χ l ɔ d
achlust	a χ l ɨ̞ s d
achlysur	a χ l ə s ɨ̞ r
achlysuro	a χ l ə s ɨ̞ r ɔ
achlysurol	a χ l ə s ɨ̞ r ɔ l
achlysuron	a χ l ə s ɨ̞ r ɔ n
achoedd	aː χ ɔ i̯ ð
achos	a χ ɔ s
achos	χ ɔ s
achosi	a χ ɔ s i
achosion	a χ ɔ ʃ ɔ n
achres	a χ r ɛ s
achub	a χ ɨ̞ b
achubadwy	a χ ɨ̞ b a d ʊ ɨ̯
achubedig	a χ ɨ̞ b ɛ d ɪ ɡ
achubiad	a χ ɨ̞ b j a d
achubiaeth	a χ ɨ̞ b j a ɨ̯ θ
achubiaeth	a χ ɨ̞ b j ɛ θ
achubiaeth	a χ ɨ̞ b j ɛ θ
achubol	a χ ɨ̞ b ɔ l
achubwr	a χ ɨ̞ b ʊ r
achubwyr	a χ ɨ̞ b w ɨ̞ r
achubydd	a χ ɨ̞ b ɨ̞ ð
achwre	a χ w r ɛ
achwyn	a χ ʊ ɨ̯ n
achwyn	a χ w ɨ̞ n
achwyniad	a χ ʊ ɨ̯ n j a d
achwyniadau	a χ ʊ ɨ̯ n j a d a ɨ̯
achwyniadau	a χ ʊ ɨ̯ n j a d ɛ
achwyniadau	a χ ʊ ɨ̯ n j a d a
achwyniadau	a χ ʊ ɨ̯ n j a d ɛ
achwyniadau	a χ ʊ ɨ̯ n j a d a
achwynwr	a χ ʊ ɨ̯ n ʊ r
achwynwyr	a χ ʊ ɨ̯ n w ɨ̞ r
achwynydd	a χ ʊ ɨ̯ n j ɨ̞ ð
achydd	a χ ɨ̞ ð
achyddiaeth	a χ ə ð j a ɨ̯ θ
achyddiaeth	a χ ə ð j ɛ θ
achyddiaeth	a χ ə ð j ɛ θ
achyddion	a χ ə ð j ɔ n
achyddol	a χ ə ð ɔ l
ad	aː d
adael	a d a ɨ̯ l
adael	a d ɛ l
adael	a d a l
adael	a d ɛ l
adael	a d a l
adail	a d a i̯ l
adain	a d a i̯ n
adain	a d ɛ n
adain	a d a n
adain	a d ɛ n
adain	a d a n
adainredyn	a d a i̯ n r ɛ d ɨ̞ n
adalw	a d a l u
adalwadwy	a d a l w a d ʊ ɨ̯
adanedd	a d a n ɛ ð
adar	a d a r
adara	a d a r a
adardai	a d a r d a i̯
adardy	a d a r d ɨ̞
adareg	a d a r ɛ ɡ
adaregol	a d a r ɛ ɡ ɔ l
adaregwyr	a d a r ɛ ɡ w ɨ̞ r
adaregydd	a d a r ɛ ɡ ɨ̞ ð
adargi	a d a r ɡ ɪ
adargraffiad	a d a r ɡ r a f j a d
adargraffiadau	a d a r ɡ r a f j a d a ɨ̯
adargraffiadau	a d a r ɡ r a f j a d ɛ
adargraffiadau	a d a r ɡ r a f j a d a
adargraffiadau	a d a r ɡ r a f j a d ɛ
adargraffiadau	a d a r ɡ r a f j a d a
adargraffu	a d a r ɡ r a f ɨ̞
adargwn	a d a r ɡ ʊ n
adarwr	a d a r ʊ r
adarwyr	a d a r w ɨ̞ r
adarydd	a d a r ɨ̞ ð
adarydda	a d a r ə ð a
adaryddiaeth	a d a r ə ð j a ɨ̯ θ
adaryddiaeth	a d a r ə ð j ɛ θ
adaryddiaeth	a d a r ə ð j ɛ θ
adaryddion	a d a r ə ð j ɔ n
adawed	a d a u̯ ɛ d
adborth	a d b ɔ r θ
adborthion	a d b ɔ r θ j ɔ n
adeg	a d ɛ ɡ
adeg	a d a ɡ
adeg	a d a ɡ
adegau	a d ɛ ɡ a ɨ̯
adegau	a d ɛ ɡ ɛ
adegau	a d ɛ ɡ a
adegau	a d ɛ ɡ ɛ
adegau	a d ɛ ɡ a
adeilad	a d e i̯ l a d
adeiladaeth	a d e i̯ l a d a ɨ̯ θ
adeiladaeth	a d e i̯ l a d ɛ θ
adeiladaeth	a d e i̯ l a d ɛ θ
adeiladaethau	a d e i̯ l a d e ɨ̯ θ a ɨ̯
adeiladaethau	a d e i̯ l a d e ɨ̯ θ ɛ
adeiladaethau	a d e i̯ l a d e ɨ̯ θ a
adeiladaethau	a d e i̯ l a d e ɨ̯ θ ɛ
adeiladaethau	a d e i̯ l a d e ɨ̯ θ a
adeiladau	a d e i̯ l a d a ɨ̯
adeiladau	a d e i̯ l a d ɛ
adeiladau	a d e i̯ l a d a
adeiladau	a d e i̯ l a d ɛ
adeiladau	a d e i̯ l a d a
adeiladol	a d e i̯ l a d ɔ l
adeiladu	a d e i̯ l a d ɨ̞
adeiladwaith	a d e i̯ l a d w a i̯ θ
adeiladwaith	a d e i̯ l a d w ɛ θ
adeiladwaith	a d e i̯ l a d w ɛ θ
adeiladweithiau	a d e i̯ l a d w e i̯ θ j a ɨ̯
adeiladweithiau	a d e i̯ l a d w e i̯ θ j ɛ
adeiladweithiau	a d e i̯ l a d w e i̯ θ j a
adeiladweithiau	a d e i̯ l a d w e i̯ θ j ɛ
adeiladweithiau	a d e i̯ l a d w e i̯ θ j a
adeiladwr	a d e i̯ l a d ʊ r
adeiladwyr	a d e i̯ l a d w ɨ̞ r
adeiledd	a d e i̯ l ɛ ð
adeileddeg	a d e i̯ l ɛ ð ɛ ɡ
adeileddiaeth	a d e i̯ l ɛ ð j a i̯ θ
adeileddiaeth	a d e i̯ l ɛ ð j ɛ θ
adeileddiaeth	a d e i̯ l ɛ ð j ɛ θ
adeileddiaeth	a d e i̯ l ɛ ð j a i̯ θ
adeileddiaeth	a d e i̯ l ɛ ð j ɛ θ
adeileddiaeth	a d e i̯ l ɛ ð j ɛ θ
adeileddol	a d e i̯ l ɛ ð ɔ l
adeileddu	a d e i̯ l ɛ ð ɨ̞
adeileddwr	a d e i̯ l ɛ ð ʊ r
adeiliad	a d e i̯ l j a d
adeinbiws	a d e i̯ n b ɪ u̯ s
adeinefydd	a d e i̯ n ɛ v ɨ̞ ð
adeiniog	a d e i̯ n j ɔ ɡ
aden	a d ɛ n
aden	a d a n
adenedigaeth	a d ɛ n ɛ d ɪ ɡ a ɨ̯ θ
adenedigaeth	a d ɛ n ɛ d ɪ ɡ ɛ θ
adenedigaeth	a d ɛ n ɛ d ɪ ɡ ɛ θ
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e ɨ̯ θ a ɨ̯
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e ɨ̯ θ ɛ
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e ɨ̯ θ a
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e ɨ̯ θ ɛ
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e ɨ̯ θ a
adenilladwy	a d ɛ n ɪ ɬ a d ʊ ɨ̯
adennill	a d ɛ n ɪ ɬ
adenydd	a d ɛ n ɨ̞ ð
aderyn	a d ɛ r ɨ̞ n
aderyn	d ɛ r ɨ̞ n
aderyn	d ɛ r ɨ̞ n
adfach	a d v a χ
adfachu	a d v a χ ɨ̞
adfail	a d v a i̯ l
adfeddiannu	a d v ɛ ð j a n ɨ
adfeiliad	a d v e i̯ l j a d
adfeiliadau	a d v e i̯ l j a d a ɨ̯
adfeiliadau	a d v e i̯ l j a d ɛ
adfeiliadau	a d v e i̯ l j a d a
adfeiliadau	a d v e i̯ l j a d ɛ
adfeiliadau	a d v e i̯ l j a d a
adfeiliedig	a d v e i̯ l j ɛ d ɪ ɡ
adfeilio	a d v e i̯ l j ɔ
adfeilion	a d v e i̯ l j ɔ n
Adfent	a d v ɛ n t
adfer	a d v ɛ r
