almyghty	a l m i ç t iː
chosling	t͡ʃ oː z l i ŋ ɡ
chosling	t͡ʃ oː z l i ŋ ɡ
dingen	d i ŋ ɡ ə n
flok	f l ʌ ɡ
fright	f r i ç t ə
fright	f r i ç t
frighten	f r i ç t ə n
fynger	f i ŋ ɡ ə r
heigh	h eː ç
heigh	h e i ç
heigh	h iː ç
hunger	h u ŋ ɡ ə r
hungren	h u ŋ ɡ r ə n
hungry	h u ŋ ɡ r iː
king	k i ŋ ɡ
lynx	l i ŋ k s
misgang	m i s ɡ a ŋ ɡ
myght	m i ç t
myght	m a u̯ x t
myghty	m i ç t iː
myghty	m a u x t iː
nihterne	n i ç t ə r n ə
nihterne	n i ç t ə r n
nothyng	n ɔː θ i ŋ ɡ
nyght	n i ç t
right	ɹ iː ç t
schryden	ʃ r eː d ə ~ ʒ r eː d ə
schryden	ʃ r eː d ə ~ ʒ r eː d
schryden	ʃ r eː d ~ ʒ r eː d ə
schryden	ʃ r eː d ~ ʒ r eː d
Spynx	s p i ŋ k s
thyng	θ i ŋ ɡ
tronke	t r u ŋ k
wrong	w r ɔ ŋ ɡ
wrong	r ɔ ŋ ɡ
wrongful	w r ɔ ŋ ɡ f u l
wrongful	r ɔ ŋ ɡ f u l
wrongfully	w r ɔ ŋ ɡ f u l iː
wrongfully	r ɔ ŋ ɡ f u l iː
