A	a
aba	a b a
ababor	a b a b o r
abade	a b a d e
abadegai	a b a d e ɡ a i̯
abadegintza	a b a d e ɡ i n t͡s̻ a
abadeki	a b a d e k i
abadesa	a b a d e s̺ a
abadetar	a b a d e t a r
abadetasun	a b a d e t a s̺ u n
abadetu	a b a d e t u
abadetza	a b a d e t͡s̻ a
abadia	a b a d i a
Abadiano	a b a d i a n o
abadot	a b a d o t
abagune	a b a ɡ u n e
abail	a b a i̯ l
abaila	a b a i̯ l a
abaila	a b a ʎ a
abaildu	a b a i̯ l d u
abaildura	a b a i̯ l d u ɾ a
abakando	a b a k a n d o
abako	a b a k o
abal	a b a l
abalatu	a b a l a t u
abaldun	a b a l d u n
abalkide	a b a l k i d e
abandonatu	a b a n d o n a t u
abandonu	a b a n d o n u
abangoardia	a b a n ɡ o a r d i a
abangoardismo	a b a n ɡ o a r d i s̺ m o
abangoardista	a b a n ɡ o a r d i s̺ t a
abant	a b a n t
abantada	a b a n t a d a
abantaila	a b a n t a i̯ l a
abantaila	a b a n t a ʎ a
abantailatsu	a b a n t a i̯ l a t͡s̺ u
abantailatsu	a b a n t a ʎ a t͡s̺ u
abantailatsu	a b a n t a ʎ a t͡s̺ u
abantailatsu	a b a n t a ʎ a t͡s̻ u
abantailatu	a b a n t a i̯ l a t u
abantailatu	a b a n t a ʎ a t u
abantailatuki	a b a n t a i̯ l a t u k i
abantailatuki	a b a n t a ʎ a t u k i
abantailos	a b a n t a i̯ l o s̺
abantailos	a b a n t a ʎ o s̺
abantailoski	a b a n t a i̯ l o s̺ k i
abantailoski	a b a n t a ʎ o s̺ k i
abantari	a b a n t a ɾ i
abantean	a b a n t e a n
abantzamendu	a b a n t͡s̻ a m e n d u
abantzatu	a b a n t͡s̻ a t u
abantzu	a b a n t͡s̻ u
abantzuño	a b a n t͡s̻ u ɲ o
abao	a b a o
abar	a b a r
abaraska	a b a ɾ a s̺ k a
abaritz	a b a ɾ i t͡s̻
abarizia	a b a ɾ i s̻ i a
abarizia	a b a ɾ i s̻ i a
abarizia	a b a ɾ i s̺ i a
abarizti	a b a ɾ i s̻ t i
abarizti	a b a ɾ i s̻ t i
abarizti	a b a ɾ i s̺ t i
abarka	a b a r k a
abarkadun	a b a r k a d u n
abarkagile	a b a r k a ɡ i l e
abarkagile	a b a r k a ɡ i ʎ e
abarkagin	a b a r k a ɡ i n
abarkagintza	a b a r k a ɡ i n t͡s̻ a
abarkari	a b a r k a ɾ i
abarketa	a b a r k e t a
abarketari	a b a r k e t a ɾ i
abaro	a b a ɾ o
abarotsu	a b a ɾ o t͡s̺ u
abarotsu	a b a ɾ o t͡s̺ u
abarotsu	a b a ɾ o t͡s̻ u
abarrakitu	a b a r a k i t u
abarreria	a b a r e ɾ i a
abarreztatu	a b a r e s̻ t a t u
abarreztatu	a b a r e s̻ t a t u
abarreztatu	a b a r e s̺ t a t u
abarrots	a b a r o t͡s̺
abarrots	a b a r o t͡s̺
abarrots	a b a r o t͡s̻
abartegi	a b a r t e ɡ i
abartsu	a b a r t͡s̺ u
abartsu	a b a r t͡s̺ u
abartsu	a b a r t͡s̻ u
abartu	a b a r t u
abata	a b a t a
abatari	a b a t a ɾ i
abatz	a b a t͡s̻
abdika	a b d i k a
abdikatu	a b d i k a t u
abdikazio	a b d i k a s̻ i o
abdikazio	a b d i k a s̻ i o
abdikazio	a b d i k a s̺ i o
abdomen	a b d o m e n
abdukzio	a b d u k s̻ i o
abdukzio	a b d u k s̻ i o
abdukzio	a b d u k s̺ i o
abduzi	a b d u s̻ i
abduzi	a b d u s̻ i
abduzi	a b d u s̺ i
abegi	a b e ɡ i
abegikor	a b e ɡ i k o r
abegitsu	a b e ɡ i t͡s̺ u
abegitsu	a b e ɡ i t͡s̺ u
abegitsu	a b e ɡ i t͡s̻ u
abelazkuntza	a b e l a s̻ k u n t͡s̻ a
abelazkuntza	a b e l a s̻ k u n t͡s̻ a
abelazkuntza	a b e l a s̺ k u n t͡s̻ a
abelbide	a b e l b i d e
abelburu	a b e l b u ɾ u
abeldar	a b e l d a r
abeldun	a b e l d u n
abeletxe	a b e l e t͡ʃ e
abelgorri	a b e l ɡ o r i
abelgorriki	a b e l ɡ o r i k i
abeltegi	a b e l t e ɡ i
abeltzain	a b e l t͡s̻ a i̯ n
abeltzainak	a b e l t͡s̻ a i̯ n a k
abeltzainak	a b e l t͡s̻ a ɲ a k
abeltzaini	a b e l t͡s̻ a i̯ n i
abeltzaini	a b e l t͡s̻ a ɲ i
abeltzainik	a b e l t͡s̻ a i̯ n i k
abeltzainik	a b e l t͡s̻ a ɲ i k
abeltzaintza	a b e l t͡s̻ a i̯ n t͡s̻ a
abemaria	a b e m a ɾ i a
abemarietako	a b e m a ɾ i e t a k o
abendu	a b e n d u
Abendu	a b e n d u
Abendualdi	a b e n d u a l d i
abenka	a b e n k a
abentura	a b e n t u ɾ a
abenturazale	a b e n t u ɾ a s̻ a l e
abenturazale	a b e n t u ɾ a s̻ a l e
abenturazale	a b e n t u ɾ a s̺ a l e
aberasbide	a b e ɾ a s̺ b i d e
aberasgarri	a b e ɾ a s̺ ɡ a r i
aberaskeria	a b e ɾ a s̺ k e ɾ i a
aberasketa	a b e ɾ a s̺ k e t a
aberaski	a b e ɾ a s̺ k i
aberaskume	a b e ɾ a s̺ k u m e
aberastasun	a b e ɾ a s̺ t a s̺ u n
aberaste	a b e ɾ a s̺ t e
aberastu	a b e ɾ a s̺ t u
Aberasturi	a b e ɾ a s̺ t u ɾ i
aberats	a b e ɾ a t͡s̺
aberats	a b e ɾ a t͡s̺
aberats	a b e ɾ a t͡s̻
abere	a b e ɾ e
aberekeria	a b e ɾ e k e ɾ i a
abereki	a b e ɾ e k i
aberekoi	a b e ɾ e k o i̯
aberetasun	a b e ɾ e t a s̺ u n
aberetiar	a b e ɾ e t i a r
aberetu	a b e ɾ e t u
aberetzar	a b e ɾ e t͡s̻ a r
aberezale	a b e ɾ e s̻ a l e
aberezale	a b e ɾ e s̻ a l e
aberezale	a b e ɾ e s̺ a l e
