Abraham	á b l à h à m
Adam	á d à m
Adeɛmekpɔxe	à d è ɛ́ m é k͡p ɔ́ x è
Afɔfiɛ	à f ɔ̀ f ì ɛ́
Anyɔnyɔ	à ɲ ɔ̀ ɲ ɔ̀
Damɛ	d à m ɛ̀
Dasiamime	d à s i á m ì m è
Du	d ù
Dunyo	d ù ɲ ó
Dzodze	d͡z ò d͡z è
Dzome	d͡z ò m è
Dzove	d͡z ò v é
Eʋe	è β è
Eʋegbe	è β è ɡ͡b è
Februar	f é b l ù à r
Gb	ɡ͡b
Gɛ̃	ɡ ɛ̃́
Gɛ̃gbe	ɡ ɛ̃́ ɡ͡b è
Hagar	h á ɡ à r
Kp	k͡p
Mars	m á r s
Set	s é t
Xawa	x á ɰ à
Yakob	j á k ò b
Yanuar	j á n ù à r
Yosua	j ó s ù à
aba	à b à
abable	à b à b l é
abadzivɔ	à b à d͡z ǐ v ɔ́
abadzivɔwo	à b à d͡z ǐ v ɔ́ ɰ ó
abati	à b à t í
abaɖonuwo	à b à ɖ ǒ n ú ɰ ó
abei	à b e í
abolo	à b ó l ò
abɔ	à b ɔ̌
ade	à d é
adedada	à d è d à d à
adela	à d è l á
adelia	à d é l ì á
adelã	à d è l ã̀
adre	à d l é
adrelia	à d l é l ì á
adzamatre	à d͡z à m á t l é
adzudzɔ	à d͡z ù d͡z ɔ̀
afa	à f á
afakaka	à f á k à k à
afi	à f ì
afia	à f ì à
afiatsotso	à f ì à t͡s ò t͡s ò
afã	à f ã́
afɔ	à f ɔ̀
afɔkpa	à f ɔ̀ k͡p à
afɔkpodzi	à f ɔ̀ k͡p ó d͡z í
afɔkɔe	à f ɔ̀ k ɔ̀ é
afɔmɔ	à f ɔ̀ m ɔ́
agama	à ɡ à m à
agbalẽ	à ɡ͡b à l ẽ̀
agbaƒuti	à ɡ͡b à ɸ ú t ì
agbe	à ɡ͡b è
agbeli	à ɡ͡b è l ì
agble	à ɡ͡b l è
agbledela	à ɡ͡b l è d è l á
agumetaku	à ɡ ù m è t á k ù
aha	à h à
ahasi	à h á s ì
ahasiwɔwɔ	à h á s ì ɰ ɔ̀ ɰ ɔ̀
ahosi	à h ò s ì
akatsa	à k à t͡s á
ako	á k ò
akpaviã	à k͡p á v ì ã̂
akpe	à k͡p é
akpɔkplɔ	à k͡p ɔ̀ k͡p l ɔ̀
akutu	á k ú t ù
akɔɖu	à k ɔ̀ ɖ ú
alakpadada	à l à k͡p à d à d à
alakpatɔ	à l à k͡p à t ɔ́
alilikpo	à l í l í k͡p ǒ
alẽ	à l ẽ́
alẽnɔ	à l ẽ́ n ɔ̀
amatsi	à m à t͡s ì
ame	à m è
amegbetɔ	à m è ɡ͡b è t ɔ́
amegãxi	à m è ɡ ã́ x ì
amenuveve	à m è n ú v è v è
ameyibɔ	à m è j ì b ɔ̀
anyi	à ɲ í
anyidi	à ɲ í d ì
anyigba	à ɲ í ɡ͡b á
anyimlɔxɔ	à ɲ í m l ɔ́ x ɔ̀
anyitsi	à ɲ í t͡s ì
anyĩtsi	à ɲ ĩ́ t͡s ì
asi	à s ì
asi	à s í
asieke	à s í é k è
asiekelia	à s í é k è l ì á
asitsala	à s ì t͡s à l á
ati	à t í
atike	à t í k è
atikewɔla	à t í k è ɰ ɔ̀ l á
atikewɔƒe	à t í k è ɰ ɔ̀ ɸ é
atikutsetse	à t í k ú t͡s é t͡s é
atsiaƒu	à t͡s í á ɸ ú
atsu	à t͡s ú
atukpa	à t ù k͡p á
atɔ	à t ɔ̀
atɔtɔ	à t ɔ́ t ɔ́
atɔ̃	à t ɔ̃́
avu	à v ǔ
avulela	à v ù l é l á
avulenu	à v ù l é n ù
avunɔ	à v ǔ n ɔ̀
awu	à ɰ ù
aya	à j á
ayiku	à j ì k ú
azɔlizɔzɔ	à z ɔ̀ l ì z ɔ̀ z ɔ̀
aŋutrɔ	à ŋ ù t l ɔ̀
aŋutrɔdada	à ŋ ù t l ɔ́ d à d à
aŋutrɔdala	à ŋ ù t l ɔ́ d à l á
aɖaba	à ɖ à b á
aɖe	à ɖ è
