Adam	á d̪ à m
Adeɛmekpɔxe	à d̪ è ɛ́ m é k͡p ɔ́ x è
Afɔfiɛ	à f͈ ɔ̀ f͈ ì ɛ́
Damɛ	d̪ à m ɛ̀
Dasiamime	d̪ à ʃ i á m ì m è
Du	d̪ ù
Dunyo	d̪ ù ɲ ó
Dzove	d͡z ò v͈ é
Februar	f͈ é b ɾ ù à r
Februar	f͈ é b ɾ̃ ù à r
Set	s é t̪
Xawa	x á w à
Yanuar	j á n̪ ù à r
Yanuar	j á n̺ ù à r
abable	à b à b l é
abable	à b à b l̃ é
abadzivɔ	à b à d͡ʒ ǐ v͈ ɔ́
abadzivɔwo	à b à d͡ʒ ǐ v͈ ɔ́ w ó
abati	à b à t̪ í
abaɖonuwo	à b à ɖ ǒ n̪ ú w ó
abaɖonuwo	à b à ɖ ǒ n̺ ú w ó
ade	à d̪ é
adedada	à d̪ è d̪ à d̪ à
adela	à d̪ è l á
adelia	à d̪ é l ì á
adelã	à d̪ è l ã̀
adre	à d̪ ɾ é
adre	à d̪ ɾ̃ é
adrelia	à d̪ ɾ é l ì á
adrelia	à d̪ ɾ̃ é l ì á
adzamatre	à d͡z à m á t̪ ɾ é
adzamatre	à d͡z à m á t̪ ɾ̃ é
afa	à f͈ á
afakaka	à f͈ á k à k à
afi	à f͈ ì
afia	à f͈ ì à
afiatsotso	à f͈ ì à t͡s ò t͡s ò
afã	à f͈ ã́
afɔ	à f͈ ɔ̀
afɔkpa	à f͈ ɔ̀ k͡p à
afɔkpodzi	à f͈ ɔ̀ k͡p ó d͡ʒ í
afɔkɔe	à f͈ ɔ̀ k ɔ̀ é
afɔmɔ	à f͈ ɔ̀ m ɔ́
agbaƒuti	à ɡ͡b à ɸ ú t̪ ì
agble	à ɡ͡b l è
agble	à ɡ͡b l̃ è
agbledela	à ɡ͡b l è d̪ è l á
agbledela	à ɡ͡b l̃ è d̪ è l á
agumetaku	à ɡ ù m è t̪ á k ù
akpaviã	à k͡p á v͈ ì ã̂
akpɔkplɔ	à k͡p ɔ̀ k͡p l ɔ̀
akpɔkplɔ	à k͡p ɔ̀ k͡p l̃ ɔ̀
akutu	á k ú t̪ ù
