Borðoy	p oː r ɔ i
Brandur	b r a n d ʊ r
Bulgaria	p ʊ l k aː r i a
Bøur	p øː v ʊ ɹ
Dánjal	d ɔ ɑ n j a l
Dávid	t ɔ ɑː v ɪ t
Dávið	d ɔ a v ɪ
Dávur	t ɔ aː v ʊ ɹ
Díðrikur	d ʊ i r i k ʊ r
Egyptaland	e t ʃ ɪʰ p t a l a n t
Einar	a iː n a ɹ
Eirikur	a iː ɹ ɪ k ʊ ɹ
Fríði	f r ʊ i j ɪ
Fríðrikur	f r ʊ i r i k ʊ r
Fróði	f r ɔ u v ɪ
Fugloy	f ʊ ɡ l ɪ
Føroya	f œː ɹ j a
Føroyum	f œ ɹː j ʊ n
Geyti	d ʒ ɛ i t ɪ
Grani	ɡ r ɛ a n ɪ
Harrin	h a rː ɪ n
Heini	h a i n ɪ
Helgi	h ɛ ʎ t͡ʃ ɪ
Heri	h eː r ɪ
Hestur	h ɛ s t ʊ r
Heðin	h eː j ɪ n
Hvítarussland	k v ʊ i t a r ʊ s l a n d
Høgni	h œ ɡ n ɪ
Jesusi	j eː s u s ɪ
Johan	j o h a n
Josva	j ɔ s v a
Jóan	j ɔ u a n
Jógvan	j ɔ k v a n
Jógvan	j ɛ k v a n
Jóhan	j ɔ u h a n
Jón	j ɔ u n
Kalsoy	k a l s ɔ i
Kjartan	t ʃʰ a ɻ̊ ʈ a n
Klaksvík	k l a k s v ʊ i k
Koltur	k ɔ l t ʊ r
Kunoy	k uː n ɪ
Leivur	l a iː v ʊ ɹ
Litava	l iː t a v a
Magni	m a ɡ n ɪ
Malan	m ɛ aː l a n
Merkið	m ɛ ʃ t͡ʃʰ ɪ
Mikkjal	m ɪ t ʃ a l
Nobelheiðursløn	n o b ɛ l h a i j ʊ s l øː n
Norðlond	n oː r l ɔ n d
Norðurlandahúsið	n oː r ʊ r l a n d a h ʉ u s ɪ
Nólsoy	n œ l s ɔ i
Nólsoy	n œ l s ɪ
Pauli	p a u l ɪ
Petur	pʰ eːʰ t ʊ ɹ
Pætur	pʰ ɛ aːʰ t ʊ ɹ
Pól	p ɔ l
Pólland	pʰ ɔ u lː a n t
Ragnar	ɹ a k n a ɹ
Rebekka	ɹ e b ɛʰ kː a
Rógvi	r ɛ ɡ v ɪ
Rúni	r ʉ u n ɪ
Sigmundur	s ɪ ɡ m ʊ n d ʊ r
Streymoy	s t r ɛ i m i
Streymoy	s t r ɛ i m ɔ i
Suðuroy	s uː r i
Suðuroy	s uː w ʊ r ɔ i
Símun	s ʊ i m ʊ n
Terji	t ɛ r j ɪ
Trygvi	t r ɪ ɡ v ɪ
Tróndur	tʰ ɹ œ n t ʊ ɹ
Týskland	tʰ ʊ i ʃ l a n t
Uni	uː n ɪ
Viðoy	v iː j ɔ i
Vágar	v ɔː a r
Vágur	v ɔ a v ʊ r
aftan	a f t a n
aftan	aʰ tː a n
aftansangur	a f t a n s a ŋ k ʊ ɹ
aftaná	aʰ tː a n ɔ a
aftanífrá	a tː a n ɪ f r ɔ a
aftrat	a t ɹ ɛ aː t
afturat	a t ɹ ɛ aː t
afturferð	a tː ʊ r f eː ɹ
afturfyri	a tː ʊ f iː r ɪ
afturgongd	aʰ tː ʊ r k ɔ ŋ k d
aftursvar	a tː ʊ r s v ɛ a r
aftursvar	a tː ʊ s v ɛ a r
aftursøgn	aʰ tː ʊ r s œ k n
afturímóti	aʰ tː ʊ ɾ ɪ m ɔ uː t ɪ
agngágga	a k n k ɔ kː a
akfar	a k f ɛ aː ɹ
akker	aʰ t͡ʃː ɪ ɹ
aldri	a l t ɹ ɪ
allastaðni	a t l a s t ɛ aː n ɪ
alskyns	a l̥ ʃ ɪ n s
alt	a l̥ t
altjóða	a l t͡ʃʰ ɔ uː w a
