آ	ʔ ɑː
آ	ʔ ɒː
آئورت	ʔ ɒː ʔ o ɹ t̪
آب	ʔ ä w
آب	ʔ ɑː b
آب	ʔ ɑː β
آب	ʔ ɒː b̥
آب	ʔ ɔ b
آب	ʔ ɔː b̥
آباد	ʔ ɑː b ɑ́ː d̪
آباد	ʔ ɑː β ɑː ð
آباد	ʔ ɒː b ɒ́ː d̪̥
آباد	ʔ ɔ b ɔ́ d̪
آباد	ʔ ɔː b ɔ́ː d̪̥
آبادان	ʔ ɑː b ɑː d̪ ɑ́ː n
آبادان	ʔ ɑː β ɑː ð ɑː n
آبادان	ʔ ɒː b ɒː d̪ ɒ n
آبادان	ʔ ɒː b ɒː d̪ ɒː n
آبادان	ʔ ɒː b ɒː d̪ ɒ́ː n
آبادان	ʔ ɔ b ɔ d̪ ɔ́ n
آبادان	ʔ ɔː b ɔː d̪ ɔ́ː n
آبادانی	ʔ ɑː b ɑː d̪ ɑː n íː
آبادانی	ʔ ɑː β ɑː ð ɑː n iː
آبادانی	ʔ ɒː b ɒː d̪ ɒː n íː
آبادانی	ʔ ɔ b ɔ d̪ ɔ n í
آبادانی	ʔ ɔː b ɔː d̪ ɔː n íː
آبادی	ʔ ɑː b ɑː d̪ íː
آبادی	ʔ ɑː β ɑː ð iː
آبادی	ʔ ɒː b ɒː d̪ íː
آبادی	ʔ ɔ b ɔ d̪ í
آبادی	ʔ ɔː b ɔː d̪ íː
آبان	ʔ ɑː b ɑː n
آبان	ʔ ɑː β ɑː n
آبان	ʔ ɒː b ɒː n
آبان	ʔ ɔ b ɔ n
آبان	ʔ ɔː b ɔː n
آباژور	ʔ ɒː b ɒː ʒ úː ɹ
آبتنی	ʔ ɑː b t̪ʰ ä n íː
آبتنی	ʔ ɑː β t a n iː
آبتنی	ʔ ɒː b t̪ʰ æ n íː
آبتنی	ʔ ɔ b t̪ʰ ä n í
آبتنی	ʔ ɔː b t̪ʰ ä n íː
آبجو	ʔ ɑː b d͡ʒ ǽ w
آبجو	ʔ ɑː β d͡ʒ a w
آبجو	ʔ ɒː b d͡ʒ ǽ v
آبجو	ʔ ɔ b d͡ʒ ǽ w
آبجو	ʔ ɔː b d͡ʒ ǽ w
آبجی	ʔ ɑː b d͡ʒ íː
آبجی	ʔ ɑː β d͡ʒ iː
آبجی	ʔ ɒː b d͡ʒ íː
آبجی	ʔ ɔ b d͡ʒ í
آبجی	ʔ ɔː b d͡ʒ íː
آبخست	ʔ ɒː b x o s t̪
آبخوست	ʔ ɑː b x ʊ́ s t̪
آبخوست	ʔ ɑː β x w u s t
آبخوست	ʔ ɑː β xʷ a s t
آبخوست	ʔ ɒː b x ó s t̪
آبخوست	ʔ ɔ b χ ú s t̪
آبخوست	ʔ ɔː b x u s t̪
آبرو	ʔ ɑː b ɪ ɾ uː
آبرو	ʔ ɑː β i ɾ uː
آبرو	ʔ ɒː b e ɹ uː
آبرو	ʔ ɔ b i ɾ u
آبرو	ʔ ɔː b i ɾ uː
آبروی	ɒː b e ɾ uː j
آبزن	ʔ ɑː b z ǽ n
آبزن	ʔ ɑː β z a n
آبزن	ʔ ɒː b z ǽ n
آبزن	ʔ ɔ b z ǽ n
آبزن	ʔ ɔː b z ǽ n
آبزی	ʔ ɑː b z íː
آبزی	ʔ ɑː β z iː
آبزی	ʔ ɒː b z íː
آبزی	ʔ ɔ b z í
آبزی	ʔ ɔː b z íː
آبستن	ʔ ɑː b ɪ s t̪ʰ ä n
آبستن	ʔ ɑː β i s t a n
آبستن	ʔ ɒː b e s t̪ʰ æ n
آبستن	ʔ ɔ b i s t̪ʰ ä n
آبستن	ʔ ɔː b i s t̪ʰ ä n
آبستنی	ʔ ɑː b ɪ s t̪ʰ ä n íː
