'auhelawa	ɑ̝ u̯ ɦ e̞ l ɑ̝ w ɑ̝
'patafysiikka	p ɑ̝ t̪ ɑ̝ f y s̠ iː kː ɑ̝
AIDS	ɑ̝ i̯ d s̠
AMK	ɑ̝ m k
AMK	ɑ̝ː æ m k o̞ː
ATK	ɑ̝ː t̪ e̞ː k o̞ː
Aabraham	ɑ̝ː b r ɑ̝ ɦ ɑ̝ m
Aada	ɑ̝ː d ɑ̝
Aadam	ɑ̝ː d ɑ̝ m
Aadolf	ɑ̝ː d o̞ l f
Aake	ɑ̝ː k̟ e̞
Aakko	ɑ̝ː kː o̞
Aakula	ɑ̝ː k u l ɑ̝
Aallotar	ɑ̝ː lː o̞ t̪ ɑ̝ r
Aaltio	ɑ̝ː l̪ t̪ i o̞
Aalto	ɑ̝ː l̪ t̪ o̞
Aaltola	ɑ̝ː l̪ t̪ o̞ l ɑ̝
Aaltonen	ɑ̝ː l̪ t̪ o̞ n e̞ n
Aamon	ɑ̝ː m o̞ n
Aamos	ɑ̝ː m o̞ s̠
Aamu	ɑ̝ː m u
Aamulehti	ɑ̝ː m u l e̞ h t̪ i
Aamurusko	ɑ̝ː m u r u s̠ k o̞
Aapeli	ɑ̝ː p e̞ l i
Aapo	ɑ̝ː p o̞
Aappo	ɑ̝ː pː o̞
Aapro	ɑ̝ː p r o̞
Aaretti	ɑ̝ː r e̞ t̪ː i
Aarikka	ɑ̝ː r i kː ɑ̝
Aarne	ɑ̝ː r n e̞
Aarni	ɑ̝ː r n i
Aarnio	ɑ̝ː r n i o̞
Aarno	ɑ̝ː r n o̞
Aaro	ɑ̝ː r o̞
Aaron	ɑ̝ː r o̞ n
Aarre	ɑ̝ː rː e̞
Aarre	ɑ̝ː rː e̞ ʔ
Aarto	ɑ̝ː r t̪ o̞
Aartolahti	ɑ̝ː r t̪ o̞ l ɑ̝ x t̪ i
Aasia	ɑ̝ː s̠ i ɑ̝
Aatami	ɑ̝ː t̪ ɑ̝ m i
Aatamila	ɑ̝ː t̪ ɑ̝ m i l ɑ̝
Aataminsilta	ɑ̝ː t̪ ɑ̝ m i n s̠ i l̪ t̪ ɑ̝
Aato	ɑ̝ː t̪ o̞
Aatola	ɑ̝ː t̪ o̞ l ɑ̝
Aatos	ɑ̝ː t̪ o̞ s̠
Aatsinki	ɑ̝ː t s̠ i ŋ k̟ i
Aatto	ɑ̝ː t̪ː o̞
Aatu	ɑ̝ː t̪ u
Aava	ɑ̝ː ʋ ɑ̝
Aavasaksa	ɑ̝ː ʋ ɑ̝ s̠ ɑ̝ k s̠ ɑ̝
Aavikko	ɑ̝ː ʋ i kː o̞
Abessinia	ɑ̝ b e̞ s̠ s̠ i n i ɑ̝
Abhasia	ɑ̝ b h ɑ̝ s̠ i ɑ̝
Adalmiina	ɑ̝ d ɑ̝ l m iː n ɑ̝
Addis	ɑ̝ dː i s̠
Adele	ɑ̝ d e̞ l e̞
Adrianmeri	ɑ̝ d r i ɑ̝ m m e̞ r i
Adygeia	ɑ̝ d y ɡ e̞ i̯ ɑ̝
Afganistan	ɑ̝ f ɡ ɑ̝ n i s̠ t ɑ̝ n
Afrikka	ɑ̝ f r i kː ɑ̝
Ahava	ɑ̝ ɦ ɑ̝ ʋ ɑ̝
Ahde	ɑ̝ x d e̞
Ahde	ɑ̝ x d e̞ ʔ
Ahistus	ɑ̝ ɦ i s̠ t u s̠
Ahlainen	ɑ̝ x l ɑ̝ i̯ n e̞ n
Aho	ɑ̝ ɦ o̞
Ahokainen	ɑ̝ ɦ o̞ k ɑ̝ i̯ n e̞ n
Ahokangas	ɑ̝ ɦ o̞ k ɑ̝ ŋː ɑ̝ s̠
Ahokas	ɑ̝ ɦ o̞ k ɑ̝ s̠
Ahola	ɑ̝ ɦ o̞ l ɑ̝
Aholainen	ɑ̝ ɦ o̞ l ɑ̝ i̯ n e̞ n
Ahomäki	ɑ̝ ɦ o̞ m æ k̟ i
Ahonen	ɑ̝ ɦ o̞ n e̞ n
Ahoniemi	ɑ̝ ɦ o̞ n i e̞̯ m i
Ahopelto	ɑ̝ ɦ o̞ p e̞ l̪ t̪ o̞
Ahoranta	ɑ̝ ɦ o̞ r ɑ̝ n̪ t̪ ɑ̝
Ahosola	ɑ̝ ɦ o̞ s̠ o̞ l ɑ̝
Ahponen	ɑ̝ x p o̞ n e̞ n
Ahti	ɑ̝ x t̪ i
Ahtiainen	ɑ̝ x t̪ i ɑ̝ i̯ n e̞ n
Ahtila	ɑ̝ x t̪ i l ɑ̝
Ahtinen	ɑ̝ x t̪ i n e̞ n
Ahtisaari	ɑ̝ x t̪ i s̠ ɑ̝ː r i
Ahto	ɑ̝ x t̪ o̞
Ahtola	ɑ̝ x t̪ o̞ l ɑ̝
Ahtonen	ɑ̝ x t̪ o̞ n e̞ n
Ahvenainen	ɑ̝ x ʋ e̞ n ɑ̝ i̯ n e̞ n
Ahvenanmaa	ɑ̝ x ʋ e̞ n ɑ̝ m m ɑ̝ː
Ahvenanmanner	ɑ̝ x ʋ e̞ n ɑ̝ m m ɑ̝ nː e̞ r
Ahvenanmeri	ɑ̝ x ʋ e̞ n ɑ̝ m m e̞ r i
Ahveninen	ɑ̝ x ʋ e̞ n i n e̞ n
Ahvenjärvi	ɑ̝ x ʋ e̞ n j æ r ʋ i
Ahvenlampi	ɑ̝ x ʋ e̞ n l ɑ̝ m p i
Ahvenniemi	ɑ̝ x ʋ e̞ n n i e̞̯ m i
Ahvenus	ɑ̝ x ʋ e̞ n u s̠
Ahvo	ɑ̝ x ʋ o̞
Ahvonen	ɑ̝ x ʋ o̞ n e̞ n
Aias	ɑ̝ i̯ ɑ̝ s̠
Aida	ɑ̝ i̯ d ɑ̝
Aigeianmeri	ɑ̝ i̯ ɡ e̞ i̯ ɑ̝ m m e̞ r i
Aija	ɑ̝ i̯ j ɑ̝
Aija	ɑ̝ i̯ jː ɑ̝
Aikakirjat	ɑ̝ i̯ k ɑ̝ k̟ i r j ɑ̝ t̪
