Dùghlas	t̪ uː l̪ˠ ə s̪
Hearadh	n ə h ɛ ɾ ə ɣ
Màiri	m aː ð ɪ
Màiri	m ɛː j ɪ
Màiri	m ɛː ɾ ɪ
Màthair	m ãː h ɪ ɾʲ
Mòr	m oː r
Ungair	u ŋ ɡ ɪ ɾʲ
Ungairis	u ŋ ɡ ɪ ɾʲ ɪ ʃ
abair	a p ɪ ð
abhainn	a v ɪ ɲ
abhainn	a ʔ ʊ ɲ
abhainn	o ʔ ʊ ɲ
achadh	a x k
ad	a t̪
adha	a a
agh	ɤ ɣ
air	ɛ r̝
air	ɛ ð
aire	a ð ə
airson	ə ɽ ʂ ɔ n
aois	ɯː ʃ
aran	a ɾ a n
bambù	p a m b uː
beag	p ɤ k
beagan	p ɤ k a n
bean	b̥ ɛ n
beò	p ɛ̯ ɔː
bheir	v e ð
bhuntàta	v ə n̪ˠ d̪ʰ aː h t̪ ə
binn	p ə̃ ĩ ɲ
bochd	p ɔ x k
bog	b̊ o ɡ̊
bròn	b̊ ɾ ɔː n
buidhe	p u i ə
buidhe	p ʊ j ə
buntàta	p ə n̪ˠ d̪ aː h t̪ ə
bòrd	b̊ ɔː ɹ ʃ d̪̊
carson	kʰ a ɽ ʂ ɔ n
ceist	kʰʲ e ʃ tʲ
ceithir	kʲ e h ɪ ð
cheist	ç e ʃ tʲ
chreid	ɾ ɤ tʲ
chòta	x ɔːʰ t̪ ə
ciamar	kʰ a m a ɾ
ciamar	kʰʲ ɛ m a ɾ
cinnteach	kʰʲ ə̃ ĩ ɲ tʲ ə x
claidheamh	k l̪ˠ a i
claidheamh	k l̪ˠ a ɪ ʊ
claidheamh	k l̪ˠ æ̃ ə v
claidheamh	k l̪ˠ æ̃ ʊ
claidheamh	k l̪ˠ ɑ i ʊ
claidheamh	k l̪ˠ ɑ j i v
claidheamh	k l̪ˠ ɑ ʔ i v
claidheamh	kʰ l̪ˠ ã j ə v
clobhd	kʰ l̪ˠ ɔ uʰ t̪
cnò	k r u ʔ u
