aba	a b a
abacá	a b a k a
ábaco	a b a k o
abada	a b a d a
abade	a b a d e
abadengo	a b a d e ŋ ɡ o
abadengo	a b a d e ŋ ɡ o
abadengo	a b a d e ŋ ħ o
abadesa	a b a d e s a
abadexo	a b a d e ʃ o
abadía	a b a d i a
abafante	a b a f a n t e
abafar	a b a f a ɾ
abafo	a b a f o
abaixar	a b a j ʃ a ɾ
abaixo	a b a j ʃ o
abalar	a b a l a ɾ
abaloucar	a b a l o w k a ɾ
abandonar	a b a n d o n a ɾ
abandono	a b a n d o n o
abanear	a b a n e a ɾ
abanicar	a b a n i k a ɾ
abanico	a b a n i k o
abano	a b a n o
abarca	a b a ɾ k a
abarquilar	a b a ɾ k i l a ɾ
abastanza	a b a s t a n θ a
abastanza	a b a s t a n θ a
abastanza	a b a s t a n s a
abastecemento	a b a s t e θ e m e n t o
abastecemento	a b a s t e θ e m e n t o
abastecemento	a b a s t e s e m e n t o
abastecemento	a b a s t e θ e m ɛ n t o
abastecemento	a b a s t e θ e m ɛ n t o
abastecemento	a b a s t e s e m ɛ n t o
abastecer	a b a s t e θ e ɾ
abastecer	a b a s t e θ e ɾ
abastecer	a b a s t e s e ɾ
abasto	a b a s t o
abate	a b a t e
abater	a b a t e ɾ
abates	a b a t e s
abaxial	a b a k s j a l
abdicación	a b d i k a θ j o ŋ
abdicación	a b d i k a θ j o ŋ
abdicación	a b d i k a s j o ŋ
abdicar	a b d i k a ɾ
abdome	a b d ɔ m e
abducir	a b d u θ i ɾ
abducir	a b d u θ i ɾ
abducir	a b d u s i ɾ
abduciu	a b d u θ i w
abduciu	a b d u θ i w
abduciu	a b d u s i w
abduziu	a b d u θ i w
abduziu	a b d u θ i w
abduziu	a b d u s i w
abeberar	a b e b e ɾ a ɾ
abelá	a b e l a
abelaira	a b e l a j ɾ a
abeleira	a b e l e j ɾ a
abella	a b e ɟ a
abellariza	a b e ɟ a ɾ i θ a
abellariza	a b e ɟ a ɾ i θ a
abellariza	a b e ɟ a ɾ i s a
abelleira	a b e ɟ e j ɾ a
abelleiro	a b e ɟ e j ɾ o
abellón	a b e ɟ o ŋ
abelurio	a b e l u ɾ j o
aberración	a b e r a θ j o ŋ
aberración	a b e r a θ j o ŋ
aberración	a b e r a s j o ŋ
aberraçom	a b e r a θ o ŋ
aberraçom	a b e r a θ o ŋ
aberraçom	a b e r a s o ŋ
aberração	a b e r a θ o ŋ
aberração	a b e r a θ o ŋ
aberração	a b e r a s o ŋ
abertamente	a b ɛ ɾ t a m e n t e
aberto	a b ɛ ɾ t o
abesouro	a b e s o w ɾ o
abetar	a b e t a ɾ
abeto	a b e t o
abetocar	a β e t ɔ k a ɾ
abetouro	a b e t o w ɾ o
abiñar	a b i ɲ a ɾ
ablación	a b l a θ j o ŋ
ablación	a b l a θ j o ŋ
ablación	a b l a s j o ŋ
ablución	a b l u θ j o ŋ
ablución	a b l u θ j o ŋ
ablución	a b l u s j o ŋ
abnegación	a b n e ɡ a θ j o ŋ
abnegación	a b n e ɡ a θ j o ŋ
abnegación	a b n e ħ a θ j o ŋ
abnegación	a b n e ħ a s j o ŋ
abnegaçom	a b n e ɡ a θ o ŋ
abnegaçom	a b n e ɡ a θ o ŋ
abnegaçom	a b n e ħ a θ o ŋ
abnegaçom	a b n e ħ a s o ŋ
abnegação	a b n e ɡ a θ o ŋ
abnegação	a b n e ɡ a θ o ŋ
abnegação	a b n e ħ a θ o ŋ
abnegação	a b n e ħ a s o ŋ
aboar	a β o a ɾ
abofé	a b o f ɛ
aboiar	a b o j a ɾ
aboiar	a b ɔ j a ɾ
aboiar	a b o j a ɾ
abolición	a b o l i θ j o ŋ
abolición	a b o l i θ j o ŋ
abolición	a b o l i s j o ŋ
abominábel	a b o m i n a b ɛ l
abominable	a b o m i n a b l e
abondar	a β o n d a ɾ
abondo	a b o n d o
abouxar	a b o w ʃ a ɾ
abraiar	a b ɾ a j a ɾ
abrandamento	a b ɾ a n d a m e n t o
abrandamento	a b ɾ a n d a m ɛ n t o
abrandar	a b ɾ a n d a ɾ
abranguer	a b ɾ a ŋ ɡ e ɾ
abranguer	a b ɾ a ŋ ɡ e ɾ
abranguer	a b ɾ a ŋ ħ e ɾ
abrazar	a b ɾ a θ a ɾ
abrazar	a b ɾ a θ a ɾ
abrazar	a b ɾ a s a ɾ
abrazo	a b ɾ a θ o
abrazo	a b ɾ a θ o
abrazo	a b ɾ a s o
ábrego	a b ɾ e ɡ o
ábrego	a b ɾ e ɡ o
ábrego	a b ɾ e ħ o
abrente	a b ɾ e n t e
abrente	a b ɾ ɛ n t e
abreviación	a b ɾ ɛ b j a θ j o ŋ
abreviación	a b ɾ ɛ b j a θ j o ŋ
abreviación	a b ɾ ɛ b j a s j o ŋ
abreviatura	a b ɾ ɛ b j a t u ɾ a
abridor	a b ɾ i d o ɾ
abridores	ɐ β ɾ i ð o ɾ ɪ s
abrigo	a b ɾ i ɡ o
abrigo	a b ɾ i ɡ o
abrigo	a b ɾ i ħ o
abrigos	a b ɾ i ɡ o s
abrigos	a b ɾ i ɡ o s
abrigos	a b ɾ i ħ o s
abrigoso	a b ɾ i ɡ o s o
abrigoso	a b ɾ i ɡ o s o
abrigoso	a b ɾ i ħ o s o
abril	a b ɾ i l
abrollo	a b ɾ ɔ ɟ o
abrótea	a b ɾ ɔ t e a
abrótega	a b ɾ ɔ t e ɡ a
abrótega	a b ɾ ɔ t e ɡ a
abrótega	a b ɾ ɔ t e ħ a
abruño	a b ɾ u ɲ o
Abruzos	a b ɾ u θ o s
Abruzos	a b ɾ u θ o s
Abruzos	a b ɾ u s o s
absoluto	a b s o l u t o
absorbente	a b s o ɾ b e n t e
abster	a b s t e ɾ
abstracto	a b s t ɾ a k t o
absurdamente	a b s u ɾ d a m e n t e
abubela	a b u b ɛ l a
abullar	a b u ɟ a ɾ
abundancia	a b u n d a n θ j a
abundancia	a b u n d a n θ j a
abundancia	a b u n d a n s j a
abundante	a b u n d a n t e
aburar	a b u ɾ a ɾ
aburrido	a b u r i d o
aburrir	a b u r i ɾ
aburriu	a b u r i w
abusivo	a b u s i b o
acá	a k a
acababa	a k a b a b a
acabado	a k a b a d o
acabar	a k a b a ɾ
acadar	a k a d a ɾ
acaer	a k a e ɾ
acalentar	a k a l e n t a ɾ
acalentar	a k a l ɛ n t a ɾ
acampamento	a k a m p a m e n t o
acanaladura	a k a n a l a d u ɾ a
acanear	a k a n e a ɾ
acantoar	a k a n t o a ɾ
acañar	a k a ɲ a ɾ
acaramelar	a k a ɾ a m ɛ l a ɾ
acaramelar	a k a ɾ a m e l a ɾ
acareo	a k a ɾ e o
acariñar	a k a ɾ i ɲ a ɾ
