Diutschlant	d yː t͡ʃ l a n t
Europa	e u̯ r oː p aː
Uote	u o̯ t ə
aberelle	a b ə r ə lː ə
acker	a kː ə r
advent	a d f e n t
advent	a d v e n t
affe	a fː ə
alb	a l b
alerste	a l eː r s̠ t ə
allereriste	a lː ə r eː r i s̠ t ə
allereriste	a lː ə r eː r ə s̠ t ə
allererst	a lː ə r eː r s̠ t
allererste	a lː ə r eː r s̠ t ə
alp	a l p
alrerst	a l r eː r s̠ t
alrerste	a l r eː r s̠ t ə
alrest	a l r eː s̠ t
ander	a n d ə r
angel	a n ɡ ə l
ant	a n t
antreche	a n t r ɛ xː ə
apfel	a p͡f ə l
as	aː s̠
ase	aː s̠ ə
asen	aː s̠ ə n
ases	aː s̠ ə s̠
aventiure	aː f ə n t yː r ə
aventiure	aː v ə n t yː r ə
az	a s
az	aː s
aze	aː s ə
azen	aː s ə n
azes	aː s ə s̠
azet	aː s ə t
bade	b a d ə
baden	b a d ə n
badende	b a d ə n d ə
badent	b a d ə n t
badest	b a d ə s̠ t
badet	b a d ə t
badete	b a d ə t ə
badeten	b a d ə t ə n
badetest	b a d ə t ə s̠ t
badetet	b a d ə t ə t
balke	b a l k ə
bat	b aː t
baten	b aː t ə n
batest	b aː t ə s̠ t
batet	b aː t ə t
batte	b a tː ə
batten	b a tː ə n
battest	b a tː ə s̠ t
battet	b a tː ə t
begern	b e ɡ ɛ r n
beginnen	b ə ɡ i nː ə n
bein	b e i̯ n
beiz	b e i̯ s
ber	b ɛ r
berc	b ɛ r k
bertram	b ɛ r t r a m
bestiuren	b ə s̠ t yː r ə n
besuochen	b ə s̠ u o̯ x ə n
betriegen	b ə t r i ə̯ ɡ ə n
bette	b e tː ə
biegen	b i ə̯ ɡ ə n
bieten	b i ə̯ t ə n
bin	b i n
binden	b i n d ə n
bir	b i r
biute	b yː t ə
biutel	b yː t ə l
biz	b iː s
bize	b iː s ə
bizen	b iː s ə n
bizende	b iː s ə n d ə
bizent	b iː s ə n t
bizest	b iː s ə s̠ t
bizet	b iː s ə t
bizze	b i sː ə
bizzen	b i sː ə n
bizzest	b i sː ə s̠ t
bizzet	b i sː ə t
blat	b l a t
bluome	b l u o̯ m ə
bluot	b l u o̯ t
bluoten	b l u o̯ t ə n
bone	b oː n ə
bor	b o r
bou	b o u̯
bouc	b o u̯ k
bouge	b o u̯ ɡ ə
bougen	b o u̯ ɡ ə n
bouges	b o u̯ ɡ ə s̠
boum	b o u̯ m
boume	b o u̯ m ə
boumen	b o u̯ m ə n
boumes	b o u̯ m ə s̠
bouwen	b o u̯ w ə n
brach	b r a x
brachen	b r aː x ə n
brachet	b r aː x ə t
braht	b r aː x t
branc	b r a n k
brat	b r aː t
brate	b r aː t ə
braten	b r aː t ə n
bratende	b r aː t ə n d ə
bratent	b r aː t ə n t
bratest	b r aː t ə s̠ t
bratet	b r aː t ə t
breche	b r ɛ xː ə
brechen	b r ɛ xː ə n
brechende	b r ɛ xː ə n d ə
brechent	b r ɛ xː ə n t
brechest	b r ɛ xː ə s̠ t
brechet	b r ɛ xː ə t
bret	b r ɛ t
brich	b r i x
briche	b r i xː ə
brichest	b r i xː ə s̠ t
brichet	b r i xː ə t
briet	b r i ə̯ t
briete	b r i ə̯ t ə
brieten	b r i ə̯ t ə n
brietest	b r i ə̯ t ə s̠ t
brietet	b r i ə̯ t ə t
bringe	b r i n ɡ ə
bringen	b r i n ɡ ə n
bringende	b r i n ɡ ə n d ə
bringene	b r i n ɡ ə n ə
bringenes	b r i n ɡ ə n ə s̠
bringenne	b r i n ɡ ə nː ə
bringennes	b r i n ɡ ə nː ə s̠
bringent	b r i n ɡ ə n t
bringest	b r i n ɡ ə s̠ t
bringet	b r i n ɡ ə t
briutegome	b r yː t ə ɡ o m ə
brot	b r oː t
brucke	b r u kː ə
brugge	b r u k k ə
brugge	b r y k k ə
brugge	b r y ɡ ɡ ə
brungen	b r u n ɡ ə n
bruoder	b r u o̯ d ə r
bræche	b r æː x ə
bræchen	b r æː x ə n
bræchest	b r æː x ə s̠ t
bræchet	b r æː x ə t
brætest	b r æː t ə s̠ t
brætet	b r æː t ə t
bu	b uː
buch	b uː x
buckel	b u kː ə l
buhse	b u x s̠ ə
buhsen	b u x s̠ ə n
buhurdieren	b u h u r d i ə̯ r ə n
buole	b u o̯ l ə
buolen	b u o̯ l ə n
buosem	b u o̯ s̠ ə m
burc	b u r k
burcgrave	b u r k ɡ r aː v ə
burcgrave	b u r ɡ ɡ r aː v ə
buter	b u t ə r
butze	b u t͡sː ə
buwen	b uː w ə n
böume	b ø y̯ m ə
böumen	b ø y̯ m ə n
bückinc	b y kː i n k
bühse	b y x s̠ ə
bühsen	b y x s̠ ə n
büne	b y n ə
bürge	b y r ɡ ə
bürgen	b y r ɡ ə n
cnecht	k n ɛ x t
cnechte	k n ɛ x t ə
cnechten	k n ɛ x t ə n
cnechtes	k n ɛ x t ə s̠
cneht	k n ɛ x t
cnehte	k n ɛ x t ə
cnehten	k n ɛ x t ə n
cnehtes	k n ɛ x t ə s̠
daz	d a s
degen	d ɛ ɡ ə n
degene	d ɛ ɡ ə n ə
degenen	d ɛ ɡ ə n ə n
degenes	d ɛ ɡ ə n ə s̠
degens	d ɛ ɡ ə n s̠
die	d i ə̯
diech	d i ə̯ x
dieze	d i ə̯ s ə
diezen	d i ə̯ s ə n
diezende	d i ə̯ s ə n d ə
diezent	d i ə̯ s ə n t
diezest	d i ə̯ s ə s̠ t
diezet	d i ə̯ s ə t
diser	d i s̠ ə r
distel	d i s̠ t ə l
diu	d yː
diutsc	d yː t ʃ
diuz	d yː s
diuze	d yː s ə
diuzest	d yː s ə s̠ t
diuzet	d yː s ə t
dorf	d o r f
douf	d o u̯ f
doz	d oː s
dri	d r iː
du	d u
du	d uː
dume	d uː m ə
durchliuhten	d u r ç l yː ç t e n
durfen	d u r f ə n
duzze	d u sː ə
duzzen	d u sː ə n
duzzest	d u sː ə s̠ t
duzzet	d u sː ə t
dürfen	d y r f ə n
düzze	d y sː ə
düzzen	d y sː ə n
düzzest	d y sː ə s̠ t
düzzet	d y sː ə t
eher	e h ə r
eher	æ h ə r
eher	ɛ h ə r
ei	e i̯
eichurne	e i̯ x u r n ə
ein	e i̯ n
einiu	e i̯ n yː
elbisch	e l b i ʃ
elbische	e l b i ʃ ə
elbischem	e l b i ʃ ə m
elbischeme	e l b i ʃ ə m ə
elbischen	e l b i ʃ ə n
elbischer	e l b i ʃ ə r
elbischere	e l b i ʃ ə r ə
elbischeren	e l b i ʃ ə r ə n
elbisches	e l b i ʃ ə s̠
elbischest	e l b i ʃ ə s̠ t
elbischeste	e l b i ʃ ə s̠ t ə
elbischestem	e l b i ʃ ə s̠ t ə m
elbischesteme	e l b i ʃ ə s̠ t ə m ə
elbischesten	e l b i ʃ ə s̠ t ə n
elbischester	e l b i ʃ ə s̠ t ə r
elbischestere	e l b i ʃ ə s̠ t ə r ə
elbischestes	e l b i ʃ ə s̠ t ə s̠
elbischestez	e l b i ʃ ə s̠ t ə s
elbischestiu	e l b i ʃ ə s̠ t yː
elbischez	e l b i ʃ ə s
elbischiu	e l b i ʃ yː
ende	e n d ə
engel	e n ɡ ə l
enpfinden	e n p͡f i n d ə n
er	ɛ r
erde	ɛ r d ə
ere	eː r ə
ertbere	ɛ r t b e r ə
ewe	eː w ə
ewic	eː w i k
ewicheit	eː w i k h e i̯ t
ez	ɛ s
ezze	ɛ sː ə
ezzen	ɛ sː ə n
ezzende	ɛ sː ə n d ə
ezzent	ɛ sː ə n t
ezzest	ɛ sː ə s̠ t
ezzet	ɛ sː ə t
fleisch	f l e i̯ ʃ
fleisch	v l e i̯ ʃ
fuoz	f u o̯ s
fuoz	v u o̯ s
gaben	ɡ aː b ə n
gabet	ɡ aː b ə t
