𐌰𐌱𐌿	a β u
𐌰𐌻𐌴𐍅𐌰𐌱𐌰𐌲𐌼	a l eː w a b a ɣ m
𐌰𐌻𐌴𐍅𐌰𐌱𐌰𐌲𐌼𐌴	a l eː w a b a ɣ m eː
𐌰𐌻𐌴𐍅𐌰𐌱𐌰𐌲𐌼𐌹𐍃	a l eː w a b a ɣ m i s
𐌰𐌻𐌴𐍅𐌰𐌱𐌰𐌲𐌼𐍃	a l eː w a b a ɣ m s
𐌰𐌽𐌰𐌽𐌹𐍅𐌹𐌳𐌹𐌽	a n a n i w i ð i n
𐌰𐌿𐌲𐌰𐌳𐌰𐌿𐍂𐍉	ɔː ɣ a ð ɔ r oː
𐌰𐌿𐌲𐌾𐌰𐌽	ɔː ɣ j a n
𐌰𐌿𐌲𐍉	ɔː ɣ oː
𐌰𐍄𐌰𐌿𐌲𐌹𐌸𐍃	a t ɔː ɣ i θ s
𐌰𐍄𐌰𐌿𐌲𐌾𐌰𐌽	a t ɔː ɣ j a n
𐌰𐍄𐌷𐌰𐌱𐌰𐌹𐌳𐌴𐌳𐌿𐌽	a t h a β ɛː ð eː ð u n
𐌰𐍄𐌷𐌰𐌱𐌰𐌽	a t h a β aː n
𐌰𐍄𐌽𐌴𐍈𐌹𐌳𐌰	a t n eː ʍ i ð a
𐌰𐍄𐍅𐌰𐌻𐍅𐌹𐌳𐌰	a t w a l w i ð a
𐌰𐍄𐍅𐌰𐌽𐌳𐌹𐌳𐌰	a t w a n d i ð a
𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌿𐌽	a t f a r i ð eː ð u n
𐌰𐍆𐌳𐌰𐌿𐌱𐌽𐌰𐌽	a f d ɔː β n a n
𐌱𐌰𐌲𐌼𐌰𐌼	b a ɣ m a m
𐌱𐌰𐌲𐌼𐌰𐌽𐍃	b a ɣ m a n s
𐌱𐌰𐌲𐌼𐌴	b a ɣ m eː
𐌱𐌰𐌲𐌼𐍃	b a ɣ m s
𐌱𐌰𐌹𐍂𐌲𐌰𐌽	b ɛ r ɣ a n
𐌱𐌰𐌽𐌳𐍅𐌹𐌳𐌿𐌷	b a n d w i ð u h
𐌱𐌰𐌿𐌰𐌹𐌳𐌰	b ɔː i ð a
𐌱𐌹𐌰𐌱𐍂𐌹𐌳𐌴𐌳𐌿𐌽	b i a β r i ð eː ð u n
