aabüüte	ɒː b̥ yː t ə
aabüüte	ɒː b̥ y t ə
aabüüte	ɒ b̥ yː t ə
aabüüte	ɒ b̥ y t ə
aachoo	ɑː x oː
Aafang	ɑː v̥ ɑ ŋ
Aafäng	ɑː f ɛ ŋ
aagaa	ɑː ɡ ɑː
Aalass	ɑː l ɑ s
aaluege	ɑː l u ə ɡ ə
Aaläss	ɑː l ɛ sː
aamälde	ɒː m æ l d ə
Aarm	ɑː r m
Aaschnitt	ɑː ʃ n ɪ tː
aaschtändig	ɒː ʃ t æ n d̥ i ɡ̊
aaschtändig	ɒ ʃ t æ n d̥ i ɡ̊
aatue	ɑː t u ə
aaööde	ɑː øː d ə
abebringe	ɑ b̥ ə b r i ŋ ə
abfahre	ɑ b̥ f ɑː r ə
acht	ɑ x t
Aff	ɑ fː
ain	æ i n
alee	ɑ l e
Alemannisch	a l ɛ m a n ɪ ʃ
allei	ə l æ i
allpott	ɑ l p o t
allwääg	ɑ lː v æː ɡ̊
Alphorn	ɑ l p h o r n
alüte	ɒː l yː t ə
alüte	ɒː l y t ə
alüte	ɒ l yː t ə
alüte	ɒ l y t ə
amigs	a m i ɡ̊ s
amigs	a m ɪ ɡ̊ s
Angscht	ɑ ŋ ʃ t
Anke	ɑ ŋ k x ə
Armbruscht	ɑ r m b r u ʃ t
Ascht	ɑ ʃ t
Athene	a t eː n ə
au	æ ʊ
Aug	ɒ u̯ ɡ̊
Baareblyy	b̥ ɑː ʁ̥ ɛ b̥ l iː
Beck	b e k
Bett	b e tː
Bett	b ɛ tː
Bier	b i ə r
Biig	b̥ iː ɡ̊
biigewiis	b̥ iː ɡ̊ ə ʋ iː s
Biiswind	b̥ iː z̥ ʋ i n d̥
bliibe	b l iː b ə
bloos	b l oː s
Bludaz	b l u d a t͡s
blüeje	b l y ə j ə
Breagaz	b r e a ɡ ɐ t͡s
briegge	b r i ə ɡː ə
bringe	b r i ŋ ə
Brocki	b r ɔ k͡x i
Brocki	b r o k͡x i
Brugg	b r u ɡ
bruuche	p̊ r uː x ə
bruuche	p̊ r u x ə
Brüeder	b r y ə d ə r
brüele	b r y ə l ə
brüele	b ʁ i ɛ l ɛ
brüele	b r i ɛ l ə
Brüüsch	b̥ r yː ʃ
Bueb	b u ə b
Buech	b u ə χ
buschur	b ʊ ʃ ʊ ʁ
bäcke	b æ k χ ə
Bäne	b æ n ə
Bäärg	b̥ ɛː r ɡ̥
bìn	b ɪ n
bìsch	b ɪ ʃ
Bölle	b ø l ə
Bütschgi	b̥ y t͡ʃ ɡ̊ i
Bütschgi	b̥ ʏ t͡ʃ ɡ̊ ɪ
Chaschte	x a ʃ t ə
Chatz	x ɑ t s
Chatzesprung	x ɑ t s ə ʃ p r u ŋ
Chilbi	x i l b i
Chilche	χ i l χ ə
Chilcheli	χ i l χ ə l ɪ
Chilchene	χ i l χ ə n ə
Chile	χ i l ə
Chileli	χ i l ə l i
Chilene	χ i l ə n ə
Chind	ɣ̊ i n d̥
Chind	ɣ̊ ɪ n d̥
Chind	ɣ̊ ɪ n d̥
Chindsgi	χ ɪ n d̥͡s k i
Chirche	χ i r χ ə
Chirche	χ ɪ r χ ə
Chirchene	χ i r χ ə n ə
Chirchene	χ ɪ r χ ə n ə
Chirchli	χ i r χ l i
Chirchli	χ ɪ r χ l ɪ
Chlapf	x l a p͡f
chlii	x l iː
Chlooschter	χ l oː ʃ t ə r
Chläpf	x l ɛ p͡f
Chläpfli	x l ɛ p͡f l i
Chläpfli	x l ɛ p͡f l ɪ
chlättere	x l æ tː ə r ə
Chnoche	x n o x ə
Chnopf	x n o p f
Chnüü	χ n yː
choo	x oː
Chopf	ɣ̊ o p͡f
Chrone	x r o n ə
Chrott	x r o tː
Chrottepösche	x r o t ə p ø ʃ ə
Chruut	x r uː t
chrääe	x r ɛː ə
Chrüüz	χ r yː t͡s
Chuchichäschtli	x ʊ xː i x æ ʃ t l i
Chue	ɣ̊ u ə̯
Chueche	x u ə x ə
Chupple	x u pː l ə
Chuuderwältsch	χ uː d ə r w æ l t͡ʃ
Chääs	x æː s
Chääs	x ɛː s
Chääschüechli	x ɛː s x y ə x l i
Chääsmässer	x ɛː s m æ s ə r
chöne	x ø n ə
Chüechli	x y ə x l i
Chünel	χ y n ə l
Chüngel	χ y ŋ ə l
Chüngel	χ y ŋ l̩
Chüngel	χ y ŋ ɡ̊ ə l
Chüngel	χ y ŋ ɡ̊ l̩
dangge	d̥ ɑ ŋ k ə
dangge	d̥ ɑ ŋ kː ə
deet	d̥ eː t
diin	d iː n
dine	d i n ə
dobe	d̥ o b̥ ə
druus	d r uː s
du	d u
Dütschland	d y t͡ʃ l a n d
e	ə
ebe	e b̥ ə
eläi	ə l æ i
en	ə n
es	ə s
es	ɛ s
Eschtrych	ɛ ʃ t r i χ
faare	f ɒː r ə
Fasnacht	f ɑ s n ɑ x t
Fiiraabig	f iː r ɑː b i ɡ
Floor	f l oː r
foif	f ø i f
folge	f o l ɡ ə
Frucht	f r u x t
Fràui	f ʁ ɔ i
Frässi	v̥ r æ sː i
früe	f r y ə
Früelig	f r y ə l i ɡ
Fründ	v̥ r y n d̥
Fründin	v̥ r y n d̥ i n
Fründinne	v̥ r y n d̥ i n ə
Fuchs	f u x s
Fuess	v̥ u ə s
Fäischter	f æ i ʃ t ə r
Fäscht	f æ ʃ t
fääle	f ɛː l ə
fénef	f e n ə f
Füess	f y ə̯ sː
Füür	f yː r
gaa	ɡ ɑː
Garte	ɡ aː r t ə
gee	ɡ̊ eː
geh	ɡ̊ eː
Geiss	ɡ a i s
Geiss	k a i s
Gfüül	k f yː l
ghaa	ɡ h ɑː
gheie	k e i ə
ghööre	k øː r ə
Gibel	ɡ̊ i b̥ ə l
Gigle	ɡ̊ ɪ ɡ̊ l ə
Giglä	ɡ̊ ɪ ɡ̊ l ə
Gigu	ɡ̊ ɪ ɡ̊ u
Glas	ɡ l ɑ s
gli	ɡ̊ l i
glich	ɡ̊ l i x
glii	ɡ̊ l iː
gliich	ɡ̊ l iː x
gliichfalls	ɡ l iː x f a l s
gly	ɡ̊ l iː
glänze	ɡ l æ n t s ə
Glüüt	k l yː t
gnueg	k n u ə k
Goof	ɡ̊ oː f
Gooli	ɡ oː l i
grad	ɡ r ɑ d
Grumbeer	k ʁ ʊ m b e ʁ
grüesse	ɡ r y ə s ə
grüezi	ɡ̊ r y ə̯ t͡s i
Grüüsch	ɡ r yː ʃ
gschobe	k ʃ o b ə
Gschwellti	k ʃ v e lː t i
gsee	k s eː
gsi	k s i
gsii	k s iː
Gspaane	k ʃ p ɑː n ə
Gspuusi	k ʃ p uː z i
guet	ɡ u ə t
Guli	ɡ u l i
Gumel	ɡ u m l̩
Gwitter	k v i tː ə r
gwüss	k v y s
gäh	ɡ æː
gäll	ɡ æ l
Güggel	ɡ y ɡː ə l
haa	h ɑː
Haag	h ɑː ɡ
halt	h a l t
Hang	h ɑ ŋ
hit	h ɪ t
hocke	h o k χ ə
Hoger	h o ɡ̊ ə r
Hoger	h o ɡ̊ r̩
hooch	h oː x
Huet	h u ə̯ t
Huube	h uː b̥ ə
huupe	h uː p ə
Huus	h uː s
Huusfrau	h uː s f r æ ʊ
häi	h æ ɪ
Häiwee	h æ ɪ ʋ eː
Höchi	h ø χ ɪ
Hööchi	h øː χ i
Hööchi	h øː χ ɪ
hübscheli	h y p ʃ ə l i
Hüs	h yː s
ich	i ʃ
ich	e ʃ
ich	iː
ich	i x
ich	e x
ich	iː
ich	i ɣ̊
ich	i
iigsee	iː k s eː
immer	i mː ə r
ir	i r
Ise	i z̥ ə
Ise	iː z̥ ə
Jass	j ɑ s
Katzala	kʰ a t s ə l ə
kei	k x ɛ i̯
Kommentar	k͡x o m ɛ n t ɒː r
Kommentar	k͡x o m ɛ n t ɒ r
Kàtz	kʰ ɔ t s
kän	k x æ n
Käs	k ɛː s
Käs	k æː s
laa	l ɑː
lache	l a χ ə
lade	l ɑ d̥ ə
Lade	l ɑ d̥ ə
Land	l ɒ n d
lang	l ɑ ŋ
lang	l ɔ ŋ
lauffe	l æ ʊ fː ə
Leffel	l e f ə l
letscht	l e t ʃ t
Liachtaschta	l i a χ t a ʃ t a
liachtaschtänerisch	l i a χ t a ʃ t æ n ə r ɪ ʃ
lieb	l i ə p
ligge	l i ɡː ə
liide	l iː d ə
liisli	l iː s l i
lose	l o z ə
lose	l ɔ z ə
luege	l u ə̯ ɡ̥ ə
lupfe	l u p͡f ə
Làuich	l ɔ i ç
Läbe	l æ b ə
Läffel	l e f ə l
läse	l æ z ə
läse	l æː z ə
Löffel	l ø fː ə l
Löffeli	l ø fː ə l i
Löffeli	l ø fː ə l ɪ
Lööl	l øː l
lüpfe	l ʏ p͡f ə
Lütt	l y tː
Lütt	l ʏ tː
Lüttli	l y tː l i
Lüttli	l ʏ tː l ɪ
Lüüchzgi	l yː ɣ̊ t͡s ɡ̊ i
Lüüt	l yː t
Lüüte	l yː t ə
lüüte	l yː t ə
Lüütli	l yː t l i
Maa	m ɑː
mache	m ɑ x ə
massehaft	m ɑ sː ə h ɑ f t
massewiis	m ɑ sː ə ʋ iː s
Meer	m eː r
Meerze	m eː r t͡s ə
mega	m e ɡ̊ ɑ
mega	m e ɡ̊ ə
mega	m eː ɡ̊ ɑ
merci	m ɛ r s i
messi	m ɛ s i
metzge	m e t t s ɡ ə
Migi	m i ɡ i
miin	m iː n
mir	m i r
mir	m ɪː r
mir	m ə r
mitenand	m i t ə n ɑ n d
Moloch	m o l ɔ χ
Moloch	m o l ɔ χ
moorn	m ɔː r n
moorn	m oː r n
Mues	m u ə s
Mueter	m u ə t ə r
Mueterspraach	m u ə t ə r ʃ p r ɑː x
Muul	m uː l
Muur	m uː r
Muus	m uː s
Màmsel	m ɔ m s ə l
Mànn	m ɔ n
mängmal	m æ ŋ m ɒ l
määr	m ɛː r
Määrli	m ɛː r l ɪ
Müe	m y ə
Nami	n ɑ m i
Namitag	n ɑ m i t a ɡ̊
Namitäg	n ɑ m i t ɛ ɡ̊
Nase	n ɑ z ə
natüürlich	n ɑ t yː r l i x
nett	n e t
nie	n i ə
nin	n i n
nine	n i n ə
no	n ɔ
Nomi	n ɔ m i
Nomitag	n ɔ m i t a ɡ̊
Nomitäg	n ɔ m i t ɛ ɡ̊
normaalerwiis	n ɔ r m ɑː l ə r ʋ iː s
nu	n u
nume	n u m ə
Nägeli	n æ ɡ ə l i
Nägeli	n æː ɡ ə l i
näime	n æ i̯ m ə
näimehäär	n æ i̯ m ə h ɛː r
näimis	n æ ɪ m i s
nöi	n ø ɪ
nüme	n y m ə
nüün	n yː n
nüünzg	n yː n t s k
nüüt	n yː t
Ochs	o x s
ocht	ɔ x t
Oobig	ɔː b̥ i ɡ̊
ooni	oː n i
Oorgele	oː r ɡ ə l ə
passiere	p ɑ s s i ə r ə
pflääge	p f l æː ɡ ə
Pfärd	p f æ r d̥
Phack	pʰ ɑ k x
Prueff	p r u ə f
Pschäid	p ʃ æ i t
Putsch	p u t͡ʃ
Puur	p uː r
