Aafang	ɑː v̥ ɑ ŋ
Aafäng	ɑː f ɛ ŋ
Aalass	ɑː l ɑ s
Aaläss	ɑː l ɛ sː
Aarm	ɑː r m
Aaschnitt	ɑː ʃ n ɪ tː
Aff	ɑ fː
Alemannisch	a l ɛ m a n ɪ ʃ
Alphorn	ɑ l p h o r n
Angscht	ɑ ŋ ʃ t
Anke	ɑ ŋ k x ə
Armbruscht	ɑ r m b r u ʃ t
Ascht	ɑ ʃ t
Aug	ɒ u̯ ɡ̊
Baareblyy	b̥ ɑː ʁ̥ ɛ b̥ l iː
Beck	b e k
Bett	b e tː
Bett	b ɛ tː
Bier	b i ə r
Biig	b̥ iː ɡ̊
Biiswind	b̥ iː z̥ ʋ i n d̥
Bludaz	b l u d a t͡s
Breagaz	b r e a ɡ ɐ t͡s
Brocki	b r o k͡x i
Brocki	b r ɔ k͡x i
Brugg	b r u ɡ
Brüeder	b r y ə d ə r
Brüüsch	b̥ r yː ʃ
Bueb	b u ə b
Buech	b u ə χ
Bäne	b æ n ə
Bäärg	b̥ ɛː r ɡ̥
Bölle	b ø l ə
Bütschgi	b̥ ʏ t͡ʃ ɡ̊ ɪ
Chaschte	x a ʃ t ə
Chatz	x ɑ t s
Chatzesprung	x ɑ t s ə ʃ p r u ŋ
Chilbi	x i l b i
Chilche	χ i l χ ə
Chilcheli	χ i l χ ə l ɪ
Chilchene	χ i l χ ə n ə
Chile	χ i l ə
Chileli	χ i l ə l i
Chilene	χ i l ə n ə
Chind	x i n t
Chindsgi	χ ɪ n d̥͡s k i
Chirche	χ i r χ ə
Chirche	χ ɪ r χ ə
Chirchene	χ i r χ ə n ə
Chirchene	χ ɪ r χ ə n ə
Chirchli	χ i r χ l i
Chirchli	χ ɪ r χ l ɪ
Chlapf	x l a p͡f
Chlooschter	χ l oː ʃ t ə r
Chläpf	x l ɛ p͡f
Chläpfli	x l ɛ p͡f l i
Chläpfli	x l ɛ p͡f l ɪ
Chnoche	x n o x ə
Chnopf	x n o p f
Chnüü	χ n yː
Chopf	x o p f
Chrone	x r o n ə
Chrott	x r o tː
Chrottepösche	x r o t ə p ø ʃ ə
Chruut	x r uː t
Chrüüz	χ r yː t͡s
Chuchichäschtli	x ʊ xː i x æ ʃ t l i
Chue	x u ə
Chueche	x u ə x ə
Chupple	x u pː l ə
Chuuderwältsch	χ uː d ə r w æ l t͡ʃ
Chääs	x æː s
Chääs	x ɛː s
Chääschüechli	x ɛː s x y ə x l i
Chääsmässer	x ɛː s m æ s ə r
Chüechli	x y ə x l i
Chünel	χ y n ə l
Chüngel	χ y ŋ l̩
Chüngel	χ y ŋ ə l
Chüngel	χ y ŋ ɡ̊ l̩
Chüngel	χ y ŋ ɡ̊ ə l
Dütschland	d y t͡ʃ l a n d
Eschtrych	ɛ ʃ t r i χ
Fasnacht	f ɑ s n ɑ x t
Fiiraabig	f iː r ɑː b i ɡ
Floor	f l oː r
Frucht	f r u x t
Fràui	f ʁ ɔ i
Früelig	f r y ə l i ɡ
Fründ	f r y n d
Fuchs	f u x s
Fuess	v̥ u ə s
Fäischter	f æ i ʃ t ə r
Fäscht	f æ ʃ t
Füess	f y ə̯ sː
Füür	f yː r
Garte	ɡ aː r t ə
Geiss	k a i s
Geiss	ɡ a i s
Gfüül	k f yː l
Gibel	ɡ̊ i b̥ ə l
Glas	ɡ l ɑ s
Glüüt	k l yː t
Goof	ɡ̊ oː f
Gooli	ɡ oː l i
Grumbeer	k ʁ ʊ m b e ʁ
Grüüsch	ɡ r yː ʃ
Gschwellti	k ʃ v e lː t i
Gspaane	k ʃ p ɑː n ə
Gspuusi	k ʃ p uː z i
Guli	ɡ u l i
Gwitter	k v i tː ə r
Güggel	ɡ y ɡː ə l
Haag	h ɑː ɡ
Hoger	h o ɡ̊ r̩
Hoger	h o ɡ̊ ə r
Huet	h u ə̯ t
Huube	h uː b̥ ə
Huus	h uː s
Huusfrau	h uː s f r æ ʊ
Häiwee	h æ ɪ ʋ eː
Höchi	h ø χ ɪ
Hööchi	h øː χ i
Hööchi	h øː χ ɪ
Hüs	h yː s
Ise	i z̥ ə
Ise	iː z̥ ə
Jass	j ɑ s
Katzala	kʰ a t s ə l ə
Kàtz	kʰ ɔ t s
Käs	k æː s
Käs	k ɛː s
Lade	l ɑ d̥ ə
Land	l ɒ n d
Leffel	l e f ə l
Liachtaschta	l i a χ t a ʃ t a
Làuich	l ɔ i ç
Läbe	l æ b ə
Läffel	l e f ə l
Löffel	l ø fː ə l
Löffeli	l ø fː ə l i
Löffeli	l ø fː ə l ɪ
Lööl	l øː l
Lütt	l ʏ tː
Lüttli	l y tː l i
Lüttli	l ʏ tː l ɪ
Lüüchzgi	l yː ɣ̊ t͡s ɡ̊ i
Lüüt	l yː t
Lüüte	l yː t ə
Lüütli	l yː t l i
Maa	m ɑː
Meer	m eː r
Meerze	m eː r t͡s ə
Migi	m i ɡ i
Moloch	m o l ɔ χ
Mueter	m u ə t ə r
Mueterspraach	m u ə t ə r ʃ p r ɑː x
Muul	m uː l
Muur	m uː r
Muus	m uː s
Màmsel	m ɔ m s ə l
Mànn	m ɔ n
Määrli	m ɛː r l ɪ
Müe	m y ə
Nami	n ɑ m i
Namitag	n ɑ m i t a ɡ̊
Namitäg	n ɑ m i t ɛ ɡ̊
Nase	n ɑ z ə
Nomi	n ɔ m i
Nomitag	n ɔ m i t a ɡ̊
Nomitäg	n ɔ m i t ɛ ɡ̊
Nägeli	n æ ɡ ə l i
Nägeli	n æː ɡ ə l i
Ochs	o x s
Oorgele	oː r ɡ ə l ə
Pfärd	p f æ r d̥
Phack	pʰ ɑ k x
Prueff	p r u ə f
Pschäid	p ʃ æ i t
Putsch	p u t͡ʃ
Puur	p uː r
Roor	r oː r
Roos	ɾ ɔː z̥
Rugge	r u k ə
Rugge	r u kː ə
Ruus	r uː s
Rääbe	r æː b ə
Rääbeliechtli	r æː b ə l i ə χ t l i
Rüebli	r y ə b l i
Samichlaus	z̥ ɑ m i χ l a u z̥
Schaa	ʃ aː
Schiibli	ʃ iː b l i
Schnee	ʃ n eː
Schnägg	ʃ n æ k
Schoggi	ʃ ɔ ɡ̊ː i
Schopf	ʃ o p f
Schtube	ʃ t u b ə
Schtund	ʃ t u n d
Schtäge	ʃ t æ ɡ ə
Schwaab	ʃ v ɑː p
Schwiiz	ʃ ʋ iː t͡s
Schwiizertüütsch	ʃ ʋ iː t͡s ə r t yː t͡ʃ
Schwinte	ʃ ʋ ɪ n t ə
Schwöschter	ʃ v ø ʃ t ə r
See	s eː
Stili	ʃ t i l i
Stund	ʃ t ʊ n t
Thee	tʰ eː
Theek	tʰ eː k
Thönder	tʰ œ n d̥ ə r
Toni	t o n i
Tröchni	t r ø x n i
Tschoope	t ʃ oː p ə
Tuub	t uː b
Tüütschland	t y t͡ʃ l a n d
Vadoz	f a d ɔ t͡s
Vatter	f ɑ tː ə r
Vee	f eː
Vee	f æ
Wald	v ɑ l t
Wii	v iː
Wiis	ʋ iː z̥
Wiis	ʋ ɪː z̥
Wulche	v u l x ə
Wält	v æ l t
Ziischtig	t͡s iː ʃ t ɪ ɡ̊
Ziit	t s iː t
Zine	t s i n ə
Zischtig	t͡s i ʃ t ɪ ɡ̊
Zäiche	t͡s æ i x ə
Zältli	t s æ l t l i
Züri	t s y r i
aabüüte	ɑː b yː t ə
aachoo	ɑː x oː
aagaa	ɑː ɡ ɑː
aaluege	ɑː l u ə ɡ ə
aamälde	ɒː m æ l d ə
aaschtändig	ɑː ʃ t æ n d i ɡ
aatue	ɑː t u ə
aaööde	ɑː øː d ə
abebringe	ɑ b̥ ə b r i ŋ ə
abfahre	ɑ b̥ f ɑː r ə
acht	ɑ x t
ain	æ i n
alee	ɑ l e
allei	ə l æ i
allpott	ɑ l p o t
allwääg	ɑ lː v æː ɡ̊
amigs	a m i ɡ̊ s
amigs	a m ɪ ɡ̊ s
au	æ ʊ
biigewiis	b̥ iː ɡ̊ ə ʋ iː s
bliibe	b l iː b ə
bloos	b l oː s
blüeje	b l y ə j ə
briegge	b r i ə ɡː ə
bringe	b r i ŋ ə
bruuche	b r uː x ə
brüele	b r y ə l ə
buschur	b ʊ ʃ ʊ ʁ
bäcke	b æ k χ ə
bìn	b ɪ n
bìsch	b ɪ ʃ
chlii	x l iː
chlättere	x l æ tː ə r ə
choo	x oː
chrääe	x r ɛː ə
chöne	x ø n ə
dangge	d̥ ɑ ŋ k ə
dangge	d̥ ɑ ŋ kː ə
deet	d̥ eː t
diin	d iː n
dine	d i n ə
dobe	d̥ o b̥ ə
druus	d r uː s
du	d u
e	ə
ebe	e b̥ ə
eläi	ə l æ i
en	ə n
es	ə s
es	ɛ s
faare	f ɒː r ə
foif	f ø i f
folge	f o l ɡ ə
früe	f r y ə
fääle	f ɛː l ə
fénef	f e n ə f
gaa	ɡ ɑː
gee	ɡ̊ eː
geh	ɡ̊ eː
ghaa	ɡ h ɑː
gheie	k e i ə
ghööre	k øː r ə
gli	ɡ̊ l i
glich	ɡ̊ l i x
glii	ɡ̊ l iː
gliich	ɡ̊ l iː x
gliichfalls	ɡ l iː x f a l s
gly	ɡ̊ l iː
glänze	ɡ l æ n t s ə
gnueg	k n u ə k
grad	ɡ r ɑ d
grüesse	ɡ r y ə s ə
grüezi	ɡ r y ə t s i
gschobe	k ʃ o b ə
gsee	ɡ̥ z̥ eː
gsi	k s i
gsii	k s iː
guet	ɡ u ə t
gwüss	k v y s
gäh	ɡ æː
haa	h ɑː
halt	h a l t
hit	h ɪ t
hocke	h o k χ ə
hooch	h oː x
huupe	h uː p ə
häi	h æ ɪ
hübscheli	h y p ʃ ə l i
ich	e x
ich	e ʃ
ich	i
