Alaarba	à l áː ɾ b á
Ankra	a ŋ k ɾ a
Atalaata	à t à l áː t á
Europa	e u ɾ o p a
Filippinno	f i l i p p i n n o
Tẽntẽnnɔ	t ɛ̃ n t ɛ̃ n n ɔ
Tẽŋasʋkabeene	t ẽ ŋ a s ʊ k a b eː n e
abilimpoore	à b í l í m p òː r è
aburbɛ	à b ù ɾ b ɛ́
aleefɩ	a l eː f ɪ
aliko	à l í k ó
ateko	à t é k ò
basɛ	b à s ɛ̀
bibila	b i b i l a
bike	b í k é
boko	b ò k ò
burkĩna	b ù ɾ k ĩ̀ n à
bãalam	b ã́ː l á m
bãarɛ	b ã̀ː ɾ ɛ̀
bõnɔnẽrba	b õ n ɔ n ẽ́ ɾ b a
bɔgra	b ɔ ɡ ɾ a
bɔkɔ	b ɔ k ɔ
bɔlɩpɩ	b ɔ l ɪ p ɪ
da	d à
da'aga	d à ʔ à ɡ à
dabeem	d á b éː m
daka	d á k á
dapoore	d à p òː ɾ è
debia	d e b i a
detine	d e t i n e
diiki	d iː k i
dunfole	d u n f o l e
dãam	d ã́ː m
dãampuuge	d ãː m p uː ɡ r e
dãmnɛ	d ã̀ m n ɛ̀
dõrga	d õ̀ ɾ ɡ a
dõrɛ	d õ̀ ɾ ɛ̀
dɔɣɔta	d ɔ ɣ ɔ t a
funifo	f u n i f o
fuo	f u o
graaf	ɡ ɾ aː f
gõlmagɔɔgɔ	ɡ õ̀ l m à ɡ ɔ́ː ɡ ɔ́
hãma	h ã́ m á
ka'aga	k á ʔ á ɡ á
kaap	k aː p
kobɔɔtɩ	k ó b ɔ̀ː t ɪ̀
kongille	k ó ŋ ɡ í l l é
koose	k òː s è
koosgo	k òː s ɡ ò
koost	k oː s t
kromosom	k ɾ o m o s o m
kurgo	k ú ɾ ɡ ó
kutuyeho	k u t u j e h o
kuyire	k u j i ɾ e
kãnnɛ	k ã́ n n ɛ́
kɔpɩ	k ɔ́ p ɪ́
kɛ'ɛŋa	k ɛ́ ʔ ɛ ŋ á
kʋlaa	k ʊ l aː
kʋlaatẽŋa	k ʊ l aː t ẽ ŋ a
kʋlɩŋa'ateko	k ʊ l ɪ ŋ a ʔ a t e k o
lɔkɔ	l ɔ k ɔ
makrɛ	m a k ɾ ɛ
makɛ	m á k ɛ́
malɛka	m à l ɛ́ k à
mi'ige	m i ʔ i ɡ e
mã'ankɛ'ɛŋa	m ã ʔ ã ŋ k ɛ ʔ ɛ ŋ a
mã'antɩa	m ã ã n t ɪ a
nimi	n í m í
ninligirɩŋ	m á k ɛ́
pa'asgɔ	p a a s ɡ ɔ
pa'asɛ	p á á s ɛ́
pasʋa	p á s ʊ́ a
pebsʋm	p é b s ʊ́ m
pikire	p i k e
pupeelum	p u p eː l u m
pãanɛ	p ã̀ː n ɛ̀
pɩkɛ	p ɪ k ɛ
pʋsʋka	p ʊ̌ s ʊ̌ k ǎ
saaga	s á á ɡ á
sagebɔ	s a ɡ e b ɔ
sakrɛ	s à k ɾ ɛ̀
sakɛ	s à k ɛ̀
saɣɛdʋkɔ	s a ɣ ɛ d ʊ k ɔ
sãŋkt	s ã ŋ k t
teem	t éː m
tuke	t u k e
tukere	t u k e ɾ e
tupi	t ú p í
tɔtɔ	t ɔ́ t ɔ́
weefo	w éː f ó
wẽkɔ	w é̃ k ɔ́
yelle	j é l l é
yellenẽrba	j é l l é n ẽ́ ɾ b á
yire	j í ɾ é
yizuo	j i z u o
yoko	j ò k ò
zirga	z í ɾ ɡ á
zuo	z ú ó
zãagɛ	z ã́ː ɡ ɛ́
zãarɛ	z ã́ː r ɛ́
ãnkaa	ã n k àː
ãnkɔra	ã́ n k ɔ́ r á
ãnkɩtɛ	ã ŋ k ɪ t ɛ
ĩmã'asʋm	ĩ̀ m ã́ ʔ ã́ s ʊ́ m
