'ya	j̰ áː
'yar	j̰ á r
A'ishatu	ʔ áː ʔ ì ʃ á t ù
Abdu	ʔ á b d ù
Abdulhamid	ʔ à b d ù l h à m î d
Abdullahi	ʔ à b d ù l l áː h ì
Abdulƙadir	ʔ à b d ù l kʼ áː d ì r
Abdurrahim	ʔ á b d ú ɽ r á h í m
Abdussalamu	ʔ à b d ù s s à l áː m ù
Abu	ʔ á b ú
Abubakar	ʔ à b úː b á k à r
Acca	ã t͡ʃ t͡ʃ á
Adam	ʔ á d à m
Adamu	ʔ àː d à m ú
Afirka	ʔ á f í r k à
Afrilu	ʔ à f r íː l ù
Agusta	ʔ à ɡ ú s t àː
Ahmad	ʔ áː m à d
Aiki	ʔ à i k í
Ailan	ʔ á i l à n
Akure	ʔ à k ú ɽ é
Alhamis	ʔ à l h à m î s
Ali	ʔ à l í
Allah	ʔ á l l àː
Alli	ʔ à l l íː
Almasihu	ʔ à l m à s íː h ù
Altine	ʔ à l t ì n é
Alƙahira	ʔ à l kʼ áː h ì r á
Alƙur'ani	ʔ à l kʼ ù r ʔ áː n ìː
Amina	ʔ á m íː n à
Amirka	ʔ á m ì r k à
Amurka	ʔ á m ù r k à
Anaca	ʔ à n à t͡ʃ à
Ango	ʔ á n ɡ ò
Ankara	ʔ á n k à r à
Asabar	ʔ à s á b à r
Asabe	ʔ à s à b é
Asiya	ʔ áː s í j à
Attaura	ʔ à t t á u r áː
Audu	ʔ á u d ù
Azumi	ʔ á z ù m í
Baba	b àː b á
Badun	b àː d ù n
Bafilatani	b à f í l áː t à n íː
Bafillace	b à f í l l áː t͡ʃ èː
Bagadaza	b à ɡ à d áː z à
Bagwari	b à ɡʷ áː ɽ íː
Bahaushe	b à h á u ʃ èː
Baiwa	b â i w á
Balaraba	b à l áː r á b à
Balarabe	b à l áː r á b è
Balarabe	b à l áː r á b èː
Bararo	b à r à r óː
Barau	b à ɽ á u
Barbarci	b á ɽ b á ɽ t͡ʃ íː
Barno	b à r n ó
Basakkwace	b à s á kʷ kʷ á t͡ʃ èː
Bature	b à t úː r èː
Bawa	b áː w à
Baƙo	b àː kʼ ó
Bello	b é l l ò
Bici	b í t͡ʃ ì
Bini	b ìː n í
Binta	b í n t à
Binuwai	b í n ú w à i
Birtaniya	b ì r t áː n í j à
Bosniya	b ó s n í j à
Cadi	t͡ʃ áː d ì
Calawa	t͡ʃ áː l áː w áː
Dala	d àː l á
Damagaram	d à m á ɡ à r á m
Dauda	d á u d àː
Daura	d à u ɽ áː
Dimashi	d ì m áː ʃ ì
Disamba	d ì s á m b àː
Dogarai	d òː ɡ à ɽ á i
Dogo	d óː ɡ ó
Dutse	d úː t sʼ è
Fabrairu	f à b r á i r ù
Faransa	f à r á n s à
Faransanci	f á r á n s á n t͡ʃ íː
Farisa	f áː r í s à
Faruku	f àː r ú k ù
Faruƙu	f àː r ú kʼ ù
Fatakwal	f á t áː kʷ à l
Faɗimatu	f áː ɗ ì m á t ù
Fijo	f ì d ʒ ôː
Filato	f ì l àː t ó
Funtuwa	f ù n t ú w à
Gagarau	ɡ àː ɡ à ɽ á u
Gajere	ɡ à d ʒ éː ɽ é
Gana	ɡ áː n à
Ganau	ɡ à n á u
Gara	ɡ á r àː
Garki	ɡ à ɽ k í
Giginyu	ɡ ì ɡ ì n j ú
Gobir	ɡ òː b í r
Gumal	ɡ ú m à l
Gusau	ɡ ù s á u
Gwaggo	ɡʷ á ɡ ɡ ò
Gwalkwas	ɡʷ á l kʷ à s
Gwandu	ɡʷ á n d ú
Habasha	h á b á ʃ à
Hadizatu	h à d íː z á t ù
Hafizu	h áː f í z ù
Hafsatu	h à f s á t ù
Halilu	h à l íː l ù
Halima	h à l íː m à
Hamidu	h á m íː d ù
Haruna	h á r úː n à
Hasan	h á s à n
Hasana	h á s à n áː
Hausa	h á u s á
Hauwa	h à u w á
Haƙurau	h à kʼ ù ɽ á u
