a	aː
aha	a h a
ahiahi	a h i a h i
ako	a k o
ala	a l a
alana	a l a n a
alapaʻi	a l a p a ʔ i
aloha	a l o h a
ane	a n e
ani	a n i
anuhea	a n u h e a
au	a w
awakea	a ʋ a k e a
aʻa	a ʔ a
ea	e a
galatia	k a l a k i a
habakuka	h a p a k u k a
hagai	h a k a j
hailama	h a j l a m a
hailepo	h a j l e p o
haka	h a k a
halaki	h a l a k i
hale	h a l e
halelū	h a l e l uː
haliaka	h a l i a k a
hana	h a n a
hanalei	h a n a l e j
hanalē	h a n a l eː
hau	h a w
haumea	h a w m e a
haunani	h a w n a n i
hawaiʻi	h a v a j ʔ i
haʻaheo	h a ʔ a h e o
haʻawina	h a ʔ a v i n a
healani	h e a l a n i
hebera	h e p e l a
hekekia	h e k e k i a
hele	h e l e
helena	h e l e n a
helene	h e l e n e
hema	h e m a
henelē	h e n e l eː
henua	h e n u a
hikina	h i k i n a
hilo	h i l o
hina	h i n a
hiʻiaka	h i ʔ i a k a
hiʻilani	h i ʔ i l a n i
honolulu	h o n o l u l u
honu	h o n u
honua	h o n u a
hou	h o w
hoʻopelapela	h o ʔ o p e l a p e l a
huhu	h u h u
hula	h u l a
huluhulu	h u l u h u l u
huʻihuʻi	h u ʔ i h u ʔ i
hōkū	h oː k uː
hōkūlani	h oː k uː l a n i
hōʻaʻā	h oː ʔ a ʔ aː
iakopa	i a k o p a
iakopo	i a k o p o
ieremia	i e l e m i a
ikaika	i k a j k a
ioane	i o a n e
ioba	i o p a
iokepa	i o k e p a
iona	i o n a
ioʻela	i o ʔ e l a
iuda	j u k a
iune	j u n e
kahakō	k a h a k oː
kahalaomāpuana	k a h a l a o̯ m aː p u a n a
kahale	k a h a l e
kahananui	k a h a n a n u i
kahaʻi	k a h a ʔ i
kahealani	k a h e a l a n i
kahele	k a h e l e
kahiki	k a h i k i
kahu	k a h u
kahue	k a h u e
kahula	k a h u l a
kahuna	k a h u n a
kai	k a j
kaila	k a j l a
kailani	k a j l a n i
kaimana	k a j m a n a
kainalu	k a j n a l u
kainoa	k a j n o a
kaipo	k a j p o
kaiwi	k a j v i
kakahiaka	k a k a h i a k a
kakalia	k a k a l i a
kakalina	k a k a l i n a
kala	k a l a
kalai	k a l a j
kalaina	k a l a j n a
kalalaina	k a l a l a j n a
kalama	k a l a m a
kalani	k a l a n i
kalawaiʻa	k a l a v a j ʔ a
kalaʻi	k a l a ʔ i
kale	k a l e
kalehua	k a l e h u a
kalei	k a l e j
kaleialoha	k a l e j a l o h a
kaleikaumaka	k a l e j k a w m a k a
kaleiokalani	k a l e j o k a l a n i
kalena	k a l e n a
kaleo	k a l e o
kaleolani	k a l e o l a n i
kalia	k a l i a
kalikimaka	k a l i k i m a k a
kaliko	k a l i k o
kalili	k a l i l i
kaliʻa	k a l i ʔ a
kalolaina	k a l o l a j n a
kalua	k a l u a
kalukalu	k a l u k a l u
kalā	k a l aː
kama	k a m a
kamahiʻai	k a m a h i ʔ a j
kamaile	k a m a j l e
kamaka	k a m a k a
kamaki	k a m a k i
kamala	k a m a l a
kamalani	k a m a l a n i
kamalei	k a m a l e j
kamaʻāina	k a m a ʔ aː j n a
kameāloha	k a m e aː l o h a
kamila	k a m i l a
kanaloa	k a n a l o a
kanani	k a n a n i
kanikau	k a n i k a w
kanoa	k a n o a
kanoelani	k a n o e l a n i
kapeka	k a p e k a
kapika	k a p i k a
kapiʻolani	k a p i ʔ o l a n i
kapono	k a p o n o
kapua	k a p u a
kapule	k a p u l e
kau	k a w
kauhi	k a w h i
kaulana	k a w l a n a
kaumokuʻāina	k a w m o k u ʔ aː j n a
kauʻi	k a w ʔ i
kauʻilani	k a w ʔ i l a n i
kawai	k a v a j
kawailani	k a v a j l a n i
kawehi	k a v e h i
kawelo	k a v e l o
kawena	k a v e n a
kawenaʻulaokalaniahiʻiakaikapoliopelekawahineʻaihonuaināleilehuaapele	k a v e n a ʔ u l a o̯ k a l a n i a h i ʔ i a k a j k a p o l i o p e l e k a v a h i n e ʔ a j h o n u a j n aː l e j l e h u a a p e l e
kaʻaukai	k a ʔ a w k a j
kaʻehu	k a ʔ e h u
kaʻena	k a ʔ e n a
kaʻili	k a ʔ i l i
kaʻimi	k a ʔ i m i
kaʻiulani	k a ʔ j u l a n i
kaʻohu	k a ʔ o h u
kaʻuhane	k a ʔ u h a n e
kea	k e a
keahi	k e a h i
keaka	k e a k a
keala	k e a l a
kealalaina	k e a l a l a j n a
kealani	k e a l a n i
kealiʻi	k e a l i ʔ i
kealoha	k e a l o h a
keanu	k e a n u
keao	k e a o̯
keawe	k e a v e
keikilani	k e j k i l a n i
kekoa	k e k o a
keleka	k e l e k a
kelekia	k e l e k i a
kelekolio	k e l e k o l i o
keliʻi	k e l i ʔ i
kelupaina	k e l u p a j n a
keoki	k e o k i
keola	k e o l a
keona	k e o n a
keonaona	k e o n a o̯ n a
keone	k e o n e
kepano	k e p a n o
kepola	k e p o l a
keō	k e oː
keʻala	k e ʔ a l a
keʻalohilani	k e ʔ a l o h i l a n i
kia	k i a
kiana	k i a n a
kiele	k i e l e
kikilia	k i k i l i a
kila	k i l a
kilia	k i l i a
kilikina	k i l i k i n a
kimo	k i m o
kimokeo	k i m o k e o
kimona	k i m o n a
kimu	k i m u
kina	k i n a
kini	k i n i
kinohi	k i n o h i
kio	k i o
