Јадран	j â d r aː n
Јамајка	j a m ǎ j k a
Јапан	j ǎ p aː n
Јапанац	j a p ǎː n a t͡s
Јапанка	j ǎ p aː n k a
Јахве	j â x ʋ e
Јеврејин	j ě ʋ r e j i n
Јемен	j ê m e n
Јеменац	j e m ěː n a t͡s
Јерменија	j ě r m eː n i j a
Јован	j ǒ ʋ a n
Јордан	j ǒ r d a n
Јорданац	j o r d ǎː n a t͡s
Јосип	j ǒ s i p
Југославен	j u ɡ o s l ǎ ʋ eː n
Југославија	j u ɡ o s l â ʋ i j a
Југославија	j u ɡ ǒ s l aː ʋ i j a
Јудеја	j u d ě j a
Јупитер	j ǔ p i t e r
Јустин	j û s t i n
Љубљана	ʎ u b ʎ ǎ n a
Њемачка	ɲ ě m a t͡ʃ k aː
Њемица	ɲ ě m i t͡s a
Њујорчанин	ɲ ǔ j o r t͡ʃ a n i n
Ћаба	t͡ɕ ǎː b a
Џибути	d͡ʒ i b û t i
Абел	ǎː b e l
Абесинац	a b e s ǐː n a t͡s
Абесинија	a b e s ǐː n i j a
Абидјан	ǎ b i d͡ʒ a n
Абиџан	ǎ b i d͡ʒ a n
Абориџиница	a b o r ǐ d͡ʒ i n i t͡s a
Абхажанка	a b x ǎ ʒ aː n k a
Абхаз	ǎ b x aː z
Абхазија	ǎ b x aː z i j a
Авганистан	a ʋ ɡ a n ǐ s t aː n
Адам	ǎ d a m
Адвент	ǎ d ʋ e n t
Аден	âː d e n
Адонис	â d o n i s
Азербајџан	a z e r b ǎ j d͡ʒ aː n
Азербајџанац	a z e r b a j d͡ʒ ǎː n a t͡s
Азија	âː z i j a
Азијац	a z ǐː j a t͡s
Азтек	ǎ z t eː k
Алабама	a l a b ǎ m a
Албанац	a l b ǎː n a t͡s
Албанија	ǎ l b aː n i j a
Албанка	ǎ l b aː n k a
Александар	a l ě k s aː n d a r
Александрија	a l e k s ǎ n d r i j a
Алжир	ǎ l ʒ iː r
Алжирац	a l ʒ ǐː r a t͡s
Алжирка	ǎ l ʒ iː r k a
Амер	â m e r
Америка	a m ě r i k a
Американац	a m e r i k ǎː n a t͡s
Американка	a m e r ǐ k aː n k a
Амстердам	ǎ m s t e r d a m
Ана	â n a
Ана	ǎː n a
Анадолија	a n a d ǒː l i j a
Анатолија	a n a t ǒː l i j a
Англоамерика	a n ɡ l o a m ě r i k a
Англосаксонац	a n ɡ l o s a k s ǒː n a t͡s
Ангола	a n ɡ ôː l a
Анголац	a n ɡ ǒː l a t͡s
Анголка	ǎ n ɡ oː l k a
Андалузија	a n d ǎ l uː z i j a
Анде	âː n d e
Андора	a n d ôː r a
Андорац	a n d ǒː r a t͡s
Андрија	ǎ n d r i j a
Андрокло	a n d r ǒ k l o
Андромаха	a n d r ǒ m a x a
Андромеда	a n d r ǒ m e d a
Анка	âː n k a
Анкара	ǎ n k a r a
Антарктик	a n t ǎ r k t i k
Анте	ǎː n t e
Антун	ǎ n t uː n
Апокалипса	a p o k a l ǐ p s a
Аполон	a p ǒ l oː n
Арабија	ǎ r aː b i j a
Арабљанин	a r ǎː b ʎ a n iː n
Арапин	ǎ r a p i n
Аргентина	a r ɡ e n t ǐː n a
Аргентинац	a r ɡ e n t ǐː n a t͡s
Арес	âː r e s
Арменац	a r m ěː n a t͡s
Арменија	ǎ r m eː n i j a
Асирац	a s ǐː r a t͡s
Асирија	a s ǐː r i j a
Астурија	ǎ s t uː r i j a
Астуријац	a s t ǔ r iː j a t͡s
Асуан	ǎ s u a n
Атена	a t ěː n a
Атина	a t ǐː n a
Атланта	a t l ǎ n t a
Атлантида	a t l a n t ǐː d a
Атлантик	a t l ǎ n t i k
Аустралац	a u s t r ǎː l a t͡s
Аустралија	a ǔ s t r aː l i j a
Аустралијанац	a u s t r a l i j ǎː n a t͡s
Аустрија	ǎ u s t r i j a
Аустријанац	a u s t r i j ǎː n a t͡s
Афганистан	a f ɡ a n ǐ s t aː n
Африка	ǎ f r i k a
Африканац	a f r i k ǎː n a t͡s
Африканка	a f r ǐ k aː n k a
Афродита	a f r ǒ d i t a
Ахил	ǎ x i l
Аљаска	ǎ ʎ a s k a
Б	b
Баварска	b ǎ ʋ aː r s k a
Багдад	b ǎ ɡ d aː d
Бадњак	b â d ɲ aː k
Баку	b ǎ k u
Балкан	b ǎ l k aː n
Балканац	b a l k ǎː n a t͡s
Балтик	b ǎ l t i k
Бангкок	b ǎ n ɡ k o k
Бангладеш	b ǎ n ɡ l a d e ʃ
Бар	b âː r
Барбадос	b a r b ǎː d o s
Барселона	b a r s e l ǒː n a
Баск	b â s k
Бахреин	b ǎ x r e i n
Бачка	b âː t͡ʃ k aː
Бајрам	b ǎ j r a m
Белгија	b ěː l ɡ i j a
Белгијанац	b e l ɡ i j ǎː n a t͡s
Белорусија	b e l o r ǔ s i j a
Бенин	b ê n i n
Београд	b ê o ɡ r a d
Београђанин	b ê o ɡ r a d͡ʑ a n i n
Београђанка	b ê o ɡ r a d͡ʑ aː n k a
Беоција	b e ǒ t͡s i j a
Бербер	b ě r b e r
Берлин	b ě r l iː n
Берлинац	b e r l ǐː n a t͡s
Берн	b êː r n
Беч	b êː t͡ʃ
Бечанин	b ěː t͡ʃ a n i n
Библија	b ǐ b l i j a
Бизантинац	b i z a n t ǐː n a t͡s
Бог	b ôː ɡ
Богдан	b ǒ ɡ d aː n
Богота	b o ɡ ǒ t a
Божић	b ǒ ʒ i t͡ɕ
Боливија	b o l ǐː ʋ i j a
Боливијац	b o l i ʋ ǐː j a t͡s
Борис	b ôː r i s
Босанац	b o s ǎː n a t͡s
Босна	b ô s n a
Бостон	b ô s t o n
Боцвана	b o t͡s ʋ ǎ n a
Бошњак	b ǒ ʃ ɲ aː k
Бојан	b ǒ j a n
Бранислав	b r ǎ n i s l a ʋ
Бранка	b r âː n k a
Бранка	b r ǎː n k a
Бранко	b r âː n k o
Братислава	b r ǎ t i s l a ʋ a
Бреговић	b r ě ɡ o ʋ i t͡ɕ
Брезница	b r ěː z n i t͡s a
Брезничанин	b r ěː z n i t͡ʃ a n i n
Брисел	b r ǐ s e l
Британац	b r i t ǎː n a t͡s
Британија	b r ǐ t aː n i j a
Бугарин	b û ɡ a r i n
Бугарка	b û ɡ aː r k a
Бугарска	b û ɡ a r s k a
Бугарче	b u ɡ a r t͡ʃ e
Буда	b ǔː d a
Будва	b û d ʋ a
Будимпешта	b ǔ d i m p e ʃ t a
Букурешт	b û k u r e ʃ t
Бурма	b ûː r m a
Бурманац	b u r m ǎː n a t͡s
Бурманка	b ǔ r m aː n k a
Бурунди	b u r û n d i
Бутан	b ǔ t aː n
Бјелорусија	b j e l o r ǔ s i j a
В	ʋ
Варшава	ʋ ǎ r ʃ a ʋ a
Ватикан	ʋ â t i k aː n
Венера	ʋ ě n e r a
Венеција	ʋ ě n eː t͡s i j a
Весна	ʋ ê s n a
Веста	ʋ ê s t a
Викторија	ʋ ǐ k t oː r i j a
Вијетнам	ʋ î j e t n a m
Влах	ʋ l â x
Волга	ʋ ôː l ɡ a
Војводина	ʋ ǒ j ʋ o d i n a
Војислав	ʋ ǒ j i s l a ʋ
Вујичић	ʋ u j i t͡ʃ i t͡ɕ
Г	ɡ
Габон	ɡ ǎ b oː n
Галиција	ɡ ǎ l iː t͡s i j a
Гамбија	ɡ ǎ m b i j a
Гана	ɡ â n a
Ганац	ɡ ǎː n a t͡s
Ганеш	ɡ a n ê ʃ
Гватемала	ɡ ʋ a t e m ǎː l a
Герман	ɡ ě r m aː n
Гибралтар	ɡ ǐ b r a l t aː r
Гилгамеш	ɡ ǐ l ɡ a m e ʃ
Голгота	ɡ ǒ l ɡ o t a
Господ	ɡ ô s p o d
Господњи	ɡ ǒ s p o d ɲ iː
Гот	ɡ ô t
Гренланд	ɡ r ě n l a n d
Грк	ɡ r̂ k
Гркиња	ɡ r̂ k i ɲ a
Грузија	ɡ r ûː z i j a
Грчка	ɡ r̩̂ t͡ʃ k aː
Дагестан	d â ɡ e s t aː n
