Abril	ʔ a b ɾ i l
Acosta	ʔ a k o s t a
Agbulos	ʔ a ɡ b u l o s
Agbunag	ʔ a ɡ b u n a ɡ
Aglipay	ʔ a ɡ l i p a j
Agpaoa	ʔ a ɡ p a w a
Agtarap	ʔ a ɡ t a ɾ a p
Alcala	ʔ a l k a l a
Amami	ʔ a m a m i
Azurin	ʔ a s u ɾ i n
Bagaoisan	b a ɡ a w i s a n
Banaoang	b a n a w a ŋ
Barroga	b a r o ɡ a
Batallones	b a t a l j o n e s
Bauang	b a w a ŋ
Bautista	b a w t i s t a
Bayombong	b a j o m b o ŋ
Bersamina	b e ɾ s a m i n a
Biernes	b j e ɾ n e s
Bulosan	b u l o s a n
Bumanglag	b u m a ŋ l a ɡ
Cabanatuan	k a b a n a t u ʔ a n
Cabanatuan	k a b a n a t w a n
Cabaroan	k a b a ɾ o a n
Cardenas	k a ɾ d e n a s
Casilagan	k a s i l a ɡ a n
Castillo	k a s t i l j o
Cruz	k ɾ u s
Cuyapo	k u j a p o
Dancel	d a n s e l
Daquioag	d a k i w a ɡ
Dominggo	d o m i n ɡ o
Domingo	d o m i n ɡ o
Duldulao	d u l d u l a w
Dumlao	d u m l a w
Echague	ʔ e t͡ʃ a ɡ e
Fariñas	f a ɾ i ɲ a s
Gacusan	ɡ a k u s a n
Galicinao	ɡ a l i s i n a w
Gamiao	ɡ a m j a w
Gaoiran	ɡ a w i ɾ a n
Garalde	ɡ a ɾ a l d e
Garcia	ɡ a ɾ s i a
Huebes	h w e b e s
Kristiano	k ɾ i s t j a n o
Kuaresma	k w a ɾ e s m a
Lapeña	l a p e ɲ a
Leaño	l e a ɲ o
Libtong	l i b t o ŋ
Llanes	l j a n e s
Lopez	l o p e s
Lunes	l u n e s
Lupao	l u p a w
Madriaga	m a d ɾ j a ɡ a
Mamaclay	m a m a k l a j
Mamuad	m a m w a d
Marso	m a ɾ s o
Martes	m a ɾ t e s
Martinez	m a ɾ t i n e s
Mayo	m a j o
Mierkoles	m j e ɾ k o l e s
Namarsua	n a m a ɾ s w a
Pagaduan	p a ɡ a d u a n
Pagdilao	p a ɡ d i l a w
Paguirigan	p a ɡ i ɾ i ɡ a n
Paoay	p a w a j
Pascua	p a s k w a
Paskua	p a s k w a
Pebrero	p e b ɾ e ɾ o
Peralta	p e ɾ a l t a
Raguindin	ɾ a ɡ i n d i n
Ramirez	ɾ a m i ɾ e s
Ramos	ɾ a m o s
Raquepo	ɾ a k e p o
Rigonan	ɾ i ɡ o n a n
Rumbaoa	ɾ u m b a w a
Sabado	s a b a d o
Salazar	s a l a s a ɾ
Salomague	s a l o m a ɡ w e
Sanchez	s a n t͡ʃ e s
Setiembre	s e t j e m b ɾ e
Tamayo	t a m a j o
Tuguegarao	t u ɡ e ɡ a ɾ a w
Tumacder	t u m a k d e ɾ
Ulep	ʔ u l e p
Ulep	ʔ u l ɯ p
Valdez	b a l d e s
Viloria	b i l o ɾ j a
Yadao	j a d a w
abagat	ʔ a b a ɡ a t
abaka	ʔ a b a k a
abutra	ʔ a b u t ɾ a
adal	ʔ a d a l
adalem	ʔ a d a l e m
adalem	ʔ a d a l ɯ m
adayo	ʔ a d a j o
adda	a d d a
addayo	a d d a j o
adhetibo	ʔ a d h e t i b o
adigi	ʔ a d i ɡ i
adipen	ʔ a d i p ɛ n
adjetivo	ʔ a d h e t i b o
agadal	ʔ a ɡ a d a l
aganak	ʔ a ɡ a n a k
agarak	ʔ a ɡ a ɾ a k
agari	ʔ a ɡ a r i
agbatok	ʔ a ɡ b a t u k
agdan	ʔ a ɡ d a n
agek	ʔ a ɡ ɛ k
aggingined	ʔ a ɡ ɡ i ŋ i n e d
aggingined	ʔ a ɡ ɡ i ŋ i n ɯ d
agkatawa	ʔ a ɡ k a t a w a
aglako	ʔ a ɡ l a k o
aglangoy	ʔ a ɡ l a ŋ o j
