Byzantio	b i z a n s j o
Byzantio	b i z a n t j o
Byzantio	b i z a n t͡s j o
Chile	t͡ʃ i l e
Espania	e s p a n j a
Francia	f ɾ a n t s j a
Germania	ɡ e ɾ m a n j a
Indian	i n d j a n
Israel	i s r a e l
Italia	i t a l j a
Scotia	s k o t s j a
a	a
adeo	a d e o
aeroporto	a e r o p o r t o
al	a l
alphabeto	a l f a b e t o
ama	a m a
amante	a m a n t e
amara	a m a r a
amarea	a m a r e a
amate	a m a t e
amava	a m a v a
amico	a m i k o
ancian	a n s j a n
ancian	a n t͡s j a n
anglese	a n ɡ l e s e
anglese	a n ɡ l e z e
animal	a n i m a l
anque	a ŋ k w e
apud	a p u d
arbore	a r b o r e
articulo	a r t i k u l o
articulos	a r t i k u l o s
ascoltar	a s k o l t a r
audi	a u̯ d i
audiente	a u̯ d j e n t e
audir	a u̯ d i r
audira	a u̯ d i r a
audirea	a u̯ d i r e a
audite	a u̯ d i t e
audiva	a u̯ d i v a
avantiar	a v a n t s j a ɾ
avion	a v j o n
ben	b e n
benvenite	b e n v e n i t e
berillo	b e r i lː o
besonio	b e z o n j o
bibita	b i b i t a
bibliotheca	b i b l i o t e k a
blanc	b l a ŋ k
boteca	b o t e k a
butyro	b u t i r o
byzantin	b i z a n t i n
byzantino	b i z a n t i n o
c	k
c	t s
c	t s e
caffe	k a f e
caffe	k a f f e
calcea	k a l t s e a
camera	k a m e r a
camisa	k a m i s a
cantar	k a n t a r
casa	k a s a
catta	k a t t a
catto	k a t t o
ci	t s i
ciao	t͡ʃ a o
cinque	t͡s i n k w e
citate	t͡s i t a t e
cocina	k o t s i n a
comenciar	k o m e n s j a r
comenciar	k o m e n t͡s j a r
commode	k o m m o d e
confortabile	k o n f o r t a b i l e
constantinopolita	k o n s t a n t i n o p o l i t a
constantinopolitan	k o n s t a n t i n o p o l i t a n
credentia	k r e d e n s j a
credentia	k r e d e n t j a
credentia	k r e d e n t͡s j a
cucu	k u k u
cuje	k u j e
curte	k u r t e
debe	d e b e
deber	d e b e r
dece	d e t s e
decider	d e t͡s i d e r
decime	d e t s i m e
densitate	d e n s i t a t e
devenir	d e v e n i r
dicer	d i t s e r
difficile	d i f f i t s i l e
discoperir	d i s k o p e ɾ i ɾ
disponibile	d i s p o n i b i l e
disponibilitate	d i s p o n i b i l i t a t e
dominica	d o m i n i k a
dubita	d u b i t a
effortia	e f o r s j a
effortia	e f o r t͡s j a
effortiante	e f o r s j a n t e
effortiante	e f o r t͡s j a n t e
effortiar	e f o r s j a r
effortiar	e f o r t͡s j a r
effortiara	e f o r s j a r a
effortiara	e f o r t͡s j a r a
effortiarea	e f o r s j a r e a
effortiarea	e f o r t͡s j a r e a
effortiate	e f o r s j a t e
effortiate	e f o r t͡s j a t e
effortiava	e f f o r t͡s j a v a
effortiava	e f o r s j a v a
effortio	e f f o ɾ t s j o
effortio	e fː o ɾ t s j o
egyptiano	e ɡ i p t i̯ a n o
egyptio	e ɡ i p t i̯ o
electronic	e l e k t ɾ o n i k
equalar	e k w a l a r
equalar	e ɡ w a l a r
esser	e s s e r
essera	e s s e r a
esseva	e s s e v a
etiam	e t s j a m
facer	f a t s e r
familia	f a m i l j a
femina	f e m i n a
fenestra	f e n e s t r a
ferma	f e r m a
ferrovia	f e r r o v i a
ficato	f i k ɑ t o
frigide	f r i ɡ i d e
fructo	f ɾ u k t o
g	d ʒ
g	d ʒ e
g	ɡ
g	ʒ
garantia	ɡ a r a n t i a
gay	ɡ e ɪ
gente	ɡ e n t e
granmatre	ɡ r a n m a t r e
granpatre	ɡ r a n p a t r e
habeva	h a b e v a
habitar	h a b i t a r
habite	h a b i t e
hepate	h e p ɑ t e
hiberno	h i b e r n o
homine	h o m i n e
hospital	h o s p i t a l
illac	i l l a k
illuminar	i l l u m i n a r
impossibile	i m p o s i b i l e
instabilitate	i n s t a b i l i t a t e
international	i n t e r n a t s j o n a l
interne	i n t e r n e
inusabile	i n u s a b i l e
invitation	i n v i t a t s j o n
io	i o
ira	i r a
italiano	i t a l j a n o
jacer	ʒ a t s e r
jammais	ʒ a m m e
japonese	ʒ a p o n e z e
jectar	ʒ e k t a ɾ
