ꦄ	a
ꦄꦂꦒ	a r ɡ ɔ
ꦄꦂꦗꦸꦤ	a r d͡ʒ u n ɔ
ꦄꦂꦪ	a r j ɔ
ꦆꦤ꧀ꦢꦿ	i n d r ɔ
ꦉꦏ꧀ꦱ	r ə k s ɔ
ꦉꦕ	r ə t͡ʃ ɔ
ꦉꦚ꧀ꦕꦁ	r ə ɲ t͡ʃ a ŋ
ꦉꦢꦶ	r ə d i
ꦉꦱꦶ	r ə s i
ꦉꦱ꧀ꦩꦶ	r ə s m i
ꦊꦁꦏꦫ	l ə ŋ k a r a
ꦊꦩ	l ə m a
ꦊꦩꦃ	l ə m a h
ꦊꦩꦤ꧀ꦠꦸꦤ꧀	l ə m a n t u n
ꦊꦩꦫꦶ	l ə m a r i
ꦊꦩꦸ	l ə m u
ꦊꦩꦼꦱ꧀	l ə m ə s
ꦊꦩ꧀ꦧꦸ	l ə m b u
ꦊꦱ꧀ꦠꦫꦶ	l ə s t a r i
ꦏꦂꦠꦶ	k a r t i
ꦏꦂꦪ	k a r j a
ꦏꦂꦱ	k a r s ɔ
ꦏꦏꦮꦶꦤ꧀	k a k a w ɪ n
ꦏꦏꦸꦱ꧀	k a k u s
ꦏꦕ	k ɔ t͡ʃ ɔ
ꦏꦕꦸꦁ	k a t͡ʃ u ŋ
ꦏꦛꦶꦭ꧀	k a ʈ ɪ l
ꦏꦝꦸꦁ	k a ɖ u ŋ
ꦏꦠꦶ	k a t i
ꦏꦠꦶꦩ꧀ꦧꦁ	k a t ɪ m b a ŋ
ꦏꦠꦸꦭ꧀	k a t ʊ l
ꦏꦠꦺꦱ꧀	k a t ɛ s
ꦏꦠꦼꦫꦔꦤ꧀	k a t ə r a ŋ a n
ꦏꦢꦶꦥꦠꦺꦤ꧀	k a d i p a t ɛ n
ꦏꦤ꧀ꦛꦶ	k a n ʈ i
ꦏꦤ꧀ꦛꦶꦭ꧀	k a n ʈ ɪ l
ꦏꦤ꧀ꦝꦶꦭ꧀	k a n ɖ ɪ l
ꦏꦥꦏ꧀	k a p a k
ꦏꦥꦤꦺꦮꦺꦴꦤ꧀	k a p a n e w o n
ꦏꦥꦿꦗꦸꦫꦶꦠꦤ꧀	k a p r a d͡ʒ u r i t a n
ꦏꦧꦪꦤ꧀	k a b a j a n
ꦏꦧꦸꦢꦪꦤ꧀	k a b u d a j a n
ꦏꦩꦶꦠꦸꦮ	k a m i t u w ɔ
ꦏꦩꦸꦱ꧀	k a m u s
ꦏꦫ	k ɔ r ɔ
ꦏꦫꦏ꧀	k a r a k
ꦏꦫꦗꦤ꧀	k a r a d͡ʒ a n
ꦏꦫꦠꦺꦴꦤ꧀	k a r a t ɔ n
ꦏꦫꦤ	k ɔ r ɔ n ɔ
ꦏꦫꦺꦴ	k a r o
ꦏꦭꦶꦃ	k a l ɪ h
ꦏꦭꦸꦫꦲꦤ꧀	k a l u r a h a n
ꦏꦭꦺꦤ꧀	k a l ɛ n
ꦏꦮꦸꦭ	k a w u l ɔ
ꦏꦱꦸꦂ	k a s u r
ꦏꦶꦛ	k i ʈ a
ꦏꦶꦠ	k i t ɔ
ꦏꦶꦢꦁ	k i d a ŋ
ꦏꦶꦱ꧀ꦩ	k ɪ s m ɔ
ꦏꦸꦛ	k u ʈ a
ꦏꦸꦤ꧀ꦝ	k ʊ n ɖ a
ꦏꦸꦤ꧀ꦠ	k u n t ɔ
ꦏꦸꦥꦶꦁ	k u p ɪ ŋ
ꦏꦸꦭꦮꦂꦒ	k u l ɔ w a r ɡ ɔ
ꦏꦸꦮꦸ	k u w u
ꦏꦺꦗꦸ	k ɛ d͡ʒ u
ꦏꦺꦴꦮꦺ	k o w e
ꦏꦼꦂꦗ	k ə r j ɔ
ꦏꦼꦂꦠꦶ	k ə r t i
ꦏꦼꦗꦸ	k ə d͡ʒ u
ꦏꦼꦝꦠꦺꦴꦤ꧀	k ə ɖ a t ɔ n
ꦏꦼꦠꦫ	k ə t ɔ r ɔ
ꦏꦼꦠꦶꦩ꧀ꦧꦁ	k ə t ɪ m b a ŋ
ꦏꦼꦠꦼꦩꦸ	k ə t ə m u
ꦏꦼꦤ	k ə n ɔ
ꦏꦼꦤ꧀ꦛꦁ	k ə n ʈ a ŋ
ꦏꦼꦤ꧀ꦝꦭꦶ	k ə n ɖ a l i
ꦏꦼꦥꦭ	k ə p ɔ l ɔ
ꦏꦼꦥꦸꦠꦿꦺꦤ꧀	k ə p u t r ɛ n
ꦏꦼꦧꦏ꧀	k ə b a k
ꦏꦼꦧꦪꦏ꧀	k ə b a j a k
ꦏꦼꦩ꧀ꦧꦁ	k ə m b a ŋ
