あ	a̠
ああ	a̠ː
ああいう	a̠ː i ɯ̟ᵝ
あい	a̠ i
あいいれない	a̠ i i ɾ e̞ n a̠ i
あいいれる	a̠ i i ɾ e̞ ɾ ɯ̟ᵝ
あいいろ	a̠ iː ɾ o̞
あいえき	a̠ i e̞ kʲ i
あいえんきえん	a̠ i ẽ̞ ŋʲ kʲ i ẽ̞ ɴ
あいか	a̠ i k a̠
あいかけ	a̠ i k a̠ k e̞
あいかた	a̠ i k a̠ t a̠
あいかわ	a̠ i k a̠ ɰᵝ a̠
あいかん	a̠ i k ã̠ ɴ
あいき	a̠ i kʲ i
あいきょう	a̠ i kʲ o̞ː
あいくおう	a̠ i k ɯ̟ᵝ o̞ː
あいくち	a̠ i k ɯ̟̊ᵝ t͡ɕ i
あいくるしい	a̠ i k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
あいけん	a̠ i k ẽ̞ ɴ
あいこ	a̠ i k o̞
あいこう	a̠ i k o̞ː
あいこうか	a̠ i k o̞ː k a̠
あいこく	a̠ i k o̞ k ɯ̟ᵝ
あいこくしゃ	a̠ i k o̞ k ɯ̟ᵝ ɕ a̠
あいこくしん	a̠ i k o̞ k ɯ̟ᵝ ɕ ĩ ɴ
あいこっか	a̠ i k o̞ k̚ k a̠
あいさい	a̠ i s a̠ i
あいさつ	a̠ i s a̠ t͡s ɨᵝ
あいしあう	a̠ i ɕ i a̠ ɯ̟ᵝ
あいしている	a̠ i ɕ i̥ t e̞ i ɾ ɯ̟ᵝ
あいしゃ	a̠ i ɕ a̠
あいしゃせいしん	a̠ i ɕ a̠ s e̞ː ɕ ĩ ɴ
あいしゅう	a̠ i ɕ ɨᵝː
あいしょう	a̠ i ɕ o̞ː
あいしょうか	a̠ i ɕ o̞ː k a̠
あいしんかくら	a̠ i ɕ ĩ ŋ k a̠ k ɯ̟ᵝ ɾ a̠
あいす	a̠ i s ɨᵝ
あいする	a̠ i s ɨᵝ ɾ ɯ̟ᵝ
あいせき	a̠ i s e̞ kʲ i
あいそ	a̠ i s o̞
あいた	a̠ i t a̠
あいたい	a̠ i t a̠ i
あいち	a̠ i t͡ɕ i
あいちけん	a̠ i t͡ɕ i k ẽ̞ ɴ
あいちょう	a̠ i t͡ɕ o̞ː
あいつ	a̠ i t͡s ɨᵝ
あいつう	a̠ i t͡s ɨᵝː
あいつら	a̠ i t͡s ɨᵝ ɾ a̠
あいて	a̠ i t e̞
あいな	a̠ i n a̠
あいにく	a̠ i ɲ̟ i k ɯ̟ᵝ
あいのこ	a̠ i n o̞ k o̞
あいのて	a̠ i n o̞ t e̞
あいふく	a̠ i ɸ ɯ̟ᵝ k ɯ̟ᵝ
あいま	a̠ i m a̠
あいまい	a̠ i m a̠ i
あいまいもこ	a̠ i m a̠ i m o̞ k o̞
あいまって	a̠ i m a̠ t̚ t e̞
あいや	a̠ i j a̠
あいよ	a̠ i j o̞
あいよう	a̠ i j o̞ː
あいよめ	a̠ i j o̞ m e̞
あいらく	a̠ i ɾ a̠ k ɯ̟ᵝ
あう	a̠ ɯ̟ᵝ
あうん	a̠ ɯ̟̃ᵝ ɴ
あうんのこきゅう	a̠ ɯ̟̃ᵝ n n o̞ k o̞ kʲ ɨᵝː
あえて	a̠ e̞ t e̞
あえる	a̠ e̞ ɾ ɯ̟ᵝ
あえん	a̠ ẽ̞ ɴ
あお	a̠ o̞
あおい	a̠ o̞ i
あおいきといき	a̠ o̞ i kʲ i t o̞ i kʲ i
あおいろ	a̠ o̞ i ɾ o̞
あおうめ	a̠ o̞ ɯ̟ᵝ m e̞
あおかん	a̠ o̞ k ã̠ ɴ
あおき	a̠ o̞ kʲ i
あおぎり	a̠ o̞ ɡʲ i ɾʲ i
あおくさい	a̠ o̞ k ɯ̟ᵝ s a̠ i
あおさ	a̠ o̞ s a̠
あおし	a̠ o̞ ɕ i
あおせん	a̠ o̞ s ẽ̞ ɴ
あおた	a̠ o̞ t a̠
あおな	a̠ o̞ n a̠
あおむけ	a̠ o̞ m ɯ̟ᵝ k e̞
あおめ	a̠ o̞ m e̞
あおもの	a̠ o̞ m o̞ n o̞
あおもり	a̠ o̞ m o̞ ɾʲ i
あおもりけん	a̠ o̞ m o̞ ɾʲ i k ẽ̞ ɴ
あおる	a̠ o̞ ɾ ɯ̟ᵝ
あおんそく	a̠ õ̞ ɰ̃ s o̞ k ɯ̟ᵝ
あか	a̠ k a̠
あかい	a̠ k a̠ i
あかし	a̠ k a̠ ɕ i
あかしか	a̠ k a̠ ɕ i̥ k a̠
あかす	a̠ k a̠ s ɨᵝ
あかせ	a̠ k a̠ s e̞
あかせん	a̠ k a̠ s ẽ̞ ɴ
あかたては	a̠ k a̠ t a̠ t e̞ h a̠
あかちゃける	a̠ k a̠ t͡ɕ a̠ k e̞ ɾ ɯ̟ᵝ
あかちゃん	a̠ k a̠ t͡ɕ ã̠ ɴ
あかちょうちん	a̠ k a̠ t͡ɕ o̞ː t͡ɕ ĩ ɴ
あかつき	a̠ k a̠ t͡s ɨ̥ᵝ kʲ i
あかつめくさ	a̠ k a̠ t͡s ɨᵝ m e̞ k ɯ̟̊ᵝ s a̠
あかてん	a̠ k a̠ t ẽ̞ ɴ
あかなす	a̠ k a̠ n a̠ s ɨᵝ
あかぬけ	a̠ k a̠ n ɯ̟ᵝ k e̞
あかぬける	a̠ k a̠ n ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
あかね	a̠ k a̠ n e̞
あかねいろ	a̠ k a̠ n e̞ i ɾ o̞
あかねさす	a̠ k a̠ n e̞ s a̠ s ɨᵝ
あかのたにん	a̠ k a̠ n o̞ t a̠ ɲ̟ ĩ ɴ
あかはい	a̠ k a̠ h a̠ i
あかはた	a̠ k a̠ h a̠ t a̠
あかはな	a̠ k a̠ h a̠ n a̠
あかはら	a̠ k a̠ h a̠ ɾ a̠
あかはらいもり	a̠ k a̠ h a̠ ɾ a̠ i m o̞ ɾʲ i
あかまつ	a̠ k a̠ m a̠ t͡s ɨᵝ
あかみ	a̠ k a̠ mʲ i
あかむし	a̠ k a̠ m ɯ̟ᵝ ɕ i
あかむつ	a̠ k a̠ m ɯ̟ᵝ t͡s ɨᵝ
あかめ	a̠ k a̠ m e̞
あからさま	a̠ k a̠ ɾ a̠ s a̠ m a̠
あからむ	a̠ k a̠ ɾ a̠ m ɯ̟ᵝ
あからめる	a̠ k a̠ ɾ a̠ m e̞ ɾ ɯ̟ᵝ
あかり	a̠ k a̠ ɾʲ i
あかるい	a̠ k a̠ ɾ ɯ̟ᵝ i
あかるむ	a̠ k a̠ ɾ ɯ̟ᵝ m ɯ̟ᵝ
あかん	a̠ k ã̠ ɴ
あがき	a̠ ɡ a̠ kʲ i
あき	a̠ kʲ i
あきあき	a̠ kʲ i a̠ kʲ i
あきかぜ	a̠ kʲ i k a̠ z e̞
あきかん	a̠ kʲ i k ã̠ ɴ
あきさめ	a̠ kʲ i s a̠ m e̞
あきす	a̠ kʲ i̥ s ɨᵝ
あきすねらい	a̠ kʲ i̥ s ɨᵝ n e̞ ɾ a̠ i
あきた	a̠ kʲ i t a̠
あきたいぬ	a̠ kʲ i̥ t a̠ i n ɯ̟ᵝ
あきたけん	a̠ kʲ i t a̠ k ẽ̞ ɴ
あきち	a̠ kʲ i t͡ɕ i
あきない	a̠ kʲ i n a̠ i
あきなう	a̠ kʲ i n a̠ ɯ̟ᵝ
あきふく	a̠ kʲ i ɸ ɯ̟ᵝ k ɯ̟ᵝ
あきや	a̠ kʲ i j a̠
あきやま	a̠ kʲ i j a̠ m a̠
あきらか	a̠ kʲ i ɾ a̠ k a̠
あきらめる	a̠ kʲ i ɾ a̠ m e̞ ɾ ɯ̟ᵝ
あきる	a̠ kʲ i ɾ ɯ̟ᵝ
あく	a̠ k ɯ̟ᵝ
あくい	a̠ k ɯ̟ᵝ i
あくいんあっか	a̠ k ɯ̟ᵝ ĩ ɰ̃ a̠ k̚ k a̠
あくえいきょう	a̠ k ɯ̟ᵝ e̞ː kʲ o̞ː
あくおち	a̠ k ɯ̟ᵝ o̞ t͡ɕ i
あくしゅ	a̠ k ɯ̟ᵝ ɕ ɨᵝ
あくしゅう	a̠ k ɯ̟̊ᵝ ɕ ɨᵝː
あくしゅかい	a̠ k ɯ̟ᵝ ɕ ɨᵝ k a̠ i
あくしゅけん	a̠ k ɯ̟ᵝ ɕ ɨᵝ k ẽ̞ ɴ
あくしゅみ	a̠ k ɯ̟ᵝ ɕ ɨᵝ mʲ i
あくじき	a̠ k ɯ̟ᵝ ʑ i kʲ i
あくせく	a̠ k ɯ̟ᵝ s e̞ k ɯ̟ᵝ
あくせん	a̠ k ɯ̟̊ᵝ s ẽ̞ ɴ
あくた	a̠ k ɯ̟ᵝ t a̠
あくたい	a̠ k ɯ̟ᵝ t a̠ i
あくとう	a̠ k ɯ̟ᵝ t o̞ː
あくとく	a̠ k ɯ̟̊ᵝ t o̞ k ɯ̟ᵝ
あくひつ	a̠ k ɯ̟ᵝ ç i t͡s ɨᵝ
あくへき	a̠ k ɯ̟ᵝ h e̞ kʲ i
あくま	a̠ k ɯ̟ᵝ m a̠
あくむ	a̠ k ɯ̟ᵝ m ɯ̟ᵝ
あくめ	a̠ k ɯ̟ᵝ m e̞
あくもん	a̠ k ɯ̟ᵝ m õ̞ ɴ
あくやく	a̠ k ɯ̟ᵝ j a̠ k ɯ̟ᵝ
あくゆう	a̠ k ɯ̟ᵝ j ɯ̟ᵝː
あくらつ	a̠ k ɯ̟ᵝ ɾ a̠ t͡s ɨᵝ
あくりょう	a̠ k ɯ̟ᵝ ɾʲ o̞ː
