ؠ	t aː l ɨ rʲ
ؠ	ʲ
ؠ	ʲa
آ	aː
آ	m a d
آب	aː b
آزاد	aː z aː d
آسُن	aː s u n
آشَنؠ	aː ʃ a nʲ
آشێنؠ	aː ʃ e nʲ
آلَو	aː l a ʋ
آوٕسُن	ɑː ʋ ɨ s u n
آپراوُن	aː p r aː ʋ u n
آگُر	aː ɡ u ɾ
أ	a m aː l ɨ
أ	ə
أسؠ	ə sʲ
أہرُن	ə h ɾ u n
ؤری	v ə r iː
ؤری	w ə r iː
ؤٹِل	w ə ʈ i l
إ	s aː j i
إ	ɨ
ا	a
ا	aː
ا	äː
ا	ɑː
ا	ə
ا	ə l i f
ا	∅
او	oː
او	w aː w u k
اوش	oː ʃ
اوٗ	uː
اَ	a
اَ	z a b a r
اَبساوُن	a b s aː w u n
اَبسُن	a b s u n
اَبۆد	a b o d
اَتھٕ	a tʰ ɨ
اَرزُن	a ɾ z u n
اَرژَن	a ɾ t͡s a n
اَرژُن	a ɾ t͡s u n
اَز	a z
اَز	ʌ z
اَزماوُن	a z m aː w u n
اَماپۆز	a m aː p o z
اَمب	a m b
اَنٛگریٖزؠ	a ŋ ɡ r iː zʲ
اَنٛگریٖزؠ	ã ɡ r iː zʲ
اَنٛگریٖزی	a ŋ ɡ r iː z iː
اَنٛگریٖزی	ã ɡ r iː z iː
اَپُز	a p u z
اَپۆز	a p o z
اَچھُر	a t͡ʃʰ u r
اَڈُن	a ɖ u n
اَکھ	a kʰ
اَہلُن	a h l u n
اُ	p eː ʃ
اُ	u
اُردوٗ	u r d uː
اِ	i
اِ	z eː r
اِدرار	i d r ɑː r
اِنسان	i n s aː n
اِنڈِیا	i n ɖ i j aː
اٟ	ɨː
اۄ	ɔ
اۄا	ɔː
اۆ	o
اۆبُر	o b u r
ای	iː
ایٖمان	iː m aː n
اے	eː
اےٚ	e
ب	b
ب	b eː
بادام	b aː d aː m
بادَم	b aː d a m
باوُت	b ɑː w u t
بوزُن	b oː z u n
بوم	b oː m
بوے	b oː j
بَرتھا	b a r tʰ aː
بَلُن	b a l u n
بَہ	b a h
بِہٲرؠ	b i h əː rʲ
بھارَت	bʰ aː r a t
بہَ	b a
بہٕ	b ɨ
بۄ	b ɔ
بیٚنہِ	b e n i
ت	t
ت	t eː
ترَٛٹھ	t r a ʈʰ
ترٕٛے	t r ɨ j
ترٛےٚ	t r e
تَتُن	t a t u n
تَرُن	t a r u n
تَگُن	t a ɡ u n
تٕژھ	t̪ ɨ t͡sʰ
تٟر	t ɨː r
تھ	tʰ
تھ	tʰ a
تھۄکھ	tʰ ɔ kʰ
تۄژھ	t ɔ t͡sʰ
تۆت	t o t
ث	s
ث	s eː
ج	d͡ʒ
ج	d͡ʒ iː m
جۆنوٗب	d͡ʒ o n uː b
ح	h
ح	h a j
خ	kʰ
خ	kʰ a j
خ	x
خاوَنٛد	kʰ aː w a n d
خَلٕق	kʰ a l ɨ k
خَلٕق	x a l ɨ q
د	d
د	d aː l
داتھ	d aː tʰ
دارؠل	d aː rʲ a l
دارُن	d aː r u n
دانٛد	d ãː d
داہ	d aː h
دود	d̪ oː d̪
دَروازٕ	d a r v aː z ɨ
دَروازٕ	d a r w aː z ɨ
دَنٛد	d ã n d
دَکھیُٛن	d a kʰ j u n
دُمتوٗلؠ	d u m t uː l iː
دُکان	d u k aː n
دُکاندار	d u k aː n d aː r
دٔے	d ə j
دٲر	d əː r
دۄد	d ɔ d
دۄہ	d ɔ h
دید	d e d
دێد	d e d
ذ	z
ذ	z aː l
ر	r
ر	r eː
روٗد	r uː d
روٗن	r uː n
روٗگ	ɾ uː ɡ
رَب	ɾ a b
رَتھ	ɾ a t̪ʰ
رَژٕوٲنؠ	r a t͡s ɨ w əː nʲ
رِوُن	r i w u n
رٔنؠ	r ə nʲ
رٲچھ	ɾ əː t͡ʃʰ
ریشَل	r eː ʃ a l
ز	z
ز	z eː
زؠو	zʲ a w
زال	z ɑː l
زالُن	z ɑː l u n
زامتُر	z aː m t u r
زامَن	z ɑː m a n
زان	z ɑː n
زانُن	z ɑː n u n
زاگلُن	z ɑː ɡ l u n
زَبان	z a b aː n
زَرُن	z a ɾ u n
زَل	z a l
زَنان	z a n aː n
زَنٛگ	z ã ɡ
زُر	z u r
زُو	z u ʋ
زُوُن	z u w u n
زٔنؠ	z ə nʲ
زٕ	z ɨ
زۆنٛگ	z õ ɡ
زیٖوَن	z iː ʋ a n
س	s
س	s iː n
ساوُن	s aː ʋ u n
سَبٕز	s a b ɨ z
سَتھ	s a tʰ
سَر	s a ɾ
سَرُپھ	s a r u pʰ
سَپدُن	s a p a d u n
سَپدُن	s a p d u n
سِریٖنَگَر	s i r iː n a ɡ a r
سِیاسَتھ	s i j aː s a tʰ
سۄنیٚنؠ	s ɔ n e nʲ
سۆنؠ	s o nʲ
ش	ʃ
ش	ʃ iː n
شال	ʃ aː l
شوگہٕ	ʃ oː ɡ ɨ
شُر	ʃ u r
شُمال	ʃ u m aː l
شُپ	ʃ u p
شٲج	ʃ əː d͡ʒ
شیر	ʃ eː r
شےٚ	ʃ e
ص	s
ص	s ɔː d
صِفَر	s i f a r
ض	z
ض	z ɔː d
ط	t
ط	t ɔ j
ظ	z
ظ	z ɔ j
ع	əː n
غ	ɡ
غ	ɡ əː n
ـاَل	a l
ـاُل	u l
ف	f
ف	f eː
ف	pʰ
ق	q
ق	q aː f
ل	l
ل	l aː m
لؠو	lʲ a w
لؠوان	lʲ a v aː n
لؠوان	lʲ a w aː n
م	m
م	m iː m
ماس	m aː s
مامَنؠ	m aː m a nʲ
مول	m oː l
مَرُن	m a r u n
مَشرِق	m a ʃ r i k
مَغرِب	m a ɡ r i b
مَنٛزٕ	m a n z ɨ
مٕتھٕر	m ɨ tʰ ɨ r
مٲدان	m əː d aː n
مۄنڈُ	m ɔ n ɖ u
ن	n
ن	n uː n
ن	◌̃
ناو	n ɑː ʋ
ناوُت	n ɑː w u t
ناوٕتؠ	n ɑː w ɨ tʲ
نَب	n a b
نَتہٕ	n a t ɨ
نَشُن	n a ʃ u n
نَنُن	n a n u n
نَو	n a v
نَو	n a w
نَو	n a ʋ
نۄش	n ɔ ʃ
و	oː
و	w
و	w aː w
واتُن	ʋ aː t u n
وان	w aː n
