Topẽ	t o p ɛ̃
ag	a ŋ
arig	a ɾ i ŋ
aronh	a ɹ o ɟ
asuka	a ç u k a
asuka	a ʃ u k a
asĩg	a ʃ ĩ ŋ
e	e
fág	ɸ ʌ ŋ
fỹ	ɸ ʌ̃
ga	ⁿɡ a
goj	ᵑɡ o j o
gãr	ŋ ã ɾ
han	h a n
inh	ʔ i ɟⁿ
japỹ	j a p ʌ̃
jyryryn	j ɨ ɾ ɨ ɾ ɨ n
jã	j ã
jãfa	j ã ɸ a
jãnjãn	j̃ ã n j̃ ã n
jãsur	j ã ʃ u ɾ
jókaka	j ɔ k a k a
jẽngrẽ	j ẽ n ŋ ɾ ẽ
jẽnjẽn	j æ̃ n j æ̃ n
jẽnky	j ẽ n k ɨ
kagma	k a ŋ m a
kajãm	k a j ã m
kanhgág	k a ɲ ŋ ʌ ŋ
kanhkã	k a ɲ k ã
kar	k a ɾ
kasor	k a ʃ o ɾ o
kavéj	k a w ɛ j
krãn	k ɾ ã n
krĩ	k r ĩ
kujá	k u j ʌ
kukre	k u k ɾ e
kuprĩg	k u p ɹ̃ ĩ ŋ
kurã	k u ɾ ɔ̃
kusũg	k u ʃ ũ ŋ
kuty	k u t ɨ
kyfe	k ɨ ɸ e
kygpãn	k ɨ ŋ p ã n
kysã	k ɨ ʃ ã
kãme	k ã m e
kãpó	k ã p ɔ
kãtére	k ã t ɛ ɾ e
kãvãru	k ã w ã ɾ u
kófa	k ɔ ɸ a
kógũnh	k ɔ ŋ ũ ɲ
kósin	k ɔ ʃ i n
kỹ	k ʌ̃
monh	m o ɲ
mrir	m ɾ i ɾ
mré	m ɾ ɛ
mág	m ʌ ŋ
mĩg	m ĩ ŋ
mỹr	m ỹ r
nhinsu	ɲ i n ʃ u
nénh	n ɛ ɲ
nĩ	n ĩ
nĩgja	n ĩ ŋ j a
nĩgpe	n ĩ ŋ p e
nĩgrẽg	n ĩ ŋ ɾ ẽ ŋ
nĩka	n ĩ k a
nũnẽ	n ũ n ẽ
panh	p a ɲ
pepo	p ɪ p o
pra	p ɾ a
prẽr	p ɾ ẽ ɾ
prỹg	p ɾ ʌ̃ ŋ
pãgfénh	p ã k ɸ ɛ ɟ ɲ
pén'ó	p ɛ n ʔ ɔ
pó	p ɔ
pũn	p ũ n
pỹn	p ʌ̃ n
rá	ɾ ʌ
rán	ɾ ʌ n
rãnhrãj	ɾ ã ɲ ɾ ã j
régre	ɾ ɛ ŋ ɾ e
rỹ	ɾ ʌ̃
sun	ʃ u d n
sãn	ʃ ã n
sĩnvĩ	ʃ ĩ n w ĩ
sẽsĩ	ʃ ɛ̃ ʃ ĩ
tuga	t u ŋ a
tugnỹgnỹm	t u ŋ n ʌ̃ ŋ n ʌ̃ m
tugnỹm	t u ŋ n ʌ̃ m
tá	t ʌ
tĩg	t ĩ ɡ
vyj	w ɨ j
vãsãn	w ã ʃ ã n
vãsãnsãn	w ã ʃ ã n ʃ ã n
vĩ	w ĩ
vĩjũ	w ĩ j ũ
vẽjykre	w ɛ̃ j ɨ k ɾ e
vẽjẽn	w ẽ j̃ ẽ n
ãjag	ã j a ɡ
ũri	ũ ɾ i
ẽg	ʔ ẽ ŋ
ẽgje	æ̃ ŋ j e
ẽkré	ɛ̃ k ɹ ɛ
ẽkrénh	ẽ k ɾ ɛ ɲ
ẽmã	ẽ m ã
ẽprã	ẽ p ɾ ã
ẽvã	æ̃ w ã
Ỹ	ʌ̃
ỹ	ʌ̃
