Jǖmīe	t ʃ ə ³ ³ m ɪ ɛ ³ ³
Khiamniungan	kʰ i ɑ m ³ ³ ɲ u ⁵ ⁵ ŋ n ⁵ ⁵
Khāutsāusîe	kʰ a u ³ ³ t s a u ³ ³ s i ɛ ⁵ ²
Khǖnû	kʰ ə ³ ³ n u ⁵ ²
Lāngnyū	l ɑ ŋ ³ ³ ɲ u ³ ³
Patsho	p ɑ ³ ³ t sʰ ɒ ⁵ ⁵
Tsōukūm	t s o u ³ ³ k u m ³ ³
chà	t ʃʰ a ³ ¹
chài	t ʃʰ a i ³ ¹
chá	t ʃʰ a ⁵ ⁵
chìu	t ʃʰ i ʊ ³ ¹
chíe	t ʃʰ ɪ ɛ ⁵ ⁵
chāh	t ʃʰ a ʔ ³ ³
chāi	t ʃʰ a i ³ ³
chāithíu	t ʃʰ a i ³ ³ tʰ ɪ u ⁵ ⁵
chāmshāh	t ʃʰ ɑ m ³ ³ sʰ ɑ ʔ ³ ³
chēih	t ʃʰ ɪ ɛ ʔ ³ ³
chǖlám	t ʃʰ ə ³ ³ l ɑ m ⁵ ⁵
eì	e ɪ ³ ¹
hà	h ɑ ³ ¹
hàilìam	h a j ³ ¹ l ɪ ɑ m ³ ¹
hàilūo	h ɑ j ³ ¹ l u ³ ³
hàkǜtī	h a ³ ¹ k ə ³ ¹ t i ³ ³
há	h ɑ ⁵ ⁵
hám	h a m ⁵ ⁵
hèu	h e ʊ ³ ¹
hìeshā	h i ə ³ ¹ sʰ a ³ ³
hóu	h o u ⁵ ⁵
húa	h u ɑ ⁵ ⁵
hāh	h ɑ ʔ ³ ³
hāihói	h ɑ j ³ ³ h ɒ j ⁵ ⁵
hāilōuh	h a j ³ ³ l ɒ u ʔ ³ ³
hāimēi	h ɑ ɪ ³ ³ m ɛ ɪ ³ ³
hīap	h ɪ ɑ p ³ ³
hīe	h i ə ³ ³
hīekhém	h i ə ³ ³ kʰ e m ⁵ ⁵
hīelòuh	h i ə ³ ³ l o u ʔ ³ ¹
hīeshá	h i ə ³ ¹ sʰ a ³ ³
hīeshī	h i ə ³ ³ sʰ i ³ ³
hīeshōng	h i ə ³ ³ sʰ o ŋ ³ ³
hīetēu	h i ə ³ ³ t e u ³ ³
hōk	h ɒ k ³ ³
hūa	h u ɑ ³ ³
hǖhêi	h ə ³ ³ h ɛ̯ i ⁵ ²
jàng	t ʃ a ŋ ³ ¹
jàngkō	t ʃ a ŋ ³ ¹ k ɒ ³ ³
já	t ʃ ɑ ⁵ ⁵
jâm	t ʃ ɑ m ⁵ ²
