Adar	ɑː d ɑː ɾ
Afganî	ɑː f ɡ ɑː n iː
Afxanî	ɑː f x ɑː n iː
Albanya	ɑː l b ɑː n j ɑː
Almanya	ɑː l m ɑː n j ɑː
Amerîka	ɑː m ɛ ɾ iː k ɑː
Aram	ɑː ɾ ɑː m
Ardî	ɑː ɾ d iː
Arjîn	ɑː ɾ ʒ iː n
Armanc	ɑː ɾ m ɑː n d͡ʒ
Arêz	ɑː ɾ eː z
Asya	ɑː s j ɑː
Avdar	ɑː v d ɑː ɾ
Awaz	ɑː w ɑː z
Awistralya	ɑː w ɪ s t ɾ ɑː l j ɑː
Azad	ɑː z ɑː d
Badîn	b ɑː d iː n
Bager	b ɑː ɡ ɛ ɾ
Bahoz	b ɑː h oː z
Barnas	b ɑː ɾ n ɑː s
Bawer	b ɑː w ɛ ɾ
Bedirxan	b ɛ d ɪ ɾ x ɑː n
Bengî	b ɛ n ɡ iː
Berfîn	b ɛ ɾ f iː n
Berxwedan	b ɛ ɾ x w ɛ d ɑː n
Berzan	b ɛ ɾ z ɑː n
Bextewar	b ɛ x t ɛ w ɑː ɾ
Biryar	b ɪ ɾ j ɑː ɾ
Bêrîvan	b eː ɾ iː v ɑː n
Delal	d ɛ l ɑː l
Diyar	d ɪ j ɑː ɾ
Dîcle	d iː d͡ʒ l ɛ
Dîno	d iː n oː
Efrîqa	ɛ f ɾ iː q ɑː
Efxanî	ɛ f x ɑː n iː
Efxanî	ɛ f ɣ ɑː n iː
Elmanya	ɛ l m ɑː n j ɑː
Emerîka	ɛ m ɛ ɾ iː k ɑː
Evdê	ɛ v d eː
Evropa	ɛ v ɾ oː p ɑː
Evîn	ɛ v iː n
Ewropa	ɛ w ɾ oː p ɑː
Ewrûpa	ɛ w ɾ uː p ɑː
Fadil	f ɑː d ɪ l
Ferat	f ɛ ɾ ɑː t
Gulistan	ɡ ʊ l ɪ s t ɑː n
Hawa	h ɑː w ɑ
Heleb	h ɛ l ɛ b
Helsinkî	h ɛ l s ɪ n k iː
Hewlêr	h ɛ w l eː ɾ
Hêlîn	h eː l iː n
Jiyan	ʒ ɪ j ɑː n
Kawa	k ɑː w ɑː
Kurdistan	kʰ ʊ ɾ d ɪ s t ɑː n
Kurmancî	k ʊ ɾ m ɑː n d͡ʒ iː
Lezgîn	l ɛ z ɡ iː n
Mêrxas	m eː ɾ x ɑː s
Rastî	r ɑː s t iː
Rizgar	r ɪ z ɡ ɑː ɾ
Rojda	r oː ʒ d ɑː
Rojîn	r oː ʒ iː n
Ronî	r oː n iː
Rênas	r eː n ɑː s
Rêzan	r eː z ɑː n
Sarya	s ɑː ɾ j ɑː
Simko	s ɪ m k oː
Siyabend	s ɪ j ɑː b ɛ n d
Soro	s oː ɾ oː
Stembol	s t ɛ m b oː l
Sûriya	s uː ɾ ɪ j ɑː
Sûriye	s uː ɾ ɪ j ɛ
Xeter	x ɛ t ɛ ɾ
Xezal	x ɛ z ɑː l
Xwedê	xʷ ɛ d eː
Yewnanistan	j ɛ w n ɑː n ɪ s t ɑː n
Yonanistan	j oː n ɑː n ɪ s t ɑː n
Zanyar	z ɑː n j ɑː ɾ
Zelal	z ɛ l ɑː l
Zozan	z oː z ɑː n
abdestxane	ɑː b d ɛ s t x ɑː n ɛ
abid	ɑː b ɪ d
abone	ɑː b oː n ɛ
aborî	ɑː b oː ɾ iː
aborînas	ɑː b oː ɾ iː n ɑː s
aborînasî	ɑː b oː ɾ iː n ɑː s iː
abring	ɑː b ɾ ɪ ŋ ɡ
abrîng	ɑː b ɾ iː ŋ ɡ
absans	ɑː b s ɑː n s
acer	ɑː d͡ʒ ɛ ɾ
aciz	ɑː d͡ʒ ɪ z
aciz	ʕ ɑː d͡ʒ ɪ z
acizayî	ɑː d͡ʒ ɪ z ɑː j iː
acizayî	ʕ ɑː d͡ʒ ɪ z ɑː j iː
acizî	ɑː d͡ʒ ɪ z iː
acûr	ɑː d͡ʒ uː ɾ
ada	ɑː d ɑː
adaptasyon	ɑː d ɑː p t ɑː s j oː n
ade	ɑː d ɛ
adet	ɑː d ɛ t
adet	ʕ ɑː d ɛ t
adilî	ɑː d ɪ l iː
adir	ɑː d ɪ ɾ
adodik	ɑː d oː d ɪ k
adrenalîn	ɑː d ɾ ɛ n ɑː l iː n
adu	ɑː d ʊ
aduda	ɑː d ʊ d ɑː
adûde	ɑː d uː d ɛ
aferandin	ɑː f ɛ ɾ ɑː n d ɪ n
afir	ɑː f ɪ r
afir	ɑː f ɪ ɾ
afirand	ɑː f ɪ ɾ ɑː n d
afirandibe	ɑː f ɪ ɾ ɑː n d ɪ b ɛ
afirandibim	ɑː f ɪ ɾ ɑː n d ɪ b ɪ m
afirandibin	ɑː f ɪ ɾ ɑː n d ɪ b ɪ n
afirandibî	ɑː f ɪ ɾ ɑː n d ɪ b iː
afirandibû	ɑː f ɪ ɾ ɑː n d ɪ b uː
afirandibûya	ɑː f ɪ ɾ ɑː n d ɪ b uː j ɑː
afirandibûye	ɑː f ɪ ɾ ɑː n d ɪ b uː j ɛ
afirandin	ɑː f ɪ ɾ ɑː n d ɪ n
afirandiye	ɑː f ɪ ɾ ɑː n d ɪ j ɛ
afirmend	ɑː f ɪ ɾ m ɛ n d
afirîner	ɑː f ɪ ɾ iː n ɛ ɾ
afret	ɑː f ɾ ɛ t
afrîkansî	ɑː f ɾ iː k ɑː n s iː
afrîkayî	ɑː f ɾ iː k ɑː j iː
afrîkî	ɑː f ɾ iː k iː
afrîqeyî	ɑː f ɾ iː q ɛ j iː
afsûn	ɑː f s uː n
afû	ɑː f uː
aga	ɑː ɡ ɑː
agadar	ɑː ɡ ɑː d ɑː ɾ
agadarî	ɑː ɡ ɑː d ɑː ɾ iː
agah	ɑː ɡ ɑː h
agahdar	ɑː ɡ ɑː h d ɑː ɾ
agahdarî	ɑː ɡ ɑː h d ɑː ɾ iː
agahî	ɑː ɡ ɑː h iː
ageh	ɑː ɡ ɛ h
agehdar	ɑː ɡ ɛ h d ɑː ɾ
agehdarî	ɑː ɡ ɛ h d ɑː ɾ iː
agir	ɑː ɡ ɪ ɾ
agirbazî	ɑː ɡ ɪ ɾ b ɑː z iː
agirbest	ɑː ɡ ɪ ɾ b ɛ s t
agirkuj	ɑː ɡ ɪ ɾ k ʊ ʒ
agirparêz	ɑː ɡ ɪ ɾ p ɑː ɾ eː z
agirparêzî	ɑː ɡ ɪ ɾ p ɑː ɾ eː z iː
agirperes	ɑː ɡ ɪ ɾ p ɛ ɾ ɛ s
agirperest	ɑː ɡ ɪ ɾ p ɛ ɾ ɛ s t
agirperestî	ɑː ɡ ɪ ɾ p ɛ ɾ ɛ s t iː
agirperesî	ɑː ɡ ɪ ɾ p ɛ ɾ ɛ s iː
agirperist	ɑː ɡ ɪ ɾ p ɛ ɾ ɪ s t
agonîzm	ɑː ɡ oː n iː z m
aheng	ɑː h ɛ ŋ ɡ
ahengsazî	ɑː h ɛ ŋ ɡ s ɑː z iː
ahûzarî	ɑː h uː z ɑː ɾ iː
aj	ɑː ʒ
ajalnasî	ɑː ʒ ɑː l n ɑː s iː
ajanda	ɑː ʒ ɑː n d ɑː
ajans	ɑː ʒ ɑː n s
ajnaberî	ɑː ʒ n ɑː b ɛ ɾ iː
ajne	ɑː ʒ n ɛ
ajnê	ɑː ʒ n eː
ajo	ɑː ʒ oː
ajok	ɑː ʒ oː k
ajokar	ɑː ʒ oː k ɑː ɾ
ajoname	ɑː ʒ oː n ɑː m ɛ
ajotin	ɑː ʒ oː t ɪ n
ajotvan	ɑː ʒ oː t v ɑː n
ajovan	ɑː ʒ oː v ɑː n
akincî	ɑː k ɪ n d͡ʒ iː
akoşke	ɑː k oː ʃ k ɛ
akronîm	ɑː k ɾ oː n iː m
