Hospodi	h o s p o dʲ i
Hospoti	h o s p o tʲ i
Kannanlakši	k ɑ nː ɑ n l ɑ k ʃ i
Ruočči	r u o̯ t͡ʃː i
aakkua	ɑː kː u ɑ̯
abie	ɑ b i e̯
abu	ɑ b u
abuiäni	ɑ b u i æ̯ nʲ i
adivo	ɑ dʲ i ʋ o
adra	ɑ d r ɑ
ahaš	ɑ h ɑ ʃ
ahašhengine	ɑ h ɑ ʒ h e ŋ ɡ i nʲ e
ahašhenkini	ɑ h ɑ ʃ h e ŋ k i nʲ i
ahe	ɑ h e
ahingo	ɑ h i ŋ ɡ o
ahinko	ɑ h i ŋ k o
ahjo	ɑ h j o
ahkera	ɑ h k e r ɑ
ahkivo	ɑ h k i ʋ o
ahku	ɑ h k u
ahmo	ɑ h m o
ahtivo	ɑ h tʲ i ʋ o
aida	ɑ i̯ d ɑ
aiga	ɑ i̯ ɡ ɑ
aika	ɑ i̯ k ɑ
ainoš	ɑ i̯ n o ʃ
airo	ɑ i̯ r o
aita	ɑ i̯ t ɑ
aitta	ɑ i̯ tː ɑ
aivot	ɑ i̯ ʋ o t
ajelupualikka	ɑ j e l u p u ɑ̯ lʲ i kː ɑ
ajelušpualikka	ɑ j e l u ʃ p u ɑ̯ lʲ i kː ɑ
akka	ɑ kː ɑ
akottuo	ɑ k o tː u o̯
alah	ɑ l ɑ h
allaviivata	ɑ lː ɑ ʋ iː ʋ ɑ t ɑ
allaš	ɑ lː ɑ ʃ
aloveh	ɑ l o ʋ e h
alovehellini	ɑ lː o ʋ e h e lʲ lʲ i nʲ i
altina	ɑ l tʲ i n ɑ
ammatillini	ɑ mː ɑ tʲ i lʲː i nʲ i
andilaš	ɑ n d i l ɑ ʃ
anoppi	ɑ n o pː i
anteliekaš	ɑ n t e l i e̯ k ɑ ʃ
antilaš	ɑ n t i l ɑ ʃ
apie	ɑ p i e̯
appi	ɑ pː i
appiukko	ɑ pː i u kː o
apu	ɑ p u
arhelei	ɑ r h e lʲ e i̯
armahuš	ɑ r m ɑ h u ʃ
armaš	ɑ r m ɑ ʃ
armo	ɑ r m o
arvata	ɑ r ʋ ɑ t ɑ
arvo	ɑ r ʋ o
ativo	ɑ tʲ i ʋ o
atra	ɑ t r ɑ
augusta	ɑ u̯ ɡ u s t ɑ
auli	ɑ u̯ lʲ i
autobušši	ɑ u̯ t o b u ʃː i
avata	ɑ ʋ ɑ t ɑ
avtobussa	ɑ ʋ t o b u sː ɑ
aševelvollini	ɑ ʃ e ʋ e l ʋ o lʲː i nʲ i
