Abae	a b a e̯
Abale	a b a ɫ eː
Aballava	a b a l l a w a
Aballavā	a b a l l a w aː
Abalē	a b a ɫ eː
Abalī	a b a l iː
Abantiadēs	a b a n t i a d eː s
Abantias	a b a n t i a s
Abas	a b a s
Abascī	a b a s k iː
Abasgī	a b a s ɡ iː
Abdēre	a b d eː r ɛ
Abdērum	a b d eː r ũː
Abdērī	a b d eː r iː
Abdērītēs	a b d eː r iː t eː s
Abdērō	a b d eː r oː
Abessālōn	a b ɛ s s aː ɫ oː n
Abia	a b i a
Abiā	a b i aː
Abrāhāmus	a b r aː aː m ʊ s
Abrāhāmus	a b r aː ɦ aː m ʊ s
Abrōnium	a b r oː n i ũː
Abrōniī	a b r oː n i iː
Abrōniīs	a b r oː n i iː s
Abrōniō	a b r oː n i oː
Abrōniōrum	a b r oː n i oː r ũː
Abrōniōs	a b r oː n i oː s
Abula	a b ʊ ɫ a
Abundantius	a b ʊ n d a n t i ʊ s
Abæsamis	a b a e̯ s a m ɪ s
Abās	a b aː s
Abīa	a b iː a
Acadia	a k a d i a
Acadia	a k a d i aː
Acciō	a k k i oː
Accōne	a k k oː n ɛ
Accōnem	a k k oː n ẽː
Accōnis	a k k oː n ɪ s
Accōnī	a k k oː n iː
Acestēs	a k ɛ s t eː s
Achelōe	a kʰ ɛ ɫ oː ɛ
Acheronte	a kʰ ɛ r ɔ n t ɛ
Acherunta	a kʰ ɛ r ʊ n t a
Achille	a kʰ ɪ l l ɛ
Achillem	a kʰ ɪ l l ẽː
Achillis	a kʰ ɪ l l ɪ s
Achillī	a kʰ ɪ l l iː
Achāiae	a kʰ aː i a e̯
Achāiae	a kʰ aː j a e̯
Achāiam	a kʰ aː i ãː
Achāiam	a kʰ aː j ãː
Acidīne	a k ɪ d iː n ɛ
Acidīnum	a k ɪ d iː n ũː
Acidīnī	a k ɪ d iː n iː
Acidīnō	a k ɪ d iː n oː
Actaeus	a k t a e̯ ʊ s
Acīdalia	a k iː d a l i a
Acīdaliae	a k iː d a l i a e̯
Addua	a d d u a
Adelardus	a d ɛ ɫ a r d ʊ s
Adhelina	a d ɛ l ɪ n a
Adriāna	a d r i aː n a
Adriānae	a d r i aː n a e̯
Adriānam	a d r i aː n ãː
Adriāne	a d r i aː n ɛ
Adriānum	a d r i aː n ũː
Adriānus	a d r i aː n ʊ s
Adriānārum	a d r i aː n aː r ũː
Adriānās	a d r i aː n aː s
Adriānī	a d r i aː n iː
Adriānīs	a d r i aː n iː s
Adriānō	a d r i aː n oː
Adriānōrum	a d r i aː n oː r ũː
Adriānōs	a d r i aː n oː s
Adua	a d u a
Aeaea	a e̯ a e̯ a
Aeaea	a e̯ a e̯ aː
Aeaeae	a e̯ a e̯ a e̯
Aeaeam	a e̯ a e̯ ãː
Aeaeā	a e̯ a e̯ aː
Aebūtium	a e̯ b uː t i ũː
Aeduus	a e̯ d u ʊ s
Aegisthe	a e̯ ɡ ɪ s tʰ ɛ
Aegisthō	a e̯ ɡ ɪ s tʰ oː
Aegypte	a e̯ ɡ y p t ɛ
Aegyptum	a e̯ ɡ y p t ũː
Aegyptī	a e̯ ɡ y p t iː
Aegyptō	a e̯ ɡ y p t oː
Aegīnae	a e̯ ɡ iː n a e̯
Aegīnam	a e̯ ɡ iː n ãː
