ab	ɑˀ b
abbõnd	ɑˀ bː ə n d
abbõnz	ɑˀ bː ə n z
abbõrz	ɑˀ bː ə r z
ablatīv	ɑ b l ɑ t iː v
abli	ɑˀ b l i
addõrz	ɑˀ dː ə r z
adesīv	ɑ d e s iː v
agā	ɑ ɡ ɑː
agānd	ɑ ɡ ɑː n d
aig	ɑ i ɡ
aigā	ɑ i ɡ ɑː
aigāmōlõ	ɑ i ɡ ɑː m ɒː l ə
aigi	ɑˀ i ɡ i
aigi	ɑ i ɡ i
aigõ	ɑ i ɡ ə
aigõ	ɑˀ i ɡ ə
ailõ	ɑˀ i l ə
aim	ɑ i m
aițumāl	ɑ i c u m ɑː l
aițumāl	ɑ i c u m ɑː l
ajjõ	ɑˀ jː ə
akkiji	ɑ kː i j i
akkõ	ɑ kː ə
aktsent	ɑ k t s e n t
alā	ɑ l ɑː
alāb	ɑ l ɑː b
alāstli	ɑ l ɑː s t l i
alāstõ	ɑ l ɑː s t ə
aldõst	ɑ l d ə s t
alfabēt	ɑ l f ɑ b eː t
alg	ɑ l ɡ
algid	ɑ l ɡ i d
algõ	ɑ l ɡ ə
algõd	ɑ l ɡ ə d
algõm	ɑ l ɡ ə m
alīz	ɑ l iː z
alīztas	ɑ l iː z t ɑ s
allatīv	ɑ lː ɑ t iː v
alli	ɑˀ lː i
allitas	ɑˀ lː i t ɑ s
allõ	ɑ lː ə
almi	ɑˀ l m i
altõ	ɑˀ l t ə
alumīnij	ɑ l u m iː n i j
alz	ɑ l z
aļ	ɑ ʎ
am	ɑˀ m
amā	ɑ m ɑː
amāt	ɑ m ɑː t
amātnikā	ɑ m ɑː t n i k ɑː
Amērik	ɑ m eː r i k
amši	ɑˀ m ʃ i
amūstiz	ɑ m uː s t i z
analīz	ɑ n ɑ l iː z
analōg	ɑ n ɑ l oː ɡ
analōgij	ɑ n ɑ l oː ɡ i j
and	ɑ n d
andõ	ɑ n d ə
ang	ɑ n ɡ
aņgõrz	ɑ ɲ ɡ ə r z
apostrōf	ɑ p o s t r oː f
appāina	ɑ pː ɑː i n ɑ
appõn	ɑ pː ə n
appõnrok	ɑ pː ə n r o k
appõnsēmḑa	ɑ pː ə n s eː m ɟ ɑ
april	ɑ p r i l
aptēk	ɑ p t eː k
ar	ɑˀ r
arābõ	ɑ r ɑː b ə
arāgõz	ɑ r ɑː ɡ ə z
arm	ɑ r m
arrõ	ɑ rː ə
artõ	ɑˀ r t ə
artõ	ɑ r t ə
artõ	ɑˀ r t ə
arū	ɑ r uː
aŗšt	ɑ rʲ ʃ t
aŗštõ	ɑ rʲ ʃ t ə
astām	ɑ s t ɑː m
astõ	ɑ s t ə
aššõ	ɑ ʃː ə
atrāita	ɑ t r ɑː i t ɑ
atrāitanai	ɑ t r ɑː i t ɑ n ɑ i
Austrij	ɑ u s t r i j
azmõl	ɑˀ z m ə l
azūm	ɑ z uː m
azūmnikā	ɑ z uː m n i k ɑː
azūmsõnā	ɑ z uː m s ɯ n ɑː
až	ɑˀ ʒ
ažā	ɑ ʒ ɑː
ažāpū	ɑ ʒ ɑː p uː
ažāsõnā	ɑ ʒ ɑː s ɯ n ɑː
ā	ɑː
āiga	ɑː i ɡ ɑ
āigakēra	ɑː i ɡ ɑ k eː r ɑ
āigal	ɑː i ɡ ɑ l
āigarōntõz	ɑː i ɡ ɑ r ɒː n t ə z
āigast	ɑː i ɡ ɑ s t
āigiņ	ɑː i ɡ i ɲ
āina	ɑː i n ɑ
āinagi	ɑː i n ɑ ɡ i
āinakerk	ɑː i n ɑ k e r k
āinakū	ɑː i n ɑ k uː
āiraz	ɑː i r ɑ z
āita	ɑː i t ɑ
āltar	ɑː l t ɑ r
āļdža	ɑː ʎ d ʒ ɑ
āmbaz	ɑː m b ɑ z
āndõks	ɑː n d ə k s
ānkaŗ	ɑː n k ɑ rʲ
ārga	ɑː r ɡ ɑ
ārmakstõ	ɑː r m ɑ k s t ə
ārmaz	ɑː r m ɑ z
ārmaztõ	ɑː r m ɑ z t ə
ä	æ
äb	æˀ b
äbī	æ b iː
äbjõvā	æˀ b j ɯ v ɑː
äbknaš	æˀ b k n ɑ ʃ
äbõigi	æˀ b ɯ i ɡ i
äbpūdõz	æˀ b p uːˀ d ə z
äbțõ	æˀ b c ə
äbțõks	æˀ b c ə k s
äbusk	æˀ b u s k
äbvȯndzi	æˀ b v ɤ n d z i
äd	æˀ d
ädā	æ d ɑː
ädāgõ	æ d ɑː ɡ ə
äggõz	æˀ ɡː ə z
ägstõ	æˀ ɡ s t ə
äkīst	æ k iː s t
äl	æ l
ältõ	æ l t ə
äm	æ m
ämār	æ m ɑː r
ändi	æ n d i
äp	æ p
ärb	æ r b
ät	æ t
Ǟ	æː
ǟ	æː
ǟma	æː m ɑ
ǟnda	æː n d ɑ
ǟrga	æː r ɡ ɑ
ǟrma	æː r m ɑ
ǟrmatõ	æː r m ɑ t ə
b	b
bakbord	b ɑ k b o r d
bäbbõrz	b æˀ bː ə r z
bäs	b æ s
bäzmõr	b æˀ z m ə r
Belgij	b e l ɡ i j
Beļgij	b e ʎ ɡ i j
bet	b e t
bikšõd	b i k ʃ ə d
bikt	b i k t
birkov	b i r k o v
Bībõl	b iː b ə l
bībõl	b iː b ə l
bīețõz	b iː e c ə z
bīlda	b iː l d ɑ
bīskop	b iː s k o p
bleifēdõr	b l e i f eː d ə r
blēḑ	b l eːˀ ɟ
bokā	b o k ɑː
bokāmōŗa	b o k ɑː m ɒː rʲ ɑ
bomīkšõ	b o m iː k ʃ ə
borātõ	b o r ɑː t ə
borāvīk	b o r ɑː v iː k
borāvīk	b o r ɑː v iː k
borkõn	b o r k ə n
boŗ	b oˀ rʲ
Bosnij	b o s n i j
bōik	b ɒː i k
bōļa	b ɒː ʎ ɑ
bōn	b ɒː n
bōr	b ɒː r
breḑḑõ	b r eˀ ɟː ə
brēḑig	b r eː ɟ i ɡ
Brissõl	b r i sː ə l
brī	b r iː
brīõz	b r iː ɯ z
broutšõ	b r o u t͡ʃ ə
brõuvõ	b r ɯ u v ə
brūni	b r uː n i
brūokst	b r uː o k s t
bukštīerõ	b u k ʃ t iː e r ə
