abecedari	a b e t ʃ e d aː r i
abecee	a b e t ʃ e e
acqua	a k k w a
agn	a ɲ
agost	a ɡ o s t
agost	a ɡ o s t
agust	a ɡ u z t
agust	a ɡ u ʃ t
amis	a m iː z
ann	a nː
asee	a z eː
asee	a s eː
avost	a v o s t
avost	a v o s t
avost	v o s t
bröö	b r ø ø
bus	b yː s
büseca	b y z ɛ k a
büsecch	b y z ɛ kː
cadrega	k a d r eː ɡ a
cadregh	k a d r eː k
candila	k ãː d i l a
canp	k a n p
canp	k a n p
canp	t ʃ a n p
canp	k e n p
canp	k a m p o
cazzoeula	k a s øː l a
cazzoeull	k a s ø l
cazzoeull	k a s œ l
cazzoeura	k a t s øː r a
ciapà	t͡ʃ a p a
citâ	t ʃ i t aː
cjapa	t ʃ a p a
cjape	t ʃ a p e
cjape	t ʃ a p e
cjape	t ʃ a p e
client	k l i ɛ n t
clienta	k l i ɛ n t
cliente	k l i ɛ n t
cliente	k l i ɛ n t e
cliente	k l i ɛ n t i
clientj	k l i ɛ n t
clientj	k l i ɛ n t ʃ
clientj	k l i ɛ n t
corp	k ɔː r p
corp	k ɔː r p o
cuatro	k w a t r o
cudega	k u d e ɡ a
cui	k yː i
cui	k yː i
cul	k yː l
cul	k yː l
culata	k y l a t a
culaton	k y l a t oː n
culaton	k y l a t oː n
cuàter	k w a t e r
cuàter	k w a t e r
còrp	k ɔː r p
còrp	k ɔː r p o
cœur	k ø r
cœur	k ɔ r
d'acòrdi	d a k o r d i
d'acòrdi	d a k o r d e
des	d e s
des	d e s
des	d e s
doman	d u m a ŋ
doman	d o m a
dotor	d u t uː r
dotora	d u t uː r a
dr.	d u t uː r
dr.a	d u t uː r a
dublin	d y b l ĩː ŋ
dublin	d y b l iː
dur	d yː r
dura	d yː r a
elefant	e l e f ãː t
fagott	f a ɡ ɔ tː
formenton	f u r m e n t u n
fregg	f r ɛ t͡ʃ
freggia	f r ɛ d͡ʒ a
frut	f r y t
frut	f r ø t
furmai	f u r m a i
gat	ɡ a t
gatj	ɡ a t
gatt	ɡ a t
gay	ɡ e i
gera	d͡ʒ ɛ r a
gera	d͡ʒ e r a
giambon	ʒ a m b u ŋː
gioven	d͡ʒ u e n
gioven	d͡ʒ u i n
gioven	z u e n
giovena	d͡ʒ u e n a
giovena	d͡ʒ u i n a
giovena	z u e n a
gjapon	d ʒ a p o n
gjapon	d ʒ a p o n
goma	ɡ o m a
gombet	ɡ o m b e t
gombet	ɡ o m b e t
gombet	ɡ o m e t
gombet	ɡ o m e t
gombet	ɡ o m b e t
gombet	ɡ y m b e t
gombet	ɡ o m b i
gombet	ɡ o m b e t ʃ
gombet	ɡ o m b e t ʃ
gombet	ɡ o m i
gombet	ɡ o m e t
gome	ɡ o m
gome	ɡ o m e
gome	ɡ o m e
grass	ɡ r a s
gómbet	ɡ o m b e t
gómbet	ɡ o m b e t
gómbet	ɡ u m b e t
gómbet	ɡ o m b e t ʃ
gómbet	ɡ y m b e t
ingles	ĩː ɡ l e z
italian	i t a l j ãː
jald	d͡ʒ a l d
jald	z a l d
jalda	d͡ʒ a l d a
jalda	z a l d a
jalde	d͡ʒ a l d
jalde	z a l d e
jalde	d͡ʒ a l d e
jer	j eː ɾ
jer	d ʒ eː ɾ
jovedí	d͡ʒ o v e d i
jovedí	d͡ʒ o e d e
jâld	d͡ʒ a l d
jâld	z a l t͡ʃ
jâld	d͡ʒ e l t
jóveny	d ʒ u ɛ n
jóveny	d ʒ u i n
jóveny	z u ɛ ɲ
jóveny	z u ɛ j ɲ
jóveny	z u e n i
jœbia	d͡ʒ ø b j a
jœbia	ʒ ø b j a
jœbia	z ø b j a
jœbia	z ɔ b j a
lacc	l a t͡ʃː
lege	l eː d ʒ e
lege	l eː d ʒ e
lege	l eː z
lege	l eː z
legg	l eː d ʒ
legge	l eː d ʒ e
legi	l eː d ʒ i
legi	l eː d ʒ i
lengua	l eː ŋ ɡ w a
lengua	l e ŋ ɡ w a
leon	l e u n
leon	l i o m
leon	l i o m
leon	l e u
leon	l i u
lesg	l eː z
lesg	l eː z
less	l ɛ sː
lez	l e ŋ d ʒ
lez	l e z
lez	l e z
lez	l eː z
lez	l eː z
lochet	l o k e t
lochet	l o k e t
luj	l y j
luj	l y j
luj	l y j
lunedí	l y n e d i
lunedí	l ø n e d e
lèzer	l eː d ʒ
lèzer	l e z e r
lèzer	l e z
lèzer	l e d ʒ i
lüganega	l y ɡ a n e ɡ a
magioster	m a d͡ʒ u s t e r
magioster	m a d͡ʒ u ʃ t e r
magiostra	m a d͡ʒ u s t r a
magiostra	m a d͡ʒ u ʃ t r a
man	m aː n
man	m aː
manjar	m a n d͡ʒ a
manjar	m ã j a
manjar	m a ɲ a
martedí	m a r t e d i
martedí	m a r t e d e
mascarpa	m a ʃ k a r p a
mascarpa	m a s k a r p a
mercoldí	m e r k u l d i
mercoldí	m e r k u r d i
mercoldí	m e r k o l d e
mercoldí	m e r k u r d e
milan	m i l aː n
milan	m i l aː
negar	a n e ɡ a
negar	a n e ɡ a ɾ
negar	n e ɡ a
negar	n e ɡ a ɾ
neuv	n ø v
neuv	n ø v
neuv	n ø
neuv	n ø v
neuv	n ø v
neuv	n ø
neuva	n ø v a
neuva	n ø v a
neuve	n ø v e
neuve	n ø v e
neuve	n ø v e
nevod	n e v uː t
nos	n uː s
nò	n ɔ
oli	ɔ l i
oregjon	o r e d ʒ oː n
oregjon	o r e t ʃ oː n
paas	p aː s
paes	p a eː s
paes	p a eː s
pan	p ãː
pan	p a ŋ
panaton	p a n a t o ŋ
pavon	p a v u n
pavon	p a u
pavon	p a v u n
pavon	p a u
pavon	p a v u ɲ
pavon	p a v o j
paés	p a eː s
paés	p a eː s
paês	p a eː s
paês	p a eː s
persegh	p ɛ r s e k
persian	p e r s j ãː
pever	p eː v ɛ r
pever	p eː v ɐ r
pever	p iː v ɛ r
pever	p iː v ɐ r
pever	p eː r
piaxer	p j a z e r
piaxer	p j a ʒ e r
piomb	p j oː m b
piomb	p j o m b
piomb	p l o m b
pomm	p ɔ m
reuda	r ø d a
reude	r ø t
reude	r ø d e
