ahkau	ʔ ə kʰ ɔ w
ahkít	ʔ ə kʰ ɨ i
asøk	ʔ ə s ɨ k
ayénap	ʔ ə n j ɪ n æ p
bayn	b a ĩ̯ː n ˦
bayt	b a i̯ t ˧
boem	b ʊ ɛ m
chít	t ɕʰ e ɪ̯
couk	t ɕ a̰ ṵ ʔ
cám	t ɕ æ̰ m
dagoyi	d a ɡ ɔ j i
daiyám	d a i j æ m
daji	d a d͡ʑ i ʔ
dáng	d a ŋ ˧˥
dò	d ɔ
gau	ɡ ɔ w
gyau	kʰ j a w
gye	d ʑ e
hgø	ɣ ɨ
hkamyò	kʰ ə m j ṵ
hkyuk	kʰ j o k
hkyǿng	kʰ j ɨ ŋ
hpang	pʰ aː ŋ ˨
hto	tʰ ɔ ʔ
htse	t͡sʰ e
htsó	t sʰ u
htu	tʰ ʉ
htuk	tʰ o ʔ
htáng	tʰ a ŋ ˥
háng	h a ŋ ˥˦
ké	k ḛ
lachit	l a t͡ɕʰ i t
lahi	l a h iː
lahkóyt	l a ʔ kʰ u i
lámmó	l a̰ m o
láng	l a ŋ ˧
lò	l ɔ ʔ ˧
lø	l ɨ ˧˨
m	m̩ ˧
mauhkung	m ɔ w kʰ u ŋ
mi	m i ˧
mjóshò	m j u ɕ ɔ
myang	m j a ŋ
myap	m j æ p
myegong	m j ḛ ɡ o ŋ
myi	m j i
myo	m j ɔ̃ ʔ
myo	m j ɔ ʔ
n	n̩ ˧
nang	n a ŋ ˧˩
napkyoq	n æ p ɡ j o ʔ
napyonyít	n æ p j ɔ n i
ngau	ŋ a w
nge	ŋ ɛ
ngu	ŋ u ˧˩
no	n ɔ̃ ʔ
nu	n ũː ˧
nyet	n j ḛ t
sayt	s a ḭ t
se	s ɛ ʔ
shet	ɕ ɛ t
shoq	ɕ ɔ ʔ
shu	ɕ u
shuk	ɕ o u k
shí	ɕ i ˥˧
shí	ɕ i ˥
shó	ɕ ɔ w
soq	s ɔ ʔ
só	s ɔ
sóem	s ø m
søk	s ɨ k
søkgam	s ɨ k ɡ æ m
tsuk	t s o̰ k
wang	w a ŋ
wasí	w ə s i
wu	w u ʔ
yang	j a ŋ
yi	j i ˨˧
yi	j i ˧
yit	j ḭ t ˧
yo	j u ˧˩
yo	j ɔ ˧˨
yoq	j ɔ ʔ
yoq	j ɔ ʔ
yuk	j o k
yukgi	j o k ɡ ɨ i
yám	n j æ m
yít	j ḭ t ˥˦
yóng	j ɔ ŋ
øk	ʔ ə k
