aaet	ɑː e tˠ
aaet	ɑ e tˠ
aba	ɑ bˠ ɑ
abba	ɑ p pˠ ɑ
abbain	ɑ p pˠ ɑ ɯ nʲ
abōļ	ɑ bˠ ʌ lˠ
abōļin	ɑ bˠ ʌ lˠ i nʲ
addi	ɑ r rʲ i
ae	ɑ ɛ
aebōj	ɑ ɛ bˠ ʌ tʲ
aej	ɑ e tʲ
aejin	ɑ e zʲ i nʲ
aejkudiim	ɑ e zʲ u ɡʷ u rʲ iː mʲ
aejkudiim	ɑ e zʲ ɡʷ u rʲ iː mʲ
aejkudiimin	ɑ e zʲ u ɡʷ u rʲ iː mʲ i nʲ
aejkudiimin	ɑ e zʲ ɡʷ u rʲ iː mʲ i nʲ
aejkudiim̧	ɑ e zʲ u ɡʷ u rʲ iː mˠ
aejkudiim̧	ɑ e zʲ ɡʷ u rʲ iː mˠ
aejkudiim̧in	ɑ e zʲ u ɡʷ u rʲ iː mˠ i nʲ
aejkudiim̧in	ɑ e zʲ ɡʷ u rʲ iː mˠ i nʲ
Aelok	ɑ e lʲ o kʷ
aelōn̄	ɑ e lʲ ɤ ŋ
aelōn̄in	ɑ e lʲ ɤ ŋ i nʲ
Aelōn̄inae	ɑ e lʲ ɤ ŋ i nʲ ɑː ɛ
Aelōn̄ļapļap	ɑ e lʲ ɤ ŋ ɤ lˠ ɑ bʲ ɛ lˠ ɑ pʲ
Aelōn̄ļapļap	ɑ e lʲ ɤ ŋ ɤ lˠ ɑ bʲ lˠ ɑ pʲ
Aelōn̄ļapļap	ɑ e lʲ ɤ ŋ lˠ ɑ bʲ ɛ lˠ ɑ pʲ
Aelōn̄ļapļap	ɑ e lʲ ɤ ŋ lˠ ɑ bʲ lˠ ɑ pʲ
aen	ɑ ɛ nʲ
aet	ɑː e tˠ
aet	ɑ e tˠ
aij	ɑ i tʲ
aijin	ɑ i zʲ i nʲ
aijkudiim	ɑ i zʲ u ɡʷ u rʲ iː mʲ
aijkudiim	ɑ i zʲ ɡʷ u rʲ iː mʲ
aijkudiimin	ɑ i zʲ u ɡʷ u rʲ iː mʲ i nʲ
aijkudiimin	ɑ i zʲ ɡʷ u rʲ iː mʲ i nʲ
aijkudiim̧	ɑ i zʲ u ɡʷ u rʲ iː mˠ
aijkudiim̧	ɑ i zʲ ɡʷ u rʲ iː mˠ
aijkudiim̧in	ɑ i zʲ u ɡʷ u rʲ iː mˠ i nʲ
aijkudiim̧in	ɑ i zʲ ɡʷ u rʲ iː mˠ i nʲ
aj	ɑ tʲ
aje	ɑ zʲ e
ajein	ɑ zʲ e i nʲ
aji	ɑ zʲ i
ak	ɑ k
ak	ɑ k
akjijen	ɑ ɡ i zʲ iː zʲ ɛ nʲ
akjijen	ɑ ɡ zʲ iː zʲ ɛ nʲ
akwāāl	ɑ ɡʷ æː lʲ
akwāāl	ɑ ɡʷ æ æ lʲ
allōn̄	ɑ l lʲ ɤ ŋ
aļ	ɑ lˠ
Aļajka	ɑ lˠ ɑ zʲ ɛ ɡ ɑ
Aļajka	ɑ lˠ ɑ zʲ ɡ ɑ
aļaļ	ɑ lˠ ɑː lˠ
aļap	ɑ lˠ ɑ pʲ
aļbapeet	ɑ lˠ ʌ bˠ ɑː bʲ ɛː tˠ
aļbapeet	ɑ lˠ bˠ ɑː bʲ ɛː tˠ
aļkita	ɑ lˠ ɯ ɡ iː dˠ ɑ
aļkita	ɑ lˠ ɡ iː dˠ ɑ
Amedka	ɑ mʲ ɛ rʲ ɛ ɡ ɑ
Amedka	ɑ mʲ ɛ rʲ ɡ ɑ
Am̧bo	ɑ m bˠ o
am̧onika	ɑ mˠ ɔː nʲ i ɡ ɑ
am̧onikain	ɑ mˠ ɔː nʲ i ɡ ɑ ɯ nʲ
anidep	ɑ nʲ iː rʲ ɛ pʲ
Anij	ɑ nʲ i tʲ
an̄	ɑ ŋ
aolep	ɑ ɔ lʲ ɛ pʲ
aoļōt	ɑ o lˠ ɤ tˠ
Arņo	ɑ n nˠ ɔ
Atļaņtiik	ɑ dˠ ʌ lˠ ɑ n dˠ iː k
Atļaņtiik	ɑ dˠ lˠ ɑ n dˠ iː k
aujpitōļ	ɑ u zʲ i bʲ i dˠ ʌ lˠ
aujpitōļ	ɑ u zʲ bʲ i dˠ ʌ lˠ
Aujtōrōlia	ɑ u t tˠ ʌ rˠ ʌ lʲ i ɑ
Aur	ɑ u rˠ
awa	ɑ w ɑ
awaan	ɑ w ɑː nʲ
awaan	ɑ w ɑ ɑ nʲ
Awai	ɑ w ɑː i
Ādkup	æ rʲ u ɡʷ u pʲ
Ādkup	æ rʲ ɡʷ u pʲ
ākto	æ ɡ ɤ dˠ o
ākto	æ ɡ dˠ o
āktuwe	æ ɡ ɯ dˠ u w ɛ
āktuwe	æ ɡ dˠ u w ɛ
ākūtwe	æ ɡ ɯ dˠ u w ɛ
ākūtwe	æ ɡ ɯ dˠ w ɛ
āne	æ nʲ e
Āneeļļapkaņ	æ nʲ eː l lˠ ɑ bʲ ɛ ɡ ɑ nˠ
Āneeļļapkaņ	æ nʲ eː l lˠ ɑ bʲ ɡ ɑ nˠ
Ānewātak	æ nʲ eː w æː dˠ ɑ k
Ānewetak	æ nʲ eː w ɛː dˠ ɑ k
āt	æ tˠ
ātāt	æ dˠ æː tˠ
ātōn̄	æ dˠ ɔ ŋʷ
baajikōļ	pˠ ɑː zʲ i ɡ ʌ lˠ
baajikōļ	pˠ ɑ ɑ zʲ i ɡ ʌ lˠ
baajkōļ	pˠ ɑː zʲ ɛ ɡ ʌ lˠ
baajkōļ	pˠ ɑː zʲ ɡ ʌ lˠ
baam̧	pˠ ɑː mˠ
baam̧	pˠ ɑ ɑ mˠ
baam̧in	pˠ ɑː mˠ i nʲ
baam̧in	pˠ ɑ ɑ mˠ i nʲ
