അളം	ɐ ɭ ɐ m
അവൻ	ɐ ʋ ɐ n
അവൾ	ɐ ʋ ɐ ɭ
ആള്	ɐː ɭ ɨ
ഇവൻ	i ʋ ɐ n
ഇവ​ൾ	i ʋ ɐ ɭ
ഒക്ടോബർ	o k ʈ oː b ɐ r
കണക്ക്	k ɐ ɳ ɐ kː ɨ
കയർ	k a j a r
കയർ	k a j a r
കലി	k ɐ l i
കല്ല്	k ɐ lː ɨ
കളി	k ɐ ɭ i
കള്ളം	k ɐ ɭː ɐ m
കള്ളി	k ɐ ɭː i
കാശ്	k ɐː ʃ ɨ
കൂത്തിപ്പട്ടി	k uː t̪ː i pː ɐ ʈː i
കൊടി	k o ɖ i
കോവിലകം	k oː ʋ i l ɐ ɡ ɐ m
ചതി	t͡ʃ ɐ d̪ i
ചുകപ്പ്	t͡ʃ u ɡ ɐ pː ɨ
ചെളി	t͡ʃ e ɭ i
ചേന	t͡ʃ eː n ɐ
ചോര	t͡ʃ oː ɾ ɐ
തീയ്യ്	t̪ iː jː ɨ
തീറ്റ	ʃ ɐː s t̪ r̊ ɐ m
തീവണ്ടി	t̪ iː ʋ ɐ ɳ ɖ i
ന്റ	n d ɐ
പതാക	p ɐ d̪ ɐː ɡ ɐ
പാറ	p ɐː r ɐ
മണ്ണ്	m ɐ ɳː ɨ
മതി	m ɐ d̪ i
മല	m ɐ l ɐ
മലയാളം	m ɐ l ɐ j äː ɭ ɐ m
യന്ത്രം	j ɐ n̪ d̪ r ɐ m
രാക്ഷസി	ɾ ɐː k ʂ ɐ s i
വചനം	ʋ ɐ d͡ʒ ɐ n ɐ m
വഞ്ചിക്കുക	ʋ ɐ ɲ d͡ʑ i kː u ɡ ɐ
വലുത്	ʋ ɐ l u d̪ ɨ
വളം	ʋ ɐ ɭ ɐ m
വള്ളം	ʋ ɐ ɭː ɐ m
വാടക	ʋ ɐː ɖ ɐ ɡ ɐ
ശ്രീകൃഷ്ണന്‍	ʃ r iː k r ʂ ɳ ɐ n
