अ	ə
अं	ə m
अंक	ə ŋ k ə
अंकगणित	ə ŋ k ə ɡ ə ɳ i t̪
अंकी	ə ŋ k i
अंकुश	ə ŋ k u ɕ
अंग	ə ŋ ɡ ə
अंगच्छेदन	ə ŋ ɡ ə t͡ɕ t͡ɕʰ e d̪ ə n
अंगठा	ə ŋ ɡ ʈʰ a
अंगठी	ə ŋ ɡ ʈʰ i
अंगठ्या	ə ŋ ɡ ə ʈʰ j a
अंगण	ə ŋ ɡ ə ɳ
अंगरखा	ə ŋ ɡ ə ɾ kʰ a
अंगाई	ə ŋ ɡ a i
अंघोळ	ə ŋ ɡʱ o ɭ̆
अंजीर	ə n d͡ʑ i ɾ
अंड	ə ɳ ɖ ə
अंडकोष	ə ɳ ɖ k o ʂ
अंडे	ə ɳ ɖ e
अंडे	ə ɳ ɖ ə
अंत	ə n t̪ ə
अंतःकरण	ə n t̪ əʰ k ə ɾ ə ɳ
अंततः	ə n t̪ t̪ əʰ
अंतर	ə n t̪ ə ɾ
अंतरपाट	ə n t̪ ə ɾ p a ʈ
अंतराळ	ə n t̪ ə ɾ a ɭ̆
अंतराळयात्री	ə n t̪ ɾ a ɭ̆ j a t̪ ɾ i
अंतराळयान	ə n t̪ ɾ a ɭ̆ j a n
अंतरिक्ष	ə n t̪ ɾ i k ʂ ə
अंतर्गत	ə n t̪ ə ɾ ɡ ə t̪
अंथरूण	ə n t̪ʰ ɾ u ɳ
अंदाज	ə n d̪ a d͡ʑ
अंदाजे	ə n d̪ a d͡z e
अंध	ə n d̪ʱ ə
अंधःकार	ə n d̪ʱ əʰ k a ɾ
अंधकार	ə n d̪ʱ ə k a ɾ
अंधत्व	ə n d̪ʱ ə t̪ ʋ ə
अंधविश्वास	ə n d̪ʱ ʋ i ɕ ʋ a s
अंधश्रद्धा	ə n d̪ʱ ə ɕ ɾ ə d̪ d̪ʱ a
अंधार	ə n d̪ʱ a ɾ
अंबर	ə m b ə ɾ
अंबाडा	ə m b a ɖ a
अंबाडे	ə m b a ɖ e
अंबाडे	ə m b a ɖ ə
अंबिग	ə m b i ɡ
अंबी	ə m b i
अंबु	ə m b u
अंबेकरी	ə m b e k ɾ i
अंबोळी	ə m b o ɭ̆ i
अंमलबजावणी	ə m m ə l b ə d͡ʑ a ʋ ɳ i
