a	a
aba	a b a
aba	a b ə
abah	a b a h
abakus	a b a k o s
abakus	a b a k ʊ s
abang	a b a ŋ
abdomen	a b d o m ə n
abduktor	a b d u k t o r
abiad	a b i a t
abjad	a b d͡ʒ a t
abomasum	a b o m a s u m
absen	a b s e n
absorptif	a p s ɔ r p t e f
absorptif	a p s ɔ r p t ɪ f
abu	a b u
abyad	a b i a t
abyad	a b j a t
acara	a t͡ʃ a r a
acara	a t͡ʃ a r ə
aceh	a t͡ʃ e h
acuan	a t͡ʃ u a n
ada	a d a
ada	a d ə
adalah	a d a l a h
adalah	a d ə l a h
adat	a d a t
adelfogami	a d e l f o ɡ a m i
adem	a d ə m
adi	a d i
adik	a d e ʔ
adik	a d ɪ ʔ
adil	a d e l
adil	a d ɪ l
adinda	a d i n d a
adinda	a d i n d ə
ading	a d e ŋ
ading	a d ɪ ŋ
adoi	a d o i̯
adoi	a d ʊ i̯
aduh	a d u h
aduktor	a d u k t o r
aerologi	e r o l o ɡ i
afrika	a f r i k a
afrika	a f r i k ə
afrikaans	a f r i k a n s
agak	a ɡ a ʔ
agama	a ɡ a m a
agama	a ɡ a m ə
agar	a ɡ a r
agas	a ɡ a s
agus	a ɡ o s
agus	a ɡ ʊ s
ahad	a h a t
ahmak	a h m a c
aikido	a i k i d o
ain	a e n
ain	a ɪ n
ainu	a i̯ n u
air	a i r
ais	a e s
ais	a ɪ s
ajaib	a d͡ʒ a e p
ajaib	a d͡ʒ a ɪ p
ajak	a d͡ʒ a ʔ
akak	a k a ʔ
akan	a k a n
akang	a k a ŋ
akar	a k a r
aklan	a k l a n
akromion	a k r o m i o n
aksi	a k s i
akta	a k t ɐ
aktif	a k t e f
aktif	a k t ɪ f
aktivitet	a k t i v i t e t
aktiviti	a k t i v i t i
aku	a k u
alamak	a l a m a k
albania	a l b e n i a
alfabet	a l f a b e t
alih	a l i h
alir	a l e r
alir	a l ɪ r
allah	a l l a h
alpa	a l p a
alpa	a l p ə
alu	a l u
aluminium	a l u m i n i o m
alur	a l o r
alur	a l ʊ r
aman	a m a n
amat	a m a t
ambang	a m b a ŋ
ampat	a m p a t
ampun	a m p u n
amuk	a m u k
ana	a n a
ana	a n ə
anak	a n a ʔ
anam	a n a m
anda	a n d a
aneh	a n e h
anggap	a ŋ ɡ a p
angin	a ŋ i n
angka	a ŋ k a
angka	a ŋ k ə
angkat	a ŋ k a t
angkut	a ŋ k o t
angkut	a ŋ k ʊ t
angsa	a ŋ s a
angsa	a ŋ s ə
anoa	a n o a
anoa	a n o ə
antarabangsa	a n t a r a b a ŋ s a
antarabangsa	a n t a r a b a ŋ s ə
antelop	a n t ə l o p
antu	a n t u
anu	a n u
anugerah	a n u ɡ ə r a h
anut	a n u t
anyam	a ɲ a m
apa	a p a
apa	a p ə
apabila	a p a b i l a
apabila	a p ə b i l ə
apung	a p u ŋ
ara	a r a
ara	a r ə
arab	a r a p
arah	a r a h
arau	a r a u̯
arbaa	a r b a ʔ a
arbaa	a r b a ʔ ə
ardi	a r d i
ardvark	a r t v a r k
argon	a r ɡ ɔ n
ari	a r i
arkib	a r k e p
arkib	a r k ɪ p
armadillo	a r m a d i l o
armenia	a r m e n i a
arnab	a r n a p
arus	a r o s
arus	a r ʊ s
asa	a s a
asa	a s ə
asap	a s a p
asin	a s e n
asin	a s ɪ n
asing	a s e ŋ
asing	a s ɪ ŋ
assalamualaikum	a s s a l a m u ʔ a l a i̯ k o m
assalamualaikum	a s s a l a m u ʔ a l a i̯ k u m
asta	a s t ə
astă	a s t ə
atap	a t a p
atas	a t a s
atau	a t a u̯
atom	a t o m
atuk	a t u k
atur	a t o r
atur	a t ʊ r
aur	a u r
australia	a u̯ s t r a l i a
australia	a u̯ s t r a l i ə
automatik	a u̯ t o m a t e k
automatik	a u̯ t o m a t ɪ k
awak	a w a ʔ
awan	a w a n
aya	a j ə
ayah	a j a h
ayahanda	a j a h a n d a
ayahanda	a j a h a n d ə
ayam	a j a m
ayan	a j a n
ayu	a j u
ayuk	a j o ʔ
ayuk	a j ʊ ʔ
ayut	a j o t
ayut	a j ʊ t
azam	a d͡ʒ a m
azam	a z a m
azerbaijan	a z ə r b a i̯ d͡ʒ a n
bab	b a p
baba	b a b a
baba	b a b ə
babak	b a b a ʔ
babi	b a b i
baca	b a t͡ʃ a
baca	b a t͡ʃ ə
bacaan	b a t͡ʃ a a n
badam	b a d a m
badan	b a d a n
baghal	b a ɡ a l
baghal	b a ɣ a l
bagi	b a ɡ i
baginda	b a ɡ i n d a
baginda	b ə ɡ i n d ə
bagus	b a ɡ o s
bagus	b a ɡ u s
bagus	b a ɡ ʊ s
bah	b a h
baharu	b a h a r u
bahasa	b a h a s a
bahasa	b a h a s ə
bahlul	b a h l o l
bahlul	b a h l ʊ l
bahtera	b a h t ə r a
bahtera	b a h t ə r ə
bahu	b a h u
baik	b a i k
bait	b a e t
bait	b a ɪ t
bajing	b a d͡ʒ e ŋ
bajing	b a d͡ʒ ɪ ŋ
baju	b a d͡ʒ u
bakat	b ä k ä t
baku	b a k u
bakul	b a k o l
bakul	b a k ʊ l
bakung	b a k o ŋ
bakung	b a k ʊ ŋ
balai	b a l a i̯
balas	b a l a s
balasan	b a l a s a n
bali	b a l i
balik	b a l i k
baling	b ä l ɪ ŋ
balu	b a l u
balung	b a l o ŋ
balung	b a l ʊ ŋ
bambu	b a m b u
banal	b a n a l
banci	b a n t͡ʃ i
bang	b a ŋ
bangang	b ä ŋ ä ŋ
bangkrap	b a ŋ k r a p
bangku	b a ŋ k u
bangun	b a ŋ u n
bangunan	b a ŋ u n a n
banjar	b a n d͡ʒ a r
banjir	b a n d͡ʒ i r
bantal	b a n t a l
banteng	b a n t e ŋ
banteng	b a n t ɪ ŋ
banting	b a n t e ŋ
banting	b a n t ɪ ŋ
banyak	b a ɲ a k
bapa	b a p a
bapa	b a p ə
bapai	b a p a i̯
bapak	b a p a ʔ
bapanda	b a p a n d a
bapanda	b a p a n d ə
bapang	b a p a ŋ
bara	b a r a
bara	b a r ə
barang	b a r a ŋ
baring	b a r e ŋ
baring	b a r ɪ ŋ
baris	b ä r ɪ s
barisan	b a r i s a n
baru	b a r u
bas	b a s
basah	b a s a h
basi	b a s i
basikal	b a s i k a l
batang	b a t a ŋ
bateri	b a t ə r i
batik	b a t e ʔ
batik	b a t ɪ ʔ
batu	b a t u
bau	b a u
bausastera	b a u s a s t ə r a
bawah	b a w a h
bayi	b a j i
bayu	b a j u
bazir	b ä z ɪ r
bazir	b ä z ɪː
bebal	b ə b a l
bebas	b e b a s
bebat	b ə b a t
bebenang	b ə b ə n a ŋ
beberapa	b ə b ə r a p a
beberapa	b ə b ə r a p ə
bebiri	b ə b i r i
beca	b e t͡ʃ a
begitu	b ə ɡ i t u
bekas	b ə k a s
belah	b ə l a h
belajar	b ə l a d͡ʒ a r
belakang	b ə l a k a ŋ
belanda	b ə l a n d a
belas	b ə l a s
beleng	b e l e ŋ
belerang	b ə l e r a ŋ
beli	b ə l i
beliau	b ə l i a u̯
