Bondie	b ɔ̃ d ʒ j e
abdomenn	a b d o m ɛ n
abes	a b e s e
abese	a b e s e
abim	a b i m
abime	a b i m e
adverb	a d v ɛː b
adverbial	a d v ɛː b j a l
aja	a d ʒ a
aji	a d ʒ i
akseptab	a k s e p t a b
akseptabilite	a k s e p t a b i l i t e
akseptans	a k s e p t ɑ̃ s
aksepte	a k s e p t e
alvida	a l v i d a
alvida	ə l v i d a
amiz	a m i z
amize	a m i z e
anba	ɑ̃ b a
andomaz	ɑ̃ d o m a z
andomaze	ɑ̃ d o m a z e
andomazman	ɑ̃ d o m a z m ɑ̃
anons	a n ɔ̃ s
anonse	a n ɔ̃ s e
ape	a p e
aswar	a s w ɑː
ato	a t o
belna	b e l n a
bezwin	b e z w ɛ̃
bienelve	b j ɛ̃ n e l v e
bye	b a j
chacha	t ʃ a t ʃ a
chawki	t ʃ ə w k i
cheri	ʃ e ʁ i
chor	t ʃ o ɾ
chula	t ʃ u l h a
dada	d a d a
dadi	d a d i
dan	d ɑ̃
de	d e
defigir	d e f i ɡ iː ə
defigire	d e f i ɡ i ʁ e
dega	d e ɡ a
denigre	d e n i ɡ ʁ e
didi	d i d i
ekrir	e k ʁ iː ə
ekrivin	e k ʁ i v ɛ̃
elevasion	e l e v a s j ɔ̃
elevasion	e l e v a ʃ ɔ̃
elve	e l v e
ena	e n a
exkreman	e k s k ʁ e m ɑ̃
fenomenal	f e n o m e n a l
fenomenn	f e n o m ɛ n
figir	f i ɡ iː ə
figire	f i ɡ i ʁ e
filling	f i l i ŋ
finn	f i n
fler	f l ɛː
fleri	f l e ʁ i
fleris	f l e r i s
floral	f l o ʁ a l
fol	f o l
fou	f u
fre	f ʁ e
frer	f ʁ ɛː
freser	f ʁ e s ɛː
gagn	ɡ ɛ̃ j
gagne	ɡ ɛ ɲ e
gagne	ɡ ɛ̃ j e
gajak	ɡ a d ʒ a k
gaon	ɡ a ɔ̃
gat	ɡ a t
gate	ɡ a t e
gate	ɡ eː t
gid	ɡ i d
gide	ɡ i d e
gran	ɡ ʁ ɑ̃
granmama	ɡ ʁ ɑ̃ m a m a
granmer	ɡ ʁ ɑ̃ m ɛː
granpapa	ɡ ʁ ɑ̃ p a p a
granper	ɡ ʁ ɑ̃ p ɛː
horni	h o ɾ n i
imilie	i m i l j e
inn	i n
itiliz	i t i l i z
itilizasion	i t i l i z a s j ɔ̃
itilizater	i t i l i z a t ɛː
itilize	i t i l i z e
jos	d ʒ o s
kadav	k a d a v
kaka	k a k a
kanpagnar	k ɑ̃ p a ɲ ɑː
kas	k a s
kas	k a ʃ
katedral	k a t e d ʁ a l
khala	kʰ a l a
kokin	k o k ɛ̃
koral	k o r a l
kouler	k u l ɛː
kreyon	k ʁ e j ɔ̃
lafnet	l a f n e t
lakanpagn	l a k ɑ̃ p ã j
lamizman	l a m i z m ɑ̃
lao	l a o
larenn	l a ʁ ɛ n
larzan	l ɑː z ɑ̃
latet	l a t e t
lazwa	l a z w a
lebra	l e b ʁ a
lesiel	l e s j e l
lisans	l a i s ɛ n s
lisans	l i s ɑ̃ s
lizie	l i z j e
lizie	l i ʒ e
lizie	l i ʒ j e
lor	l oː
maja	m a d ʒ a
maja	m ə z a
mami	m a m i
matant	m a t ɑ̃ t
mawsi	m ɔː s i
mem	m e m
met	m e t
mete	m e t e
nani	n a n i
non	n ɔ̃
nonsense	n ɒ n s ɛ n s
orevwar	o ʁ e v w ɑː
ot	o t
oter	o t ɛː
otorite	o t o ʁ i t e
otoriter	o t o ʁ i t ɛː
otoriz	o t o r i z
otorizasion	o t o ʁ i z a s j ɔ̃
otorize	o t o r i z e
pagla	p a ɡ l a
pagli	p a ɡ l i
paisa	p a i s a
paisa	p ɛ j s a
paisa	p ɛː s a
pangar	p ɑ̃ ɡ ɑː
papa	p a p a
papi	p a p i
pares	p a ʁ e s
parese	p a ʁ e s e
paresez	p a ʁ e s e z
paresez	p a ʁ e s ø z
parking	p ɑː k i ŋ
pe	p e
permet	p ɛː m e t
permi	p ɛː m i
permisib	p ɛː m i s i b
permision	p ɛː m i s j ɔ̃
piblisite	p i b l i s i t e
plezir	p l e z iː ə
pli	p l i
plis	p l i s
plise	p l i s e
plore	p l o ʁ e
pou	p u
pronons	p ʁ o n ɔ̃ s
prononse	p ʁ o n ɔ̃ s e
prononsiasion	p ʁ o n ɔ̃ s j a s j ɔ̃
prononsiasion	p ʁ o n ɔ̃ ʃ a ʃ ɔ̃
rakhi	ʁ a k i
raki	ʁ a k i
realizasion	ʁ e a l i z a s j ɔ̃
realizasion	ʁ e a l i z a ʃ ɔ̃
realizater	ʁ e a l i z a t ɛː
realize	ʁ e a l i z e
reklam	ʁ e k l a m
reklame	ʁ e k l a m e
ridikil	ʁ i d ʒ i k i l
ridikilize	ʁ i d ʒ i k i l i z e
rwine	ʁ w i n e
rwinn	ʁ w i n
saler	s a l ɛː
ser	s ɛː
servi	s ɛː v i
si	s i
sinon	s i n ɔ̃
so	s o
somey	s o m e j
sovaz	s o v a z
stasionnman	s t a s j o n m ɑ̃
stasionnman	s t a ʃ o n m ɑ̃
take	t a k e
tantinn	t ɑ̃ t ʃ i n
tata	t a t a
ti	t ʃ i
ti'nn	t ʃ i n
toler	t o l ɛː
tolerab	t o l e ʁ a b
tolerans	t o l e ʁ ɑ̃ s
tolere	t o l e ʁ e
tonton	t ɔ̃ t ɔ̃
vilaz	v i l a z
vilazwa	v i l a z w a
vol	v o l
voler	v o l ɛː
wi	w i
zong	z o ŋ
zour	z uː ə
zoure	z u ʁ e
