abacc	a β ə k
abaid	a b ə ðʲ
abaid	a b ə ɣʲ
abbán	a b aː n
adarcach	a ð ə ɾ k ə x
adarcach	a ð ə ɾ k a x
adarcach	a ɣ ə ɾ k ə x
adarcach	a ɣ ə ɾ k a x
áe	ɤː
áe	ɯː
áel	ɤː l
áel	ɯː l
aile	a lʲ ə
aill	a l̠ʲ
áillecán	aː l̠ʲ ə ɡ aː n
aimser	a mʲ ɕ ə ɾ
aimsir	a mʲ ɕ ə rʲ
ainm	a nʲ ə mʲ
ainm	a nʲ mʲ
airdircus	a rʲ ðʲ ə ɾ k u s
airdircus	a ɾʲ ɣʲ ə ɾ k ə s
aitire	a tʲ ə ɾʲ ə
Amlaíb	a β̃ l ɤː βʲ
Amlaíb	a β̃ l ɯː βʲ
amra	a β̃ ɾ ə
amrán	a β̃ ɾ aː n
ardáili	a r d aː lʲ ə
atam	a d ə β̃
attá	a t aː
bachlach	b a x l a x
bachlach	b a x l ə x
báid	b aː ðʲ
báid	b aː ɣʲ
baramail	b a ɾ ə β̃ ə lʲ
bás	b aː s
becht	bʲ e x t
beirid	bʲ e ɾʲ ə ðʲ
beirid	bʲ e ɾʲ ə ɣʲ
benagán	bʲ e n ə ɡ aː n
bennacht	bʲ e n̪ ə x t̪
bennán	bʲ e n̪ aː n
Beóllán	bʲ eː o̯ l̪ aː n
Beóllán	bʲ e̯ oː l̪ aː n
bered	bʲ e ɾʲ e ð
bered	bʲ e ɾʲ e ɣ
blasta	b l a s t̪ ə
boga	b o ɣ ə
boí	b ɤː
boí	b ɯː
boingid	b o ŋʲ ɡʲ ə ðʲ
boingid	b o ŋʲ ɡʲ ə ɣʲ
botach	b o d̪ ə x
botach	b o d̪ a x
brága	b ɾ aː ɣ ə
brágait	b ɾ aː ɣ ə d̠ʲ
Bréfne	bʲ ɾʲ eː ɸʲ nʲ ə
Brega	bʲ ɾʲ e ɣ ə
bregda	bʲ ɾʲ e ɣ ð ə
bregda	bʲ ɾʲ e ɣ ə
breithemnas	bʲ ɾʲ e θʲ ə β̃ n ə s
breithemnas	bʲ ɾʲ e h ə β̃ n ə s
Bretnach	bʲ ɾʲ e t̪ n ə x
Bretnach	bʲ ɾʲ e t̪ n a x
brígmar	bʲ ɾʲ iː ɣ β̃ ə ɾ
brocc	b ɾ o k
bruiden	b ɾ u ðʲ ə n
bruiden	b ɾ u ɣʲ ə n
cach	k a x
cáel	k ɤː l
cáel	k ɯː l
cáelach	k ɤː l ə x
cáelach	k ɤː l a x
cáelach	k ɯː l ə x
cáelach	k ɯː l a x
cáera	k ɤː ɾ ə
cáera	k ɯː ɾ ə
cairde	k a rʲ d̠ʲ ə
caittín	k a t̠ʲ iː nʲ
calma	k a l ə m ə
calma	k a l m ə
cana	k a n ə
cara	k a ɾ ə
carait	k a ɾ ə d̠ʲ
carat	k a ɾ ə d̪
carrac	k a r ə ɡ
cathaige	k a θ ə ɣʲ ə
cathaige	k a h ə ɣʲ ə
cathaigecht	k a θ ə ɣʲ ə x t̪
cathaigecht	k a h ə ɣʲ ə x t̪
cellach	kʲ e l̪ a x
cellach	kʲ e l̪ ə x
cenn	kʲ e n̪
cenna	kʲ e n̪ ə
cern	kʲ e r n̪
cétgabáil	kʲ eː d̪ ɣ a β aː lʲ
cétmad	kʲ eː d̪ β̃ a ð
cétmad	kʲ eː d̪ β̃ a ɣ
céttadall	kʲ eː d̪ t̪ a ð ə l̪
céttadall	kʲ eː d̪ t̪ a ɣ ə l̪
chairde	x a rʲ d̠ʲ ə
chenn	xʲ e n̪
chétgabáil	xʲ eː d̪ ɣ a β aː lʲ
chéttadall	xʲ eː d̪ t̪ a ð ə l̪
chéttadall	xʲ eː d̪ t̪ a ɣ ə l̪
chóiced	x oː ɡʲ ə ð
chóiced	x oː ɡʲ ə ɣ
choire	x o ɾʲ ə
chon	x o n
chorrach	x o r ə x
chorrach	x o r a x
chucisium	x u ɡʲ i ɕ u m
chuingid	x u ŋʲ ɡʲ ə ðʲ
chuingid	x u ŋʲ ɡʲ ə ɣʲ
chungid	x u ŋʲ ɡʲ ə ðʲ
chungid	x u ŋʲ ɡʲ ə ɣʲ
cích	kʲ iː x
cíchech	kʲ iː xʲ ə x
cíchech	kʲ iː xʲ a x
Cíchmuine	kʲ iː x β̃ u nʲ ə
ciúnas	kʲ iː u̯ n ə s
ciúnas	kʲ uː n ə s
clíathaire	kʲ lʲ iː ə̯ θ ə ɾʲ ə
clíathaire	kʲ lʲ iː ə̯ h ə ɾʲ ə
cloc	k l o ɡ
clocach	k l o ɡ ə x
clocach	k l o ɡ a x
clocán	k l o ɡ aː n
cnocán	k n o k aː n
cóiced	k oː ɡʲ ə ð
cóiced	k oː ɡʲ ə ɣ
coire	k o ɾʲ ə
coiri	k o ɾʲ ə
Colmán	k o l ə m aː n
Colmán	k o l m aː n
comáirem	k o β̃ aː ɾʲ ə β̃
comalta	k o β̃ ə l̪ t̪ ə
comflaithius	k o β̃ l ə θʲ u s
comflaithius	k o β̃ l ə h ə s
con	k o n
condaig	k o n̪ d̪ a ɣʲ
corrach	k o r ə x
corrach	k o r a x
cráes	k ɾ ɤː s
cráes	k ɾ ɯː s
crích	kʲ ɾʲ iː x
crích	kʲ ɾʲ iː xʲ
crimthan	kʲ ɾʲ i β̃ θ ə n
crimthan	kʲ ɾʲ i β̃ h ə n
croinic	k ɾ o nʲ ə kʲ
cú	k uː
cúach	k uː ə̯ x
Cúalu	k uː a̯ l u
Cúalu	k uː ə̯ l ə
cucisium	k u ɡʲ ə ɕ u m
cucisium	k u ɡʲ ə ɕ ə m
cuileóc	k u lʲ oː ɡ
cuingid	k u ŋʲ ɡʲ ə ðʲ
cuingid	k u ŋʲ ɡʲ ə ɣʲ
cuirid	k u ɾʲ ə ðʲ
cuirid	k u ɾʲ ə ɣʲ
cul	k u l
dam	d̪ a β̃
dana	d̪ a n ə
deog	d̠ʲ e o̯ ɣ
deog	d̠ʲ e̯ o ɣ
deóraidecht	d̠ʲ eː o̯ ɾ ə ðʲ ə x t
deóraidecht	d̠ʲ eː o̯ ɾ ə ðʲ a x t
deóraidecht	d̠ʲ e̯ oː ɾ ə ɣʲ ə x t
deóraidecht	d̠ʲ e̯ oː ɾ ə ɣʲ a x t
derbsiur	d̠ʲ e ɾ β h i u̯ r
derc	d̠ʲ e ɾ k
dia	d̠ʲ i ə̯
ditned	d̠ʲ i d̠ʲ nʲ ə ð
ditned	d̠ʲ i d̠ʲ nʲ ə ɣ
ditnid	d̠ʲ i d̠ʲ nʲ ə ðʲ
ditnid	d̠ʲ i d̠ʲ nʲ ə ɣʲ
dobeir	d̪ o bʲ e ɾʲ
dobered	d̪ o bʲ e ɾʲ ə ð
dobered	d̪ o bʲ e ɾʲ ə ɣ
dóendacht	d̪ ɤː n̪ ə x t̪
dóendacht	d̪ ɤː n̪ a x t̪
dóendacht	d̪ ɯː n̪ ə x t̪
dóendacht	d̪ ɯː n̪ a x t̪
doeth	d̪ o h e θ
doeth	d̪ o h e h
dolus	d̪ˠ o l u s
dolus	d̪ˠ o l ə s
dorchacht	d̪ o ɾ ə x ə x t̪
dorchacht	d̪ o ɾ x ə x t̪
dorchacht	d̪ o ɾ ə x a x t̪
dorchacht	d̪ o ɾ x a x t̪
dorchatas	d̪ o ɾ ə x ə d̪ ə s
dorchatas	d̪ o ɾ x ə d̪ ə s
dorus	d̪ o ɾ u s
dorus	d̪ o ɾ ə s
dotét	d̪ o t̠ʲ eː d̪
drúis	d̪ ɾ uː ɕ
duille	d̪ u l̠ʲ ə
duine	d̪ u nʲ ə
ecla	e ɡ l ə
écsamail	eː ɡ s ə β̃ ə lʲ
ed	e ð
ed	e ɣ
Eithne	e θʲ nʲ ə
Eithne	e h nʲ ə
Érennach	eː ɾʲ ə n̪ ə x
Érennach	eː ɾʲ ə n̪ a x
Érinn	eː ɾʲ ə n̠ʲ
Ériu	eː ɾʲ u
Ériu	eː ɾʲ ə
es	e s
Espáin	e s p aː nʲ
Espáinech	e s p aː nʲ ə x
Espáinech	e s p aː nʲ a x
fáel	ɸ ɤː l
fáel	ɸ ɯː l
faílenn	ɸ ɤː lʲ ə n̪
faílenn	ɸ ɯː lʲ ə n̪
fáilte	ɸ aː l̠ʲ t̠ʲ ə
fer	ɸʲ e ɾ
feramlacht	ɸʲ e ɾ ə β̃ l ə x t̪
feramlacht	ɸʲ e ɾ ə β̃ l a x t̪
ferchuitred	ɸʲ e ɾ x u d̠ʲ ɾʲ ə ð
ferchuitred	ɸʲ e ɾ x u d̠ʲ ɾʲ ə ɣ
ferg	ɸʲ e ɾ ə ɡ
ferg	ɸʲ e ɾ ɡ
fés	ɸʲ eː s
fésóc	ɸʲ eː s oː ɡ
féthamail	ɸʲ eː θ ə β̃ ə lʲ
féthamail	ɸʲ eː h ə β̃ ə lʲ
fí	ɸʲ iː
fichetmad	ɸʲ i xʲ ə d̪ β̃ ə ð
fichetmad	ɸʲ i xʲ ə d̪ β̃ ə ɣ
fidchell	ɸʲ i ð xʲ ə l̪
fidchell	ɸʲ i ɣ xʲ ə l̪
filidecht	ɸʲ i lʲ ə ðʲ ə x t̪
filidecht	ɸʲ i lʲ ə ðʲ a x t̪
filidecht	ɸʲ i lʲ ə ɣʲ ə x t̪
filidecht	ɸʲ i lʲ ə ɣʲ a x t̪
finn	ɸʲ i n̪
finn	ɸʲ i n̠ʲ
finnaid	ɸʲ i n̪ ə ðʲ
finnaid	ɸʲ i n̪ ə ɣʲ
fis	ɸʲ i s
flann	ɸ l a n̪
Fódla	ɸ oː ð l ə
Fódla	ɸ oː ɣ l ə
follamnaigid	ɸ o l̪ ə β̃ n ə ɣʲ ə ðʲ
follamnaigid	ɸ o l̪ ə β̃ n ə ɣʲ ə ɣʲ
fonn	ɸ o n̪
for	ɸ o ɾ
forrúad	ɸ o r uː ə̯ ð
forrúad	ɸ o r uː ə̯ ɣ
frac	ɸ ɾ a ɡ
frestal	ɸʲ ɾʲ e s t̪ ə l
fuil	ɸ u lʲ
gabáil	ɡ a β aː lʲ
gáel	ɡ ɤː l
gáel	ɡ ɯː l
gáethamlacht	ɡ ɤː θ ə β̃ l ə x t̪
gáethamlacht	ɡ ɤː θ ə β̃ l a x t̪
gáethamlacht	ɡ ɯː h ə β̃ l ə x t̪
gáethamlacht	ɡ ɯː h ə β̃ l a x t̪
gáethmairecht	ɡ ɤː θ β̃ ə ɾʲ ə x t̪
gáethmairecht	ɡ ɤː θ β̃ ə ɾʲ a x t̪
gáethmairecht	ɡ ɯː h β̃ ə ɾʲ ə x t̪
gáethmairecht	ɡ ɯː h β̃ ə ɾʲ a x t̪
gáethmar	ɡ ɤː θ β̃ ə ɾ
gáethmar	ɡ ɯː h β̃ ə ɾ
gafann	ɡ a ɸ ə n̪
gaiscedach	ɡ a ɕ kʲ ə ð ə x
gaiscedach	ɡ a ɕ kʲ ə ð a x
gaiscedach	ɡ a ɕ kʲ ə ɣ ə x
gaiscedach	ɡ a ɕ kʲ ə ɣ a x
gall	ɡ a l̪
gemred	ɡʲ e β̃ʲ ɾʲ ə ð
gemred	ɡʲ e β̃ʲ ɾʲ ə ɣ
gér	ɡʲ eː ɾ
gerán	ɡʲ e ɾ aː n
gerr	ɡʲ e r
gilla	ɡʲ i l̪ ə
gillacht	ɡʲ i l̪ a x t
gillacht	ɡʲ i l̪ ə x t
gillán	ɡʲ i l̪ aː n
gillanrad	ɡʲ i l̪ ə n̪ ɾ ə ð
gillanrad	ɡʲ i l̪ ə n̪ ɾ ə ɣ
gláede	ɡ l ɤː ðʲ ə
gláede	ɡ l ɯː ɣʲ ə
glain	ɡ l a nʲ
grádaigidir	ɡ ɾ aː ð ə ɣʲ ə ðʲ ə ɾʲ
grádaigidir	ɡ ɾ aː ɣ ə ɣʲ ə ɣʲ ə ɾʲ
gúal	ɡ uː ə̯ l
gúalach	ɡ uː ə̯ l a x
gúalach	ɡ uː ə̯ l ə x
gúalaire	ɡ uː ə̯ l ə ɾʲ ə
guirid	ɡ u ɾʲ ə ðʲ
guirid	ɡ u ɾʲ ə ɣʲ
íarthar	iː ə̯ ɾ θ ə ɾ
íarthar	iː ə̯ ɾ h ə ɾ
íarthur	iː ə̯ ɾ θ u ɾ
íarthur	iː ə̯ ɾ h ə ɾ
icht	i xʲ t̠ʲ
ilar	i l ə ɾ
ímáig	iː β̃ aː ɣʲ
imdíched	i mʲ d̠ʲ iː xʲ ə ð
imdíched	i mʲ d̠ʲ iː xʲ ə ɣ
immallé	i m ə l̠ʲ eː
immdích	i mʲ d̠ʲ iː xʲ
immorro	ə m o r ə
inga	i ŋ ɡ ə
ingenach	i nʲ ə ɣʲ ə n a x
ingenach	i nʲ ɣʲ ə n a x
ingenach	i nʲ ə ɣʲ ə n ə x
ingenach	i nʲ ɣʲ ə n ə x
ingin	i nʲ ə ɣʲ ə nʲ
ingin	i nʲ ɣʲ ə nʲ
ingin	i ŋʲ ɡʲ ə nʲ
innáire	i n̪ aː ɾʲ ə
ithed	i θʲ ə ð
ithed	i hʲ ə ɣ
ithid	i θʲ ə ðʲ
ithid	i h ə ɣʲ
lagdaigid	l̪ a ɣ d̪ ə ɣʲ ə ðʲ
lagdaigid	l̪ a ɣ d̪ ə ɣʲ ə ɣʲ
Laigin	l̪ a ɣʲ ə nʲ
Laignib	l̪ a ɣʲ nʲ ə βʲ
Laigniu	l̪ a ɣʲ nʲ u
Laigniu	l̪ a ɣʲ nʲ ə
láitir	l̪ aː d̠ʲ ə ɾʲ
lán	l̪ aː n
láp	l̪ aː b
léir	l̠ʲ eː ɾʲ
lem	l̠ʲ e β̃
lenbán	l̠ʲ e n ə b aː n
lenbán	l̠ʲ e n b aː n
lennán	l̠ʲ e n̪ aː n
lethar	l̠ʲ e θ ə ɾ
lethar	l̠ʲ e h ə ɾ
lías	l̠ʲ iː ə̯ s
literda	l̠ʲ i t̠ʲ ə ɾ ð ə
literda	l̠ʲ i t̠ʲ ə ɾ ɣ ə
lúaith	l̪ uː ə̯ θʲ
lúaith	l̪ uː ə̯ h
mac	m a k
madrad	m a d̪ ɾ ə ð
madrad	m a d̪ ɾ ə ɣ
madramail	m a d̪ ɾ ə β̃ ə lʲ
maigden	m a ɣʲ d̠ʲ e n
mallacht	m a l̪ ə x t̪
mallacht	m a l̪ a x t̪
maní	m a nʲ iː
manitucad	m a nʲ i t̪ u ɡ ə ð
manitucad	m a nʲ i t̪ u ɡ ə ɣ
marbnad	m a ɾ β n ə ð
marbnad	m a ɾ β n ə ɣ
mathgamain	m a θ ɣ ə β̃ ə nʲ
mathgamain	m a x ə β̃ ə nʲ
mbás	m aː s
mboga	m o ɣ ə
Medb	mʲ e ð β
Medb	mʲ e ɣ β
Meidb	mʲ e ðʲ βʲ
Meidb	mʲ e ɣʲ βʲ
méin	mʲ eː nʲ
mell	mʲ e l̪
míanaige	mʲ iː ə̯ n ə ɣʲ ə
mic	mʲ i kʲ
Mide	mʲ i ðʲ ə
Mide	mʲ i ɣʲ ə
Midi	mʲ i ðʲ ə
Midi	mʲ i ɣʲ ə
midlach	mʲ i ð l a x
midlach	mʲ i ð l ə x
midlach	mʲ i ɣ l a x
midlach	mʲ i ɣ l ə x
minúit	mʲ i n uː d̠ʲ
mucc	m u k
muide	m u ðʲ ə
muide	m u ɣʲ ə
nÉrinn	n̠ʲ eː ɾʲ ə n̠ʲ
nHérinn	n̠ʲ eː ɾʲ ə n̠ʲ
ní	n̠ʲ iː
nigid	n̠ʲ i ɣʲ ə ðʲ
nigid	n̠ʲ i ɣʲ ə ɣʲ
nóedenán	n̪ ɤː ðʲ ə n aː n
nóedenán	n̪ ɯː ɣʲ ə n aː n
noídenda	n̪ ɤː ðʲ ə n̪ d̪ ə
noídenda	n͈ ɯː ɣʲ ə n̪ d̪ ə
nóin	n̪ oː nʲ
núa	n̪ uː ə̯
ó	oː
oc	o ɡ
oca	o ɡ ə
ócán	oː ɡ aː n
occo	o ɡ ə
occoras	o k ə ɾ ə s
ocus	o ɡ u s
ocus	o ɡ ə s
oisén	o ɕ eː n
oisín	o ɕ iː nʲ
olla	o l̪ ə
persa	pʲ e r s ə
persanda	pʲ e r s ə n̪ d̪ ə
peta	pʲ e t̪ ə
pían	pʲ iː ə̯ n
pipur	pʲ i b u ɾ
pipur	pʲ i b ə ɾ
préchán	pʲ ɾʲ eː x aː n
prep	pʲ ɾʲ e b
prím	pʲ ɾʲ iː β̃
prinnsa	pʲ ɾʲ i n̪ s ə
prísún	pʲ ɾʲ iː s uː n
reód	rʲ eː o̯ ð
reód	r e̯ oː ɣ
rí	rʲ iː
rí	r iː
rígad	rʲ iː ɣ ə ð
rígad	r iː ɣ ə ɣ
roboí	r o b ɤː
roboí	r o b ɯː
rós	r oː s
ructha	r u ɡ θ ə
ructha	r u k ə
sabdán	s a β d aː n
saigtech	s a ɣʲ d̠ʲ ə x
