Antananarivo	ə̥ n t ə̥ n aⁿ d͡ʐ i vʷ
Madagasikara	m a d a ɡ a s i kʲ a r a
N̈	ŋ
Sakamasay	s a k a m a s a i
Sakave	s a k a v e
ababe	a b a b e
abahana	b aː n
abahana	ə̥ b a h ə̥ n ə̥
abaribary	a b a ɾ i b a ɾʲ
abidy	a b i dʲ
abily	a b i lʲ
aboretaka	a b u ɾ e t a k ạ
adala	a d a l ạ
adana	a d
adary	a d a ɾʲ
adiady	a d i a dʲ
adiditra	a d i d i t͡ʂ ạ
adidy	a d i dʲ
adilotra	a d i l u t͡ʂ ạ
adina	a d i n ạ
adiny	a d i nʲ
adisanina	a d i s a n i n ạ
adonadona	a d u n a d u n ạ
ady	a dʲ
afafa	a f a f ạ
afafy	a f a fʲ
afahy	a f a ʔʲ
afaitra	a f a i t͡ʂ ạ
afaka	a f a k ạ
afakampitso	a f a k aᵐ p i t͡sʷ
afakomaly	a f a k u m a lʲ
afatotra	a f a t u t͡ʂ ạ
afatra	a f a t͡ʂ ạ
afioka	a f i u k ạ
afo	a fʷ
afofandiovana	a f u f aⁿ d i u v a n ạ
afokasoka	a f u k a s u k ạ
afonafona	a f u n a f u n ạ
afondolo	a f uⁿ d u lʷ
aforano	a f u ɾ a nʷ
afotana	a f u t a n ạ
afotroa	a f u t͡ʂ u ạ
afovato	a f u v a tʷ
afovoany	a f u v u a nʲ
afoy	a f uʲ
afy	a fʲ
ahady	a ʔ a dʲ
ahaingo	a ʔ a iᵑ ɡʲʷ
ahanahana	a ʔ a n a ʔ a n ạ
ahiahy	a ʔ i a ʔʲ
ahidrano	a ʔ i ɖ͡ʐ a nʷ
ahimaina	a ʔ i m a i n ạ
ahitra	a ʔ i t͡ʂ ạ
aholo	a ʔ u lʷ
ahonahona	a ʔ u n a ʔ u n ạ
ahy	a ʔ i
aiay	a j a j
aidina	a i d i n ạ
ainginaingina	a iᵑ ɡ i n a iᵑ ɡ i n ạ
aingitraingitra	a iᵑ ɡ i t͡ʂ a iᵑ ɡ i t͡ʂ ạ
akanakana	a k a n a k a n ạ
akanga	a k aᵑ ɡ ạ
akanjo	a k aⁿ d͡zʷ
akarenjy	a k a ɾ eⁿ d͡zʲ
akatra	a k a t͡ʂ ạ
akimpy	a k iᵐ pʲ
akio	a k iʷ
akisa	a k i s ạ
akofa	a k u f ạ
akohokely	a k u h u k e lʲ
ala	a l a
alazy	a l a zʲ
alika	a l i k a
amalona	a m a l u n ḁ
amboa	aᵐ b u a
amboadia	aᵐ b u a d i ạ
amboahaolo	aᵐ b u a ʔ a u lʷ
amboanala	aᵐ b u a n a l ạ
ampaha	aᵐ p a ʔ ḁ
ampondra	aᵐ p uⁿ ɖ͡ʐ a
ampongabendanitra	aᵐ p uᵑ ɡ a b eⁿ d a n i t͡ʂ ḁ
ampongy	aᵐ p uᵑ ɡ i
andevokorova	aⁿ d e v u k u ɾ u v ạ
andriana	aⁿ ɖ͡ʐ e n a
andriana	aⁿ ɖ͡ʐ i a n a
anglisy	ã ŋ ɡ l i ʂ
anoratana	ə n u ɽ ə t ə n ə
antsangy	aⁿ t͡s aᵑ ɡ i
aositrisy	o s i t͡ʂ i sʲ
avaratra	a v a ɾ a t͡ʂ ạ
babakoto	b a b a k u t u
balaonina	b a l o n i n ḁ
bibibiby	b i b i b i bʲ
bibikely	b i b i k e lʲ
bibilava	b i bʲ l a v
biriky	b i ɾ i kʲ
diakona	d i a k u n ạ
dite	d i t e
ditra	d i t͡ʂ ạ
elefanta	e l e f aⁿ t a
endrika	eᶯ ɖ͡ʐ i k a
endrina	eᶯ ɖ͡ʐ i n a
engana	eᵑ ɡ a n a
faitra	f a i t͡ʂ ạ
fala	f a l a
fana	f a n a
fanihy	f a n i ʔ i
fanontany	f a n uⁿ t a nʲ
fantatra	f aⁿ t a t͡ʂ ạ
farara	f a ɾ a ɾ ạ
farihy	f a ɾ i h i
fary	f a rʲ
firaka	f i r ə k ə̥
fivoriana	f i v u rʲ a n ạ
frantsay	f r a n t s a j
gidro	ɡ i ɖ͡ʐ u
goaika	ɡ u a i kʲ a
hetsi	h e t͡s i
hidirôzenina	ʔ i d i ɾ ô z e n i n ḁ
hoala	ʔ u a l ạ
horita	u r i t
isoratana	i s u r a t a n a
ividiana	i v i d e n
jejy	d͡z e d͡zʲ
jery	d͡z ɛ rʲ
karaoty	k a ɾ o tʲ
karibonetra	k a ɾ i b u n e t͡ʂ ḁ
kilema	k i l e m a
kiraru	k i l a r u
kolejy	k u l e d͡zʲ
konseritra	k u n s e ɾ i t͡ʂ ḁ
lakolosy	l a k u l u sʲ
laposety	l a p u s e tʲ
lasosy	l a s u sʲ
maky	m a kʲ
manoratra	m a n u r a t͡ʂ a
miaraka	m e r ə k
misoratra	m i s u r a t͡ʂ a
mitsoka	m i t͡s u k ạ
mozika	m u z i kʲ ḁ
nify	n i fʲ
n̈	ŋ
orona	u ɾ u n ḁ
osy	u sʲ
paoma	p a u m ạ
papango	p a p aᵑ ɡ u
rafiky	r a f i k i
rambo	ɾ aᵐ bʷ
sahona	s a u n
salama	s a l a m ə̥
saosisy	s o s i sʲ
sendrasendra	s eⁿ d͡ʐ a s eⁿ d ʐ a
sivy	s i vʲ
sodina	s u d i n a
solo	s u l u
sombily	s uᵐ b i l i
sorabe	s u r a b e
soratra	s u r a t͡ʂ a
tanety	t a n e t i
taratra	t a ɾ a t͡ʂ ḁ
tiorka	t i u ɾ k ạ
tsidiala	t s i d i a l a
tsy	t s i
tsy	t sʲ
vaovao	v a w v a w
vaovao	v o v o
varika	v a r i k a
vary	v a rʲ
vehivavy	v e h i v a v i
veloma	v e l u m ə̥
vivy	v i vʲ
voanio	vʷ a nʲ u̥
voanjo	vʷ aⁿ d͡zʷ
voasoratra	v o s u r a t͡ʂ a
voasoratra	v u a s u r a t͡ʂ a
voay	v u a j
volo	v u lʷ
voromahery	v u ɾ u m a ʔ e ɾʲ
vorombato	v u ɾ uᵐ b a tʷ
vorombola	v u ɾ uᵐ b u l ḁ
vorona	v u ɾ u n ḁ
vozona	v u z u n ạ
zamany	z a m a n i
