᠊ᠯᠠᠮᠪᡳ	l a m p i
᠊ᠯᠣᠮᠪᡳ	l ɔ m p i
᠊ᠯᡝᠮᠪᡳ	l ə m p i
᠊ᡤᠠᠨ	q a n
᠊ᡥᡝᠨ	χ ə n
᠊ᡧᡝᠮᠪᡳ	ʃ ə m p i
᠊ᡵᠣᠮᠪᡳ	r ɔ m p i
ᠠ	a
ᠠᠨ	a n
ᠠᠨᠠ	a n a
ᠠᠨᠠᠮᠪᡳ	a n a m p i
ᠠᠨᠠᡴᡡ	a n a qʰ ʊ
ᠠᠨᠵᡠ	a n t͡ʃ u
ᠠᠨᡨᠠᡥᠠ	a n tʰ a χ a
ᠠᠨᡨᠠᡥᠠᠰᡳ	a n tʰ a χ a ɕ i
ᠠᠨᡳᠶᠠ	a ɲ a
ᠠᠩᡤᠠ	a ŋ ŋ a
ᠠᠪᠠ	a p a
ᠠᠪᠠᠯᠠᠮᠪᡳ	a p a l a m p i
ᠠᠪᡩ᠋ᠠᡥᠠ	a p t a χ a
ᠠᠪᡴᠠ	a p k a
ᠠᠪᡴᠠ	a p qʰ a
ᠠᠪᡴᠠ	a p χ a
ᠠᠪᡴᠠ	a u χ a
ᠠᠪᡴᠠ	a v qʰ a
ᠠᠪᡴᠠ	a w qʰ a
ᠠᠪᡴᠠ	a w χ a
ᠠᠪᡴᠠ	ɑ p qʰ ə
ᠠᠪᡴᠠ	ɑ v qʰ ə
ᠠᠪᡴᠠᡳ	a p qʰ a i
ᠠᠮᠠ	a m a
ᠠᠮᠠᠯᠠ	a m a l a
ᠠᠮᠠᡴᠠ	a m a qʰ a
ᠠᠮᠠᡵᡤᡳ	a m a r k i
ᠠᠮᠪᠠ	a m p a
ᠠᠮᠪᠠᠨ	a m p a n
ᠠᠮᠪᡠ	a m p u
ᠠᠮᠪᡠᠮᠠ	a m p u m a
ᠠᠮᠵᡳ	a m t͡ɕ i
ᠠᠮᡠ	a m u
ᠠᠮᡤᠠᠮᠪᡳ	a m q a m p i
ᠠᠮᡥᠠ	a m χ a
ᠠᠮᡨᠠᠨ	a m tʰ a n
ᠠᠮᡨᠠᠩᡤᠠ	a m tʰ a ŋ ŋ a
ᠠᠮᡳᠯᠠ	a m i l a
ᠠᠮᡳᡥᡡᠨ	a m i χ ʊ n
ᠠᠯᠠ	a l a
ᠠᠯᠠᠵᠠᠨ	a l a t͡ʃ a n
ᠠᠯᠠᡧᠠᠨ	a l a ʃ a n
ᠠᠯᠴᡠᡴᠠ	a l t͡ʃʰ u qʰ a
ᠠᠯᡤᡳᠨ	a l k i n
ᠠᠯᡳᠨ	a l i n
ᠠᠯᡳᠨ	e i l i n
ᠠᠯᡳᠨ	ɛ l ĩ n
ᠠᠯᡳᡴᡡ	a l i qʰ ʊ
ᠠᠯᡳᡵᡝᠨ	a l i r ə n
ᠠᠰᡠ	a s u
ᠠᠰᡠᡴᡳ	a s u kʰ i
ᠠᠰᡥᠠ	a s χ a
ᠠᠰᡳᡥᠠᠨ	a ɕ i χ a n
ᠠᠴᠠᠨ	a t͡ʃʰ a n
ᠠᠴᠠᠮᠪᡳ	a t͡ʃʰ a m p i
ᠠᠵᠠ	a t͡ʃ a
ᠠᠵᡳᡤᡝ	a t͡ɕ i k ə
ᠠᠵᡳᡵᡤᠠᠨ	a t͡ɕ i r q a n
ᠠᠶᠠᠨ	a j a n
ᠠᡤᠠ	a q a
ᠠᡤᠠᠮᠪᡳ	a q a m p i
ᠠᡤᡝ	a k ə
ᠠᡥᠠ	a χ a
ᠠᡥᠠᠰᡳ	a χ a ɕ i
ᠠᡥᡡᠨ	a χ ʊ n
ᠠᡥᡡᠨᡨᠠ	a χ ʊ n tʰ a
ᠠᡧᠠ	a ʃ a
ᠠᡧᡧᠠᠮᠪᡳ	a ʃ ʃ a m p i
ᠠᡨᠠᠩᡤᡳ	a tʰ a ŋ ŋ i
ᠠᡩᠠᠯᡳ	a t a l i
ᠠᡩᠠᡵᠠᠮᡝ	a t a r a m ə
ᠠᡩᡠ᠋	a t u
ᠠᡩᡠ᠋ᠨ	a t u n
ᠠᡩᡠ᠋ᠯᠠᠮᠪᡳ	a t u l a m p i
ᠠᡩᡠ᠋ᠴᡳ	a t u t͡ɕʰ i
ᠠᡳ	a i
ᠠᡳ᠌ᠨᡠ	a i n u
ᠠᡳ᠌ᠨᡠ	a n
ᠠᡳ᠌ᠨᡠ	a n u
ᠠᡳᠨᡠ	a i n u
ᠠᡳᠨᡠ	a n
ᠠᡳᠨᡠ	a n u
ᠠᡳᠮᠠᠨ	a i m a n
ᠠᡳᠯᡳ	a i l i
ᠠᡳᠰᡳᠨ	a i ɕ i n
ᠠᡳᠴᡳ	a i t͡ɕʰ i
ᠠᡳᡥᠠ	a i χ a
ᠠᡳᡥᡡ	a i χ ʊ
ᠠᡳᡥᡡᠨ	a i χ ʊ n
ᠠᡳᡩᠠᡤᠠᠨ	a i t a q a n
ᠠᡳᡴᠠ	a i qʰ a
ᠠᡳᡶᡳᠨᡳ	a i f i n i
ᠠᡴ᠋ᠰᡠ	a kʰ s u
ᠠᡴᠠᠮᠪᡳ	a qʰ a m p i
ᠠᡴᠵᠠᠨ	a kʰ t͡ʃ a n
ᠠᡴᡡ	a qʰ ʊ
ᠠᡵᠠ	a r a
ᠠᡵᠠᠮᠪᡳ	a r a m p i
ᠠᡵᠠᡥᠠ	a r a χ a
ᠠᡵᠠᡵᠠ	a r a r a
ᠠᡵᠰᠠᠯᠠᠨ	a r s a l a n
ᠠᡵᠰᠠᡵᡳ	a r s a r i
ᠠᡵᠰᡠᠨ	a r s u n
ᠠᡵᡴᡝ	a r kʰ ə
ᠠᡵᡴᡳ	a r kʰ i
ᠠᡵᡶᠠ	a i l w ə
ᠠᡵᡶᠠ	a r f a
ᠣᠣᡯᡝ	oː t͡s ə
ᠣᠣᡵᡳ	oː r i
ᠣᠨ	ɔ n
ᠣᠨᠣᠨ	ɔ n ɔ n
ᠣᠨᠴᠣ	ɔ n t͡ʃʰ ɔ
ᠣᠩᡤᠣᠮᠪᡳ	ɔ ŋ ŋ ɔ m p i
ᠣᠩᡤᠣᠰᡠ	ɔ ŋ ŋ ɔ s u
ᠣᠩᡤᠣᠴᠣᠨ	ɔ ŋ ŋ ɔ t͡ʃʰ ɔ n
ᠣᠪᠣᠩᡤᡳ	ɔ p ɔ ŋ ŋ i
ᠣᠪᠣᠮᠪᡳ	ɔ p ɔ m p i
ᠣᠮᠣ	ɔ m ɔ
ᠣᠮᠣᠯᠣ	ɔ m ɔ l ɔ
ᠣᠮᡧᠣᠨ	ɔ m ʃ ɔ n
ᠣᠯᠣ	ɔ l ɔ
ᠣᠯᠣᠮᠪᡳ	ɔ l ɔ m p i
ᠣᠯᠪᠣ	ɔ l p ɔ
ᠣᠯᠵᡳ	ɔ l t͡ɕ i
ᠣᠯᠵᡳᠯᠠᠮᠪᡳ	ɔ l t͡ɕ i l a m p i
ᠣᠴᡳ	ɔ t͡ɕʰ i
ᠣᠵᠣᠮᠪᡳ	ɔ t͡ʃ ɔ m p i
ᠣᠶᠣ	ɔ j ɔ
ᠣᠶᠣᡴᡳ	ɔ j ɔ kʰ i
ᠣᡥᠣ	ɔ χ ɔ
ᠣᡥᠣᡨᠣᠨᠣ	ɔ χ ɔ tʰ ɔ n ɔ
ᠣᡧᠣᡥᠣ	ɔ ʃ ɔ χ ɔ
ᠣᡯᡝ	ɔ t͡s ə
ᠣᡴ᠋ᡨ᠋ᠣ	ɔ kʰ tʰ ɔ
ᠣᡴᡝ	ɔ kʰ ə
ᠣᡴᡨᠣ	ɔ kʰ tʰ ɔ
