Afkaat	ʔ a f kʰ ɒː t
Afteek	ʔ a f tʰ ɛ ɪ k
Apteek	ʔ a p tʰ ɛ ɪ k
Barg	b a ɾ x
Barg	b a ɾ ə x
Barg	b a̝ ɾ x
Barg	b a̝ ɾ ə x
Barg	b æ ɾ x
Barg	b æ ɾ ə x
Black	b l a k
Broot	b ʁ oː t
Buk	b uː k
Buuk	b uː k
Bärg	b a̝ ɾ x
Bärg	b a̝ ɾ ə x
Bärg	b æ ɾ x
Bärg	b æ ɾ ə x
Döst	d ø s t
Düörpm	d y̯ œ ɐ̯ p m̩
Geus	ɡ ɔː ɪ̯ z
Geus'	ɡ ɔː ɪ̯ z
Göös	ɡ œː ɪ̯ z
Göös'	ɡ œː ɪ̯ z
Huus	h uː s
Hüüs	h yːˑ z
Kind	k ɪ̃ː n t
Kind	kʰ ɪ̃ˑ n tʰ
Kraasch	k r ɒː ʃ
Kraasch	k r ɒː ʒ
Levend	l ɛː v ə n t
Lüüd	l yːˑ d
Mage	m ɒː ɣ ə
Mage	m ɔː ɣ ə
Margell	m a r ʝ ɛ l
Morgen	m ɔˑ ɐ̯ ŋ̍
Morgen	m ɔˑ ɾ ŋ̍
Morrn	m ɔː n
Morrn	m ɔˑ ɐ̯ n
Morrn	m ɔˑ ɾ n̩
Müüs	m yːˑ z
Ohr	ɔ u̯ ɾ
Schacht	s k a x t
Schacht	s x a x t
Schacht	ʃ a x t
Skacht	s k a x t
Skacht	s x a x t
Skacht	ʃ a x t
Slang	s l a ŋ k
Staff	s t a f
Tügen	t yː ɡ ŋ̍
Tüüg	t yː x̟
Tüüg	t yː ç
Vader	f aː d ɐ
Water	v aː t ɐ
anner	a n ɐ
beden	b eː dⁿ n̩
beden	b i ɛ̯ dⁿ n̩
beden	b ɛ ɪ̯ dⁿ n̩
beden	b ɛː dⁿ n̩
bedregen	b e d r eː ɡ ŋ̩
bedregen	b e d r ɛ ɪ̯ ɡ ŋ̩
bieten	b iː t n̩
binnen	b ɪˑ n n̩
blot	b l o ʊ̯ t
blots	b l o ʊ̯ t s
breken	b r eː k ŋ̍
böten	b œ ɪ̯ tⁿ n̩
dat	d a̝ t
dat	d æ t
doon	d o ʊ̯ n
doon	d oː n
dregen	d r ɛ ɪ̯ ɡ ŋ̩
dwingen	d ʋ ɪ ŋ ŋ̩
dwingen	d ʋ ɪ ŋ ə n
dünken	d ʏ ŋ k n
dünken	d ʏ ŋ k n̩
düppen	d ʏ p m̩
god	ɡ o ʊ t
god	ɣ o ʊ t
god	ɣ ɔ ʊ t
iähr	j ɛ ɐ̯
kamen	k ɒː m m̩
leeg'	l ɛː ɪ ʝ
lif	l iː f
liäben	l i̯ ɛ b m̩
lopen	l oː p m̩
lopen	l ɔ ʊ̯ p m̩
lęven	l ɛː v ə n
morgens	m ɔː n s
morgens	m ɔː ŋ s
morgens	m ɔˑ ɐ̯ n s
morgens	m ɔˑ ɐ̯ ŋ s
morgens	m ɔˑ ɾ n̩ s
morgens	m ɔˑ ɾ ŋ̍ s
morrns	m ɔː n s
morrns	m ɔˑ ɐ̯ n s
morrns	m ɔˑ ɾ n̩ s
nachtens	n a x n̩ s
nich	n ɪ
nich	n ɪ ç
swellen	s v ɛ l̩ n
waar	ʋ ɔː ɾ
warken	v a ɾ ʔ ŋ̩
warken	β a ɾ k ɘ n
wo	w ɔ ʊ̯
