achten	a x t n̩
achten	a x t ə n
achtergahn	ɑ x t ə ɡ ɒː n
achtergahn	ɑ x t ə ɡ ɔː n
an	a n
an	aː n
an	ɒː n
an	ɔː n
balstürig	b a l s t yː r ɪ ç
befehlen	b ə f eː l ə n
begraven	b ə ɡ r aː v ə n
bi	b iː
binnen	b ɪ n ə n
bringen	b r ɪ ŋ ə n
bringen	b r ɪˑ ŋ ŋ̩
buten	b uː t ə n
de	d e ɪ
de	d eː
de	d ɛ ɪ̯
deel	d eː l
deel	d ɛ ɪ̯ l
dei	d a ɪ̯
dei	d ɛ ɪ̯
doon	d o ʊ̯ n
dröven	d r øː v ŋ̩
dröven	d r øː v ə n
dwingen	d v ɪ ŋ ə n
döpen	d øː p ŋ̩
döpen	d øː p ə n
dören	d øː r ŋ̩
dören	d øː r ə n
dörven	d œ r v n̩
dörven	d œ r v ə n
döör	d øː ɐ̯
döör	d œː ɐ̯
düppen	d y p ŋ̩
düppen	d y p ə n
ehr	eː r
ehr	eː æ
ehr	eː ə
ehr	ɛː r
ehr	ɛː æ
ehr	ɛː ə
ehrder	eː ʁ d ə ʁ
ehren	eː r ə n
eine	a ɪ̯ n ə
eine	ɛ ɪ̯ n ə
ene	ɛ ɪ̯ n ə
eten	eː t ə n
fallen	f a lː n̩
fallen	f a lː ə n
farwe	f a r w ə
farwe	f aː v ə
fechten	f ɛ x t n̩
fent	f ɛ n t
fick	f ɪ k
foot	f ɔ ʊ̯ t
foot	f ɛ ʊ̯ t
färöer	f ɛː r øː ə r
füllen	f ʏ lː ə n
gau	ɡ a ʊ̯
gebett	ɡ ə b e t
gemeen	ɡ ə m e ɪ n
gemeende	ɡ ə m e ɪ n d ə
gemeenschop	ɡ ə m e ɪ n ʃ o p
gluustern	ɡ l uː s t ə r n
god	ɡ o ʊ t
god	ɣ o ʊ t
god	ɣ ɔ ʊ t
goos	ɡ oː s
hand	h a n t
hunger	h ʊ ŋː ə r
ick	ɪ k
jung	j ʊ ŋ k
kamen	k ɒː m ə n
kennen	k ɛ n n ə n
klöör	k l œ ɪ̯͡ɐ
koolt	kʰ ɔː ɫ t
kopen	k oː p ə n
krieg	k ɾ iː x
krieg	k ɾ iː ç
könen	k øː n ə n
köpen	k øː p ə n
lachen	l a xː ə n
laden	l aː d n̩
laden	l aː d ə n
leggen	l e ɣː ə n
leggen	l ɛ ŋ
leggen	l ɛ ɡː ə n
leggen	l ɛ ɣː ə n
luustern	l uː s t ə r n
löken	l øː k ə n
löven	l øː v ə n
lüüstern	l yː s t ə r n
maken	m aː k ə n
maken	m æː k ə n
maken	m ɑː k ə n
maken	m ɒː k ə n
maken	m ɔ ʊ̯ k ə n
mi	m i
morgen	m ɔ͡ɐ ŋ̩
mögen	m øː ŋ
mögen	m øː ɣ ə n
mögen	m œː ŋ
mögen	m œː ɣ ə n
möten	m øː t n̩
möten	m øː t ə n
nich	n ɪ
nich	n ɪ ç
ohr	ɔ u̯ ɾ
oog	o ʊ x
orlog	o ʊ ɾ l ɔ x
plattdüütsch	p ɫ ɑ ʈ d yː t͡ʃ
sang	s a ŋ k
sang	z a ŋ k
schaad	ʃ aː d
schaden	s x aː ð ə n
schaden	ʃ ɒː d ə n
schirrwarken	ʃ ɪ ɾ v ɑ͡ɐ k n̩
schölen	ʃ øː l ə n
seggen	z ɛ ɡ ə n
sehn	s e ɪ n
sehn	s eː n
sehn	s ɛ ɪ n
sehn	s̺ e ɪ n
sehn	s̺ eː n
sehn	s̺ ɛ ɪ n
sehn	s̺ ɛː n
sehn	z e ɪ n
sehn	z eː n
sehn	z ɛ ɪ n
sien	z iː n
slaan	s l ɒː n
slaan	s l ɔː n
smuustern	ʃ m uː s t ə r n
smüüstern	ʃ m yː s t ə r n
stahn	s t ɒː n
stark	s t a r k
stark	s t aː k
striden	s t ɾ iː d n̩
striden	ʃ t ɾ iː d n̩
strieden	s t ɾ iː d n̩
strieden	ʃ t ɾ iː d n̩
swart	s v a t
swart	s v aː t
swart	s w a r t
swart	s w a t
swart	s w aː t
swart	z w a r t
swart	z w aː t
swellen	s v ɛ l ə n
söken	s øː k ə n
söken	s œ ʏ k ə n
söken	z øː k ə n
söken	z œ ʏ k ə n
tellen	t ɛ lː ə n
urlog	uː ɾ l ɔ x
vergeten	f ə r ɡ eː t ə n
vergeten	f ə r ɡ ɛː t ə n
verköpen	v ə r k øː p ə n
wann	w a nː
wann	ʋ a n
wann	ʋ ɑ n
wannehr	ʋ a n n eː r
wannehr	ʋ a n n ɪː r
warken	v a͡ɐ k n̩
wenn	v ɛ n
westfalen	v ɛ s t f ɔː l n̩ ~ v ɛ s t f ɒː l n̩ ~ v ɛ s t f oː l n̩
westfalen	ʋ ɛ s t f aː l n̩ ~ ʋ ɛ s t f ɔː l n̩
wild	w ɪ l t
winken	v ɪ ŋ k ə n
winken	w ɪ ŋ k ə n
wüllen	v ʏ l ə n
wüllen	w ʏ lː ə n
över	øː v ɛ r
üm	u m
üm	y m
ünnergahn	y n ə r ɡ ɒː n
ünnergahn	y n ə r ɡ ɔː n
ünnergahn	y n ə ɡ ɒː n
ünnergahn	y n ə ɡ ɔː n
ę	æ ə
ę	æː
ę	ɛ ə
ę	ɛː
