A	aː
a.u.b.	aː y b eː
Aa	aː
aad	aː t
Aad	aː t
Aadje	aː t j ə
Aadorp	aː d ɔ r p
Aafje	aː f j ə
Aagje	aː x j ə
aagje	aː x j ə
aagt	aː x t
aagtappel	aː x t ɑ p ə l
Aagtekerke	aː x t ə k ɛ r k ə
Aagtje	aː x t j ə
aai	aː i̯
aaibaar	aː i̯ b aː r
aaibaarheid	aː i̯ b aː r ɦ ɛ i̯ t
aaibaarheidsfactor	aː i̯ b aː r ɦ ɛ i̯ t s f ɑ k t ɔ r
aaien	aː i̯ ə n
aaien	aː i̯ ə
aaiing	aː i̯ ɪ ŋ
aak	aː k
aaks	aː k s
Aaksens	aː k s ə n s
aal	aː l
Aalbeek	aː l b eː k
Aalbers	aː l b ə r s
Aalbert	aː l b ɛ r t
aalbes	aː l b ɛ s
aalbessengelei	aː l b ɛ s ə n ʒ ə l ɛ i̯
aalbessengelei	aː l b ɛ s ə ʒ ə l ɛ i̯
aalbessenjam	aː l b ɛ s ə n ʒ ɛ m
aalbessenjam	aː l b ɛ s ə ʒ ɛ m
aalbessenjenever	aː l b ɛ s ə n j ə n eː v ə r
aalbessenjenever	aː l b ɛ s ə j ə n eː v ə r
aalbessensap	aː l b ɛ s ə n s ɑ p
aalbessensap	aː l b ɛ s ə s ɑ p
aalbessenstruik	aː l b ɛ s ə n s t r œ y̯ k
aalbessenstruik	aː l b ɛ s ə s t r œ y̯ k
aalbessesap	aː l b ɛ s ə s ɑ p
aalbessestruik	aː l b ɛ s ə s t r œ y̯ k
Aalbrecht	aː l b r ɛ x t
Aalburg	aː l b ʏ r x
Aalden	aː l d ə n
Aalden	aː l d ə
Aalderik	aː l d ə r ɪ k
Aalderinkshoek	aː l d ə r ɪ ŋ k s ɦ u k
Aaldert	aː l d ə r t
Aaldonk	aː l d ɔ ŋ k
Aaldrik	aː l d r ɪ k
aalfuik	aː l f œ y̯ k
aalgeer	aː l ɣ eː r
aalglad	aː l ɣ l ɑ t
aalkorf	aː l k ɔ r f
aalkuip	aː l k œ y̯ p
aalmoes	aː l m u s
aalmoezenier	aː l m u z ə n iː r
aalmoezenierschap	aː l m u z ə n iː r s x ɑ p
aalmoezenierschappen	aː l m u z ə n iː r s x ɑ p ə n
aalmoezenierschappen	aː l m u z ə n iː r s x ɑ p ə
aalmoezenierskamer	aː l m u z ə n iː r s k aː m ə r
aaloud	aː l ɑ u̯ t
aalpomp	aː l p ɔ m p
aalput	aː l p ʏ t
Aalrik	aː l r ɪ k
Aalsburg	aː l s b ʏ r x
aalschaar	aː l s x aː r
aalscholver	aː l s x ɔ l v ə r
Aalsmeer	aː l s m eː r
aalspeer	aː l s p eː r
Aalst	aː l s t
aalstal	aː l s t ɑ l
aalsteek	aː l s t eː k
aalsteker	aː l s t eː k ə r
Aalstervelden	aː l s t ə r v ɛ l d ə n
Aalstervelden	aː l s t ə r v ɛ l d ə
