Agder	² a ɡ d ə r
Agder	¹ a ɡ d ə r
Alna	² a l n a
Alna	² æː ɽ n a
Alver	² a l v e r
Alver	² œ l v œ r
Alver	² ɔ l v ɔ r
Alvera	a l v æː r a
Andebu	² a nː ə b ʉ
Andebu	² aː n b ʉ
Arnbjørn	a m b j œ r n
Arnbjørn	a n b j œ r n
Arndor	² a n d u
Arndor	² a n d uː r
Arne	aː ɳ ə
Arne	² aː r n ə
Arnfinn	² a n f ɪ nː
Arnstein	² a r n s t ɛ ɪː n
Arntor	² a n t uː r
Arnved	² a n v ə
Arnved	² a r n v ə
Arnvid	² a n v ɪ
Arnvid	² a r n v ɪ
Arved	² a r v ə
Arvid	² a r v i d
Arvid	² a r v ɪ
Asgeir	² a s j ɛ ɪ r
Asgeir	² a s ɡ ɛ ɪ r
Aslak	ɑː s l ɑ k
Aslak	ɑː ʃ l ɑ k
Asperen	² a s p ə ɳ
Astrid	² a s t r ɪ
Auda	² œ ʊː a
Aude	² œ ʊː ə
Audgeir	² œ ʊː j ɛ ɪ r
Audmund	² œ ʊː m ʊ n d
Audun	² œ ʊː d ʉ n
Audun	² œ ʊː ʊ n
Audvard	² œ ʊː v aː r
Audvard	² œ ʊː v aː ɽ
Austrheim	² œ ʊ s t r ɛ ɪː m
Beitstad	² b ɛ ɪ s t a
Beitstad	² b ɛ ɪː s t a
Beitstaden	² b ɛ ɪ s t a n
Beitstaden	² b ɛ ɪː s t a n
Bergen	b æ r n
Bergen	¹ b ɛ r ɡ ə n
Betlehem	b eː t l ə h ɛ m
Betlehem	b eː t l ɛ m
Biri	b iː r i
Bitdal	² b i dː aː l
Bitdal	² b i t aː l
Bivrost	² b ɪː v r o s t
Bjarne	² b j a r n ə
Bjerne	² b j ɛ d n ə
Bjerne	² b j ɛ nː ə
Bjerne	² b j ɛ r n ə
Bjørgvin	² b j ø r ɡ v ɪ n
Bjørn	b j œ d n
Bjørn	b j œ nː
Bjørn	b j œ r n
Bjørnøya	² b j œ nː œ ʏː a
Bjørnøya	² b j œ r n œ ʏː a
Bjørvika	² b j ø r v iː k a
Bodø	² b uː d øː
Bordøy	² b uː r œ ʏː
Bordøy	² b uː ɽ œ ʏː
Borg	b o r ɡ
Borg	b œ r j
Brage	² b r aː ɡ e
Brage	² b r aː ʝ e
Bragernes	² b r aː n e s
Bragernes	² b r aː ɡ ə r n e s
Buskerud	² b ʉ s k ə r ʉ
Bygdin	² b ʏ ɡ d i n
Byrge	² b ʏ r j ə
Byrge	² b ʏ r ɡ ə
Bård	b ɔː r
Bård	b ɔː r d
Bård	b ɔː ɽ
Børge	² b ø r j ə
Børge	² b ø r ɡ ə
DVD	d eː ʋ ə d eː
Dalvik	² d aː l v iː k
Dana	² d aː n a
Dovre	² d o v r ə
Dovre	² d ɔ v r ə
Drammen	d r a mː n̩
Drammen	d r a mː ə n
Dramn	d r a m n
Dramn	d r a mː n̩
Drøbak	¹ d r ø b a kː
Drøbak	¹ d r øː b a kː
Dvalen	² d v aː l ə n
Dåen	² d ɔː ə n
Edgar	¹ ɛ dː ɡ aː r
