A	a
A	ɑː
ABC	ɑː b ɛ s eː
AD	a nː ʊ d ʊ m iː n ɪ
AD	ɑː d eː
Abessinia	a b ə s iː n ɪ a
Abild	ɑː b ɪ l
Abild	ɑː b ɪ l d
Abkhasia	a b k ɑː s ɪ a
Afghanistan	ɑ f ɡ ɑ n ɪ s t ɑ n
Albania	ɑ l b ɑ n j ɑ
Algerie	ɑ l ʃ ə ɾ ɪː
Andorra	a n d ɔ rː a
Angola	ɑ ŋ ɡ u l ɑ
Arendal	ɑː ɳ̩ d ɑː l
Arendal	ɑː ʁ n̩ d ɑː l
Argentina	ɑ ɾ ɡ ə n t ɪː n ɑ
Armenia	ɑ ɾ m ɛː n j ɑ
Aruba	ɑ ɾ ʉː b ɑ
Australia	æ ʉ s t ɾ ɑː l j ɑ
B	b
B	b eː
Beijing	b æ j d ʒ ɪ ŋ
Bergen	b ɛ r ɡ ə n
Boadicea	b uː d ɪ s eː a
Boudica	b uː d ɪ k a
Boudicca	b uː d ɪ kː a
Bouvetøya	b u ʋ ɛ ø j ɑ
C	k
C	k a r b uː n
C	k ʊ l ɔ m b
C	s
C	s eː
C	s iː
C	s ɛ l s ɪ ʉ s
C	t ʃ
C	ʃ
CD	s eː d eː
Christiansand	k r ɪ s t ɪ a n s a n
Christianssand	k r ɪ s t ɪ a n s a n
Christianssund	k r ɪ s t j a n s ʉ n
Copenhagen	k o ʊ p ə n h e ɪ ɡ ə n
Cuba	kʰ ʉ̀ː b ɑ
DD	d eː d eː
DD	d eː d ɑː ɡ
DD	d eː d ɑː ɡ n̩
DD	d uː n ɑ l d ʉ k
DD	d ɑː t a m a ŋ ə l
DD	d ɑː ɡ
DD	d ɔ bː ə l d ɔ bː ə l
DDMMÅÅ	d ɑː ɡ m ɔː n ə ɔː r
DDMMÅÅÅÅ	d ɑː ɡ m ɔː n ə ɔː r
DVD	d eː ʋ ə d eː
Domini	d ʊ m iː n ɪ
Donaldisme	d uː n ɑ l d ɪ s m ə
Donaldismen	d uː n ɑ l d ɪ s m n̩
Drammen	d r a mː n̩
Egersund	eː ɡ ɛ ʁ s ʉ n
Egersund	eː ɡ ɛ ʂ ʉ n
Emajõgi	e m ɑ j ɤ ɡ ɪ
Emajõgi	eː m a j oː ɡ ɪ
Finland	f ɪ n l ɑ n
Frederiksstad	f r ɛ d ə r ɪ k s t ɑː
Fredriksstad	f r ɛ d r ɪ k s t ɑː
Fredrikstad	f r ɛ d r ɪ k s t ɑː
Glittertind	ɡ l ɪ tː ə ʁ t ɪ n d
Glittertind	ɡ l ɪ tː ə ʈ ɪ n d
Glittertinden	ɡ l ɪ tː ə ʁ t ɪ n d n̩
Glittertinden	ɡ l ɪ tː ə ʈ ɪ n d n̩
Glomma	ɡ l ɔ mː a
Grønland	ɡ r œ n l ɑ nː
Gudbrandsdalen	² ɡ ʉ b r ɑ n s d ɑː ɳ
Gudbrandsdalen	ɡ ʉ d b r a n s d ɑː l n̩
HB	h oː b ə
Hallingdal	h a lː ɪ ŋ d ɑː l
Hansnes	h a n s n eː s
Haugesund	h æ ʉ ɡ ə s ʉ n
Helsingfors	h ɛ l s ɪ ŋ f ɔ ʁ s
Helsingfors	h ɛ l s ɪ ŋ f ɔ ʂ
Hobøl	h ɔ b ə ɽ
Hyundai	h j ʉ n d a ɪ
Hyundai	h ʉ n d a ɪ
Håkon	h oː k ʊ n
I	iː
Isdalen	iː s d ɑː l n̩
Jesus	j eː s ʉ s
Jõgeva	j ɔ ɡ ɛ ʋ a
Jūrmala	j uː r m a l a
Karlsøy	k ɑː ɭ s œ ʏ
Karlsøy	k ɑː ʁ l s œ ʏ
Karlsøya	k ɑː ɭ s œ ʏ a
Karlsøya	k ɑː ʁ l s œ ʏ a
Karmøy	k a r m œ ʏ
Kjøben	ç øː b n̩
Kjøpenhavn	ç øː p n̩ h a ʋ n
Kristiansand	k r ɪ s t ɪ a n s a n
Kristianssund	k r ɪ s t j a n s ʉ n
Kristiansund	k r ɪ s t j a n s ʉ n
Kuwait	k ʉ ʋ a ɪ t
Köln	k œ l n
København	ç øː b n̩ h a ʋ n
København	ç øː p n̩ h a ʋ n
London	l ɔ n d ɔ n
Longyearbyen	l ɔ ŋ j eː r b yː ə n
Lund	l ʉ n
MM	m ɔː n ə d
MM	ɛ m ɛ m
Molde	m ɔ l d ə
Mosjøen	m uː ʃ ø ə n
Moskva	m ɔ s k ʋ a
Norge	n o r ɡ e
OL	uː e l
Olav	uː l ɑ ʋ
Oslo	ʊ s l ʊ
Oslo	ʊ ʃ l ʊ
Porsgrunn	p ɔ ʂ ɡ r ʉ n
Portugal	pʰ ù ʈ ʉ ɡ ɑː l
Praha	p r ɑː h a
Riga	r iː ɡ a
Selbu	s æ ɽ b ʉː
Seoul	s ɔ ʊ l
Skien	² ʃ eː n̩
Skiptvet	² ʃ æ t ʋ e
Skiptvet	² ʃ ɪ p t ʋ ɛ t
Skudeneshavn	s k ʉː d ɛ n ə s h a ʋ n
Spydeberg	s p ʏ d b æ r
Stavanger	s t a ʋ a ŋː ə r
Stockholm	s t ɔ kː h ɔ l m
Svalbard	s v ɑ̂ː ɫ b ɑ r
Svelvik	² s ʋ æ ɽ ʋ iˑ k
Svelvik	² s ʋ ɛ ɽ ʋ iˑ k
Sæter	s eː t ə r
