Abril	ə b ɾ iː l
Agostu	ə ɡ oː s t u
Angeles	äː ŋ ɛ l ɛ s
Balibago	b ə l ɪ b äː ɡ o
Baliuag	b ə l iː w ə ɡ
Banag	b äː n ə ɡ
Bautista	b ä ʊ̯ t iː s t ə
Biernis	b j ɛː ɾ n i s
Cabrera	k ə b ɾ ɛː ɾ ə
Calma	k äː l m ə
Cayanan	k ə j äː n ə n
Cordero	k o ɾ d ɛː ɾ o
Dau	d ə u
David	d ə b iː d
Disiembri	d ɪ ʃ ɛː m b ɾ i
Eneru	ɛ n ɛː ɾ u
Gatus	ɡ äː t u s
Guinto	ɡ iː n t o
Guintu	ɡ iː n t u ʔ
Huebis	w ɛː b i s
Hulyu	uː l j u
Hunyu	uː n j u
Kapampangan	k ə p ə m p äː ŋ ə n
Kulitan	k ʊ l ɪ t ä n
Lacsina	l ə k s iː n ə
Lau	l äː u ʔ
Lawu	l äː w u ʔ
Layug	l äː j u ɡ
Lunis	l uː n i s
Macabebe	m ə x ə b ɛː b ɛː
Malpitic	m ə l p ɪ t i k
Manalese	m ə n ə l ɛ s ɛ
Mananquil	m ə n ə ŋ k i l
Manguerra	m ə ŋ ɡ ɛː r ə
Manliclic	m ə n l iː k l i k
Manlutac	m ə n l uː t ə k
Marimla	m ə ɾ iː m l ə
Marsu	m äː ɾ s u
Martis	m äː ɾ t i s
Mayu	m äː j u
Melegrito	m ɛ l ɛ ɡ ɾ iː t o
Menila	m ɛː n iː l ə ʔ
Mierkulis	m j ɛː ɾ k ʊ l i s
Minalin	m ɪ n ə l i n
Musni	m uː s n i
Mutuc	m uː t u k
Nobiembri	n o b j ɛː m b ɾ i
Ochoa	o t͡ʃ oː ə
Oktubri	o k t uː b ɾ i
Pacheco	p ə t͡ʃ ɛː x o
Pamintuan	p ə m ɪ n t uː ə n
Pampanga	p ə m p äː ŋ ɡ ə
Pandacaqui	p ə n d ə x äː k i
Panlaqui	p ə n l äː x i
Paralayunan	p ə ɾ ə l ə j uː n ə n
Pebreru	p ɛ b ɾ ɛː ɾ u
Pilipinas	p ɪ l ɪ p iː n ə s
Pineda	p ɪ n ɛː d ə
Porac	p oː ɾ ə k
Punzalan	p ʊ n s ə l ä n
Rodriguez	ɾ o d ɾ iː ɡ ɛ s
Ronquillo	ɾ o ŋ k iː l j o
Sabadu	s äː b ə d u
Salapungan	s ə l ə p uː ŋ ə n
Salusu	s ə l uː s u
Sanchez	s äː n t͡ʃ ɛ s
Sasmuan	s ə s m w ä n
Septiembri	s ɛ p t͡ʃ ɛː m b ɾ i
Sexmoan	s ɛ k s m w ä n
Sexmoan	s ɛ s m w ä n
Sicat	s iː x ə t
Sigua	s iː ɡ w ə
