aapa	aː p a
aaṉarinyi	aː ɳ a r i ɲ i
ananyi	a n a ɲ i
inuṟa	i n u ɻ a
kapi	k a p i
katinyi	k a t i ɲ i
kulini	k u l i n i
kungka	k u ŋ k a
kutju	k u c u
kutjuparinyi	k u c u p a r i ɲ i
mai	m a i̯
mani	m a n i
miita	m iː t a
minyma	m i ɲ m a
ngalkuṉi	ŋ a l k u ɳ i
ngiṉṯaka	ŋ i ɳ ʈ a k a
ngultju	ŋ u l c u
nyaḻpi	ɲ a ɭ p i
nyinanyi	ɲ i n a ɲ i
palya	p a ʎ a
palyaṉi	p a ʎ a ɳ i
papa	p a p a
patjaṉi	p a c a ɳ i
pitjantjara	p ɪ c a ɲ c a ɾ a
pitjantjatjara	p i c a n c a c a r a
punganyi	p u ŋ a ɲ i
puḻi	p u ɭ i
puḻka	p u ɭ k a
taunu	t a w u n u
tjikini	c i k i n i
tjitji	c i c i
tjiḻpi	c i ɭ p i
wangka	w a ŋ k a
wati	w a t i
