Kuskatan	k uː s k a t a ŋ
Kuskatan	ɡ uː s k a t a ŋ
Kwajtemalan	kʷ a h t eː m a l a ŋ
Meshijku	m eː ʃ i h k u
achtu	a t͡ʃ t u
acoat	a k u a t
acoat	a k u w a t
acoat	a ɡ u a t
acoat	a ɡ u w a t
acoyot	a k u j u t
acoyot	a ɡ u j u t
ahat	a h a t
ahco	a h k u
ahuacat	a w a k a t
ahuacat	a w a ɡ a t
ajshitia	a h ʃ i t i a
ajsi	a h s i
ajwi	a h w i
ajwiak	a h w i j a k
ajwilia	a h w i l i a
amat	a m a t
anmejemet	a n m e h e m e t
apan	a p a ŋ
ashan	a ʃ a ŋ
ashan	aː ʃ aː ŋ
ashnuj	a ʃ n u h
at	a t
axnoh	a ʃ n u h
ayotoch	a j u t u t͡ʃ
ayotzin	a j u t͡s i ŋ
cahuayoh	k a w a j u h
cal	k a l
cal	k a ɬ
cal	k a ɬʲ
cal	k aː l
cal	ɡ a l
calat	k a l a t
caltapach	k a l t a p a t͡ʃ
caltapach	ɡ a l t a p a t͡ʃ
canauhti	k a n a w t i
caztiyah	k a s t i j a h
cha	t͡ʃ a
chan	t͡ʃ a ŋ
chapulin	t͡ʃ a p u l i n
chiknawi	t͡ʃ i k n aː w i
chikume	t͡ʃ i k uː m e
chikwasen	t͡ʃ i kʷ a s eː ŋ
chikwey	t͡ʃ i kʷ eː j
chil	t͡ʃ i l
chil	t͡ʃ i ɬ
chiltik	t͡ʃ i l t i k
chiltik	t͡ʃ iː l t i k
chiltik	t͡ʃ iː ɬ t i k
chiwa	t͡ʃ i w a
coat	k u w a t
coat	kʷ a t
coat	ɡ u w a t
coque	k u k e
coque	ɡ u ɣ e
coquetzpal	k u k e t͡s p a l
coquetzpal	k uː ɣ e t͡s p a ɬ
ehecat	e h e k a t
ehecat	e h e ɡ a t
elot	e l u t
elot	e lʲ u t
elot	e ɬ u t
epat	e p a t
et	e t
ezti	e s t i
ijpak	i h p a k
ilwia	i l w i j a
ina	iː n a
inte	i n t eː
ipan	i p a ŋ
ishpan	iː ʃ p a ŋ
itan	i t a ŋ
itta	i t a
itta	i ð a
ix	i ʃ
kajkawa	k a h k a w a
kakawani	k a k a w a n i
kakawani	ɡ a ɣ a w a n i
kashtul	k a ʃ t u l
ketza	k e t͡s a
ketza	ɣ e t͡s a
kulut	k uː l u t
kulut	ɡ uː l u t
kumit	k u m i t
kumit	k uː m i t
kumit	ɡ uː m i t
kunet	k u n eː t
kunet	ɡ u n eː t
kuyamet	k u j a m e t
kuyamet	ɡ u j a m e t
kuyut	k u j uː t
kuyut	ɡ u j uː t
kwa	kʷ a
kwawit	kʷ a w i t
kwawti	kʷ aː w t i
kwechwaj	kʷ e t͡ʃ w a h
kwi	kʷ i
kwilin	kʷ i l i ŋ
kwishti	kʷ i ʃ t i
kwitaululujtzin	kʷ i t a w u l u l u h t͡s i ŋ
machtia	m a t͡ʃ t i j a
machtia	m a t͡ʃ t j a
majtakti	m a h t a k t i
maka	m a k a
maka	m a ɣ a
makwil	m a kʷ i ɬ
makwil	m aː kʷ i l
mapachin	m aː p a t͡ʃ i ŋ
masat	m a s aː t
mati	m a t i
mekat	m e k a t
mekat	m e ɣ a t
metzti	m eː t͡s t i
mewa	m e w a
mey	m e j
mey	m eː j
michin	m i t͡ʃ i ŋ
miki	m i k i
miki	m i ɣ i
miktia	m i k t i j a
miktia	m i k t j a
mishti	m i ʃ t i
mistun	m i s t uː ŋ
mistun	m i ʃ t uː ŋ
mulkit	m u l k i t
mulkit	m u l k iː t
musta	m u s t a
musta	m uː s t a
muta	m u t a
mututzin	m u t u h t͡s i ŋ
