Є	j ɛ
Єгипет	j ɛ ɦ i p ɛ t
Єгипта	j ɛ ɦ i p t a
Єгиптом	j ɛ ɦ i p t ɔ m
Єгипту	j ɛ ɦ i p t u
Єгиптян	j ɛ ɦ i p c a n
Єгиптянка	j ɛ ɦ i p c a ŋ k a
Єлена	j ɛ l ɛ n a
Єнки	j ɛ ŋ k i
Єрмен	j ɛ r m ɛ n
Єрмения	j ɛ r m ɛ n i j a
Єрменка	j ɛ r m ɛ ŋ k a
Єрусалим	j ɛ r u s a l i m
Ї	j i
А	a
Австралия	a w s t r a l i j a
Австралиянка	a w s t r a l i j a ŋ k a
Австралиянєц	a w s t r a l i j a ɲ ɛ t͡s
Австрия	a w s t r i j a
Азия	a z i j a
Албания	a l b a n i j a
Албанка	a l b a ŋ k a
Албанєц	a l b a ɲ ɛ t͡s
Александар	a l ɛ k s a n d a r
Александер	a l ɛ k s a n d ɛ r
Александра	a l ɛ k s a n d r a
Александров	a l ɛ k s a n d r ɔ w
Алжир	a l ʒ i r
Алжирец	a l ʒ i r ɛ t͡s
Алжирка	a l ʒ i r k a
Алпи	a l p i
Америка	a m ɛ r i k a
Американка	a m ɛ r i k a ŋ k a
Американєц	a m ɛ r i k a ɲ ɛ t͡s
Амстердам	a m s t ɛ r d a m
Ана	a n a
Анамарийов	a n a m a r i j ɔ w
Анамария	a n a m a r i j a
Андрей	a n d r ɛ j
Андрея	a n d r ɛ j a
Анкара	a n k a r a
Антверпен	a n t v ɛ r p ɛ n
Анґлийка	a n ɡ l i j k a
Анґлия	a n ɡ l i j a
Анґлиєц	a n ɡ l i j ɛ t͡s
Арґентина	a r ɡ ɛ n t i n a
Арґентинка	a r ɡ ɛ n t i ŋ k a
Арґентинєц	a r ɡ ɛ n t i ɲ ɛ t͡s
Атина	a t i n a
Афич	a f i t͡ʃ
Афичов	a f i t͡ʃ ɔ w
Афичова	a f i t͡ʃ ɔ v a
Африка	a f r i k a
Африканка	a f r i k a ŋ k a
Африканєц	a f r i k a ɲ ɛ t͡s
Б	b
Баварска	b a v a r s k a
Базел	b a z ɛ l
Байрам	b a j r a m
Балкан	b a l k a n
Балїнт	b a ʎ i n t
Балїнтов	b a ʎ i n t ɔ w
Балїнтова	b a ʎ i n t ɔ v a
Банат	b a n a t
Банатян	b a n a c a n
Банатянка	b a n a c a ŋ k a
Банатянь	b a n a c a ɲ
Банґкок	b a ŋ k ɔ k
Бачван	b a t͡ʃ v a n
Бачвань	b a t͡ʃ v a ɲ
Бачка	b a t͡ʃ k a
Бейч	b ɛ j t͡ʃ
Белґия	b ɛ l ɡ i j a
Белґиянка	b ɛ l ɡ i j a ŋ k a
Белґиянєц	b ɛ l ɡ i j a ɲ ɛ t͡s
Беоґрад	b ɛ ɔ ɡ r a t
Беоґрадян	b ɛ ɔ ɡ r a ɟ a n
Беоґрадянка	b ɛ ɔ ɡ r a ɟ a ŋ k a
Беоґрадянь	b ɛ ɔ ɡ r a ɟ a ɲ
Берлин	b ɛ r l i n
