'ddumari	ɖː ʊ m äː ɾ ɪ
'mbari	m b a ɾ ɪ
'nduja	n̩̪ d̪ uː j ä
Aristòtili	ɑ̝ ɾ ɪ s t̪ ɔː t̪ ɪ l ɪ̟
Buxema	b ʊ ʃ ɛ m ɪ
Castigghia	k ɑ̝ s t̪ i ɟ ɟ ɑ̝
Deu	d̪ ɛː ʊ̠
Diu	d̪ iː ʊ̠
Fauci	f a w ʃ ɪ
Grecia	ɡ r̺ ɛː ɕ ɑ̝
Grecia	ɡ r̺ ɛː ʃʲ ɑ̝
Mèrica	m ɛ ɾ ɪ k a
Palermu	p a l i a̯ j mː ʊ
Palermu	p a l j ɛ mː ʊ
Palermu	p a l ɛ j mː ʊ
Plutarcu	p l ʊ̠ t̪ äː ɾ k ʊ̠
Ragusa	ʐ a u s a
Scifu	ʃ i f ʊ
Spagna	ɕ p ä ɲː ä
Texas	t ɛ k k ɪ s a s
abbagnari	a b b a ɲ ɲ aː ɾ ɪ
abbrazzari	a b b r a t t s aː ɾ ɪ
acchianari	ä cː ä n äː ɾ ɪ
aceddu	ä ʃ ɛ ɖː ʊ
acieddu	a ɕ j ɛ ɖ ɖ u
alfabbetu	ɑ̝ ɫ̪ f ɑ̝ b b ɛː t̪ ʊ̠
amaru	a m a ɾ u
ammucciari	a m m u t t ʃ aː ɾ ɪ
amuninni	ä m ʊ n i nː ɪ
anciova	a̠ n̠ʲ t͡ʃ ɔː v a̠
anghidda	a ŋ ɡ̟ i ɖː a
anticu	n t i k ʊ
antiquata	ɑ̝ ɳ ʈ̬ ɪ kʷ äː t̪ ɑ̝
antiquati	ɑ̝ ɳ ʈ̬ ɪ kʷ äː t̪ ɪ̟
antiquatu	ɑ̝ ɳ ʈ̬ ɪ kʷ äː t̪ ʊ̠
aranciu	a ɾ a ŋ t͡ʃ ʊ
arrivari	a ʐ ʐ i v a ɾ ɪ
asciucari	a ʃ ʃ ʊ k a ɾ ɪ
asciugari	a ʃ ʃ ʊ ɡ aː ɾ ɪ
asciugari	a ʃ ʃ ʊ ɣ aː ɾ ɪ
assai	a s s a j
assassinu	a s s a s i n u
astutari	ä ɕ t̪ ʊ t̪ äː ɾ ɪ
