Gaddura	ɡ a ɖ ɖ u r a
Sàssari	s a s s a r i
a	a
aba	a β a
abagnériu	a β a ɲ ɲ e r j u
abari	a β a r i
abbalchunà	a b b a x x u n a
abbalchunà	a b b a ɬ k u n a
abi	a β i
abà	a β a
abé	a b e
ad	a d
annu	a n n u
aocci	a ɔ t t͡ʃ i
assé	a s s e
asulu	a z u l u
attugni	a t t u ɲ ɲ i
attugnu	a t t u ɲ ɲ u
azurra	a d z u r r a
azurri	a d z u r r i
azurru	a d z u r r u
baglioru	b a ʎ ʎ ɔ r u
banchi	b a n k i
bancu	b a n k u
biaittu	b j a i t t u
bianca	b j a n k a
bianchi	b j a n k i
biancu	b j a n k u
bidelli	b i d ɛ l l i
bidellu	b i d ɛ l l u
bossa	b o s s a
bossi	b o s s i
caggazzua	k a ɡ ɡ a t t s u a
cand'	k a n d ‿
candu	k a n d u
canta	k a n t a
canti	k a n t i
cantu	k a n t u
cantà	k a n t a
canzoni	k a n d z o n i
caramai	k a r a m a i
caramàiu	k a r a m a j u
chi	k i
ciamassi	t͡ʃ a m a s s i
ciamà	t͡ʃ a m a
cimusgi	t͡ʃ i m u ʒ i
cimùsgia	t͡ʃ i m u ʒ a
crassi	k r a s s i
cu'	k u
cument'e	k u m e n t e
cumenti	k u m e n t i
cumpassi	k u m p a s s i
cumpassu	k u m p a s s u
cun	k u n
càttedra	k a t t e d r a
d'	d ‿
di	d i
direttora	d i r e t t o r a
direttori	d i r e t t o r i
dà	d a
dì	d i
e	e
ed	e d
edda	e ɖ ɖ a
eddi	e ɖ ɖ i
eddu	e ɖ ɖ u
eu	e u
finì	f i n i
fogli	f o ʎ ʎ i
fuba	f u b a
fógliu	f o ʎ ʎ u
gadduresa	ɡ a ɖ ɖ u r e z a
gadduresi	ɡ a ɖ ɖ u r e z i
gadduresu	ɡ a ɖ ɖ u r e z u
ghisgi	ɡ i ʒ i
ghìsgiu	ɡ i ʒ u
giuggà	d̠ ʒ u ɡ ɡ a
gomma	ɡ o m m a
grigi	ɡ r i d͡ʒ i
groghi	ɡ r ɔ ɡ i
grogu	ɡ r ɔ ɡ u
grìgia	ɡ r i d͡ʒ a
grìgiu	ɡ r i d͡ʒ u
in	i n
inné	i n n e
inverri	i n v e r r i
inverru	i n v e r r u
ischora	i x x ɔ r a
ischori	i x x ɔ r i
ischurana	i x x u r a n a
ischurani	i x x u r a n i
ischuranu	i x x u r a n u
isquadra	i s k w a d r a
isquadri	i s k w a d r i
isthaddu	i ɬ ɬ a d d u
isthiu	i ɬ t i u
ivvruncià	i v v r u n t͡ʃ a
ivvrunzià	i v v r u n t͡s j a
ivvrùnciu	i v v r u n t͡ʃ u
ivvrùnziu	i v v r u n t͡s j u
l'	l ‿
l'	r ‿
la	l a
la	r a
labagna	l a b a ɲ ɲ a
labagni	l a b a ɲ ɲ i
li	l i
li	r i
lu	l u
lu	r u
làpisi	l a p i z i
manzani	m a n d͡z a n i
manzanu	m a n d͡z a n u
masthra	m a ɬ t r a
masthri	m a ɬ t r i
masthru	m a ɬ t r u
me	m e
me'	m e
mea	m e a
meggu	m e ɡ ɡ u
mei	m e i
meu	m e u
mi	m i
murru	m u r r u
méia	m e j a
méiu	m e j u
nebi	n ɛ b i
niedda	n i e ɖ ɖ a
nieddi	n i e ɖ ɖ i
nieddu	n i e ɖ ɖ u
noi	n o i
occi	o t t͡ʃ i
occi	ɔ t t͡ʃ i
pa'	p a
pagella	p a d͡ʒ ɛ l l a
pai	p a j
par	p a r
penna	p e n n a
pennina	p e n n i n a
pennini	p e n n i n i
prufissori	p r u f i s s o r i
prufissuressa	p r u f i s s u r e s s a
prufissuressi	p r u f i s s u r e s s i
présidi	p r e z i d i
puntina	p u n t i n a
quadernu	k w a d ɛ r n u
riga	r i ɡ a
righi	r i ɡ i
rosa	r ɔ z a
rui	r u j i
rùia	r u j a
rùiu	r u j u
sassaresa	s a s s a r e z a
sassaresi	s a s s a r e z i
sassaresu	s a s s a r e z u
si	s i
sisia	s i z i a
sisii	s i z i i
so'	s o
soa	s o a
sobbra	s ɔ b b r a
soi	s o i
sou	s o u
sthaddu	ɬ a d d u
sóia	s o j a
sóiu	s o j u
tataresa	t a t a r e s a
tataresi	t a t a r e s i
tataresu	t a t a r e s u
teggu	t e ɡ ɡ u
temperarapis	t ɛ m p e r a r a p i s
temperaràpisi	t ɛ m p e r a r a p i z i
ti	t i
tinta	t i n t a
tinteri	t i n t ɛ r i
tinti	t i n t i
to'	t o
toi	t o i
tu	t u
tóia	t o j a
tóiu	t o j u
un	u n
una	u n a
unu	u n u
verdhi	v ɛ ɮ d i
voi	v o i
zi	t s i
ziddai	t͡s i d d a i
zittadina	t͡s i t t a d i n a
zittadini	t͡s i t t a d i n i
zittadinu	t͡s i t t a d i n u
àura	a u r a
àuri	a u r i
éiu	e j u
